"Step","cosmic-sweep-11 - Average Weighted Test Accuracy","cosmic-sweep-11 - Average Weighted Test Accuracy__MIN","cosmic-sweep-11 - Average Weighted Test Accuracy__MAX","rosy-sweep-10 - Average Weighted Test Accuracy","rosy-sweep-10 - Average Weighted Test Accuracy__MIN","rosy-sweep-10 - Average Weighted Test Accuracy__MAX","crisp-sweep-9 - Average Weighted Test Accuracy","crisp-sweep-9 - Average Weighted Test Accuracy__MIN","crisp-sweep-9 - Average Weighted Test Accuracy__MAX","zany-sweep-8 - Average Weighted Test Accuracy","zany-sweep-8 - Average Weighted Test Accuracy__MIN","zany-sweep-8 - Average Weighted Test Accuracy__MAX","celestial-sweep-7 - Average Weighted Test Accuracy","celestial-sweep-7 - Average Weighted Test Accuracy__MIN","celestial-sweep-7 - Average Weighted Test Accuracy__MAX","giddy-sweep-6 - Average Weighted Test Accuracy","giddy-sweep-6 - Average Weighted Test Accuracy__MIN","giddy-sweep-6 - Average Weighted Test Accuracy__MAX","generous-sweep-5 - Average Weighted Test Accuracy","generous-sweep-5 - Average Weighted Test Accuracy__MIN","generous-sweep-5 - Average Weighted Test Accuracy__MAX","fearless-sweep-4 - Average Weighted Test Accuracy","fearless-sweep-4 - Average Weighted Test Accuracy__MIN","fearless-sweep-4 - Average Weighted Test Accuracy__MAX","treasured-sweep-3 - Average Weighted Test Accuracy","treasured-sweep-3 - Average Weighted Test Accuracy__MIN","treasured-sweep-3 - Average Weighted Test Accuracy__MAX","silver-sweep-2 - Average Weighted Test Accuracy","silver-sweep-2 - Average Weighted Test Accuracy__MIN","silver-sweep-2 - Average Weighted Test Accuracy__MAX","resilient-sweep-1 - Average Weighted Test Accuracy","resilient-sweep-1 - Average Weighted Test Accuracy__MIN","resilient-sweep-1 - Average Weighted Test Accuracy__MAX"
"12","0.7431666666666666","0.7431666666666666","0.7431666666666666","0.7455","0.7455","0.7455","0.7425","0.7425","0.7425","0.743","0.743","0.743","0.7446666666666667","0.7446666666666667","0.7446666666666667","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.7438333333333333","0.7438333333333333","0.7438333333333333","0.7433333333333333","0.7433333333333333","0.7433333333333333","0.7445","0.7445","0.7445","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7545","0.7545","0.7545"
"13","0.7453333333333333","0.7453333333333333","0.7453333333333333","0.747","0.747","0.747","0.7441666666666666","0.7441666666666666","0.7441666666666666","0.7458333333333333","0.7458333333333333","0.7458333333333333","0.7461666666666666","0.7461666666666666","0.7461666666666666","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7436666666666667","0.7436666666666667","0.7436666666666667","0.7463333333333333","0.7463333333333333","0.7463333333333333","0.7481666666666666","0.7481666666666666","0.7481666666666666","0.745","0.745","0.745","0.7553333333333333","0.7553333333333333","0.7553333333333333"
"14","0.747","0.747","0.747","0.7488333333333334","0.7488333333333334","0.7488333333333334","0.7455","0.7455","0.7455","0.7461666666666666","0.7461666666666666","0.7461666666666666","0.7471666666666666","0.7471666666666666","0.7471666666666666","0.7515","0.7515","0.7515","0.745","0.745","0.745","0.7478333333333333","0.7478333333333333","0.7478333333333333","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7485","0.7485","0.7485","0.7566666666666667","0.7566666666666667","0.7566666666666667"
"15","0.7483333333333333","0.7483333333333333","0.7483333333333333","0.7495","0.7495","0.7495","0.7483333333333333","0.7483333333333333","0.7483333333333333","0.75","0.75","0.75","0.7491666666666666","0.7491666666666666","0.7491666666666666","0.7511666666666666","0.7511666666666666","0.7511666666666666","0.7475","0.7475","0.7475","0.7505","0.7505","0.7505","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.751","0.751","0.751","0.7575","0.7575","0.7575"
"16","0.75","0.75","0.75","0.7515","0.7515","0.7515","0.7473333333333333","0.7473333333333333","0.7473333333333333","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.7495","0.7495","0.7495","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7458333333333333","0.7458333333333333","0.7458333333333333","0.7505","0.7505","0.7505","0.7515","0.7515","0.7515","0.7498333333333334","0.7498333333333334","0.7498333333333334","0.7565","0.7565","0.7565"
"17","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.7485","0.7485","0.7485","0.751","0.751","0.751","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.754","0.754","0.754","0.7461666666666666","0.7461666666666666","0.7461666666666666","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7508333333333334","0.7508333333333334","0.7508333333333334","0.7516666666666667","0.7516666666666667","0.7516666666666667","0.7575","0.7575","0.7575"
"18","0.7505","0.7505","0.7505","0.7505","0.7505","0.7505","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.7515","0.7515","0.7515","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.7478333333333333","0.7478333333333333","0.7478333333333333","0.7516666666666667","0.7516666666666667","0.7516666666666667","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7516666666666667","0.7516666666666667","0.7516666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"19","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.7516666666666667","0.7516666666666667","0.7516666666666667","0.75","0.75","0.75","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7483333333333333","0.7483333333333333","0.7483333333333333","0.752","0.752","0.752","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7531666666666667","0.7531666666666667","0.7531666666666667","0.7581666666666667","0.7581666666666667","0.7581666666666667"
"20","0.751","0.751","0.751","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7508333333333334","0.7508333333333334","0.7508333333333334","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.752","0.752","0.752","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7495","0.7495","0.7495","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.758","0.758","0.758"
"21","0.7515","0.7515","0.7515","0.7536666666666667","0.7536666666666667","0.7536666666666667","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7533333333333333","0.7533333333333333","0.7533333333333333","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7541666666666667","0.7541666666666667","0.7541666666666667","0.7488333333333334","0.7488333333333334","0.7488333333333334","0.7525","0.7525","0.7525","0.7523333333333333","0.7523333333333333","0.7523333333333333","0.754","0.754","0.754","0.7583333333333333","0.7583333333333333","0.7583333333333333"
