"Step","rose-sweep-11 - Test Accuracy","rose-sweep-11 - Test Accuracy__MIN","rose-sweep-11 - Test Accuracy__MAX","gallant-sweep-10 - Test Accuracy","gallant-sweep-10 - Test Accuracy__MIN","gallant-sweep-10 - Test Accuracy__MAX","noble-sweep-9 - Test Accuracy","noble-sweep-9 - Test Accuracy__MIN","noble-sweep-9 - Test Accuracy__MAX","twilight-sweep-8 - Test Accuracy","twilight-sweep-8 - Test Accuracy__MIN","twilight-sweep-8 - Test Accuracy__MAX","worldly-sweep-7 - Test Accuracy","worldly-sweep-7 - Test Accuracy__MIN","worldly-sweep-7 - Test Accuracy__MAX","dutiful-sweep-6 - Test Accuracy","dutiful-sweep-6 - Test Accuracy__MIN","dutiful-sweep-6 - Test Accuracy__MAX","dark-sweep-5 - Test Accuracy","dark-sweep-5 - Test Accuracy__MIN","dark-sweep-5 - Test Accuracy__MAX","vital-sweep-4 - Test Accuracy","vital-sweep-4 - Test Accuracy__MIN","vital-sweep-4 - Test Accuracy__MAX","icy-sweep-3 - Test Accuracy","icy-sweep-3 - Test Accuracy__MIN","icy-sweep-3 - Test Accuracy__MAX","snowy-sweep-2 - Test Accuracy","snowy-sweep-2 - Test Accuracy__MIN","snowy-sweep-2 - Test Accuracy__MAX","vibrant-sweep-1 - Test Accuracy","vibrant-sweep-1 - Test Accuracy__MIN","vibrant-sweep-1 - Test Accuracy__MAX"
"0","0.44616666666666666","0.44616666666666666","0.44616666666666666","0.44733333333333336","0.44733333333333336","0.44733333333333336","0.4508333333333333","0.4508333333333333","0.4508333333333333","0.44416666666666665","0.44416666666666665","0.44416666666666665","0.4523333333333333","0.4523333333333333","0.4523333333333333","0.44633333333333336","0.44633333333333336","0.44633333333333336","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.4503333333333333","0.4503333333333333","0.4503333333333333","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.4503333333333333","0.4503333333333333","0.4503333333333333","0.45316666666666666","0.45316666666666666","0.45316666666666666"
"50","0.5555","0.5555","0.5555","0.551","0.551","0.551","0.5595","0.5595","0.5595","0.5461666666666667","0.5461666666666667","0.5461666666666667","0.5543333333333333","0.5543333333333333","0.5543333333333333","0.5555","0.5555","0.5555","0.5486666666666666","0.5486666666666666","0.5486666666666666","0.5538333333333333","0.5538333333333333","0.5538333333333333","0.5556666666666666","0.5556666666666666","0.5556666666666666","0.5538333333333333","0.5538333333333333","0.5538333333333333","0.564","0.564","0.564"
"100","0.6693333333333333","0.6693333333333333","0.6693333333333333","0.6655","0.6655","0.6655","0.6711666666666667","0.6711666666666667","0.6711666666666667","0.6661666666666667","0.6661666666666667","0.6661666666666667","0.6718333333333333","0.6718333333333333","0.6718333333333333","0.669","0.669","0.669","0.666","0.666","0.666","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6791666666666667","0.6791666666666667","0.6791666666666667"
"150","0.7505","0.7505","0.7505","0.7523333333333333","0.7523333333333333","0.7523333333333333","0.7486666666666667","0.7486666666666667","0.7486666666666667","0.7491666666666666","0.7491666666666666","0.7491666666666666","0.751","0.751","0.751","0.752","0.752","0.752","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7506666666666667","0.7506666666666667","0.7506666666666667","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7525","0.7525","0.7525","0.7605","0.7605","0.7605"
"200","0.7965","0.7965","0.7965","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.7941666666666667","0.7941666666666667","0.7941666666666667","0.7938333333333333","0.7938333333333333","0.7938333333333333","0.7943333333333333","0.7943333333333333","0.7943333333333333","0.793","0.793","0.793","0.795","0.795","0.795","0.7935","0.7935","0.7935","0.796","0.796","0.796","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.7975","0.7975","0.7975"
"250","0.81","0.81","0.81","0.8098333333333333","0.8098333333333333","0.8098333333333333","0.8098333333333333","0.8098333333333333","0.8098333333333333","0.8091666666666667","0.8091666666666667","0.8091666666666667","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.8098333333333333","0.8098333333333333","0.8098333333333333","0.812","0.812","0.812","0.8125","0.8125","0.8125","0.8111666666666667","0.8111666666666667","0.8111666666666667","0.8121666666666667","0.8121666666666667","0.8121666666666667"
"300","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.8151666666666667","0.8151666666666667","0.8151666666666667","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8155","0.8155","0.8155","0.816","0.816","0.816","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8175","0.8175","0.8175","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.817","0.817","0.817"
"350","0.8206666666666667","0.8206666666666667","0.8206666666666667","0.816","0.816","0.816","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8196666666666667","0.8196666666666667","0.8196666666666667","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8185","0.8185","0.8185","0.8215","0.8215","0.8215","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8203333333333334","0.8203333333333334","0.8203333333333334","0.8185","0.8185","0.8185","0.8165","0.8165","0.8165"
"400","0.8175","0.8175","0.8175","0.8175","0.8175","0.8175","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.8196666666666667","0.8196666666666667","0.8196666666666667","0.818","0.818","0.818","0.8185","0.8185","0.8185","0.8195","0.8195","0.8195","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8178333333333333","0.8178333333333333","0.8178333333333333"
