"Step","crimson-sweep-10 - pFedMe Test Accuracy","crimson-sweep-10 - pFedMe Test Accuracy__MIN","crimson-sweep-10 - pFedMe Test Accuracy__MAX","polished-sweep-7 - pFedMe Test Accuracy","polished-sweep-7 - pFedMe Test Accuracy__MIN","polished-sweep-7 - pFedMe Test Accuracy__MAX","glorious-sweep-9 - pFedMe Test Accuracy","glorious-sweep-9 - pFedMe Test Accuracy__MIN","glorious-sweep-9 - pFedMe Test Accuracy__MAX","fearless-sweep-6 - pFedMe Test Accuracy","fearless-sweep-6 - pFedMe Test Accuracy__MIN","fearless-sweep-6 - pFedMe Test Accuracy__MAX","magic-sweep-5 - pFedMe Test Accuracy","magic-sweep-5 - pFedMe Test Accuracy__MIN","magic-sweep-5 - pFedMe Test Accuracy__MAX","astral-sweep-11 - pFedMe Test Accuracy","astral-sweep-11 - pFedMe Test Accuracy__MIN","astral-sweep-11 - pFedMe Test Accuracy__MAX","super-sweep-8 - pFedMe Test Accuracy","super-sweep-8 - pFedMe Test Accuracy__MIN","super-sweep-8 - pFedMe Test Accuracy__MAX","youthful-sweep-3 - pFedMe Test Accuracy","youthful-sweep-3 - pFedMe Test Accuracy__MIN","youthful-sweep-3 - pFedMe Test Accuracy__MAX","exalted-sweep-4 - pFedMe Test Accuracy","exalted-sweep-4 - pFedMe Test Accuracy__MIN","exalted-sweep-4 - pFedMe Test Accuracy__MAX","glad-sweep-2 - pFedMe Test Accuracy","glad-sweep-2 - pFedMe Test Accuracy__MIN","glad-sweep-2 - pFedMe Test Accuracy__MAX","feasible-sweep-1 - pFedMe Test Accuracy","feasible-sweep-1 - pFedMe Test Accuracy__MIN","feasible-sweep-1 - pFedMe Test Accuracy__MAX"
"0","0.6331666666666667","0.6331666666666667","0.6331666666666667","0.6403333333333333","0.6403333333333333","0.6403333333333333","0.6373333333333333","0.6373333333333333","0.6373333333333333","0.638","0.638","0.638","0.6356666666666667","0.6356666666666667","0.6356666666666667","0.6423333333333333","0.6423333333333333","0.6423333333333333","0.635","0.635","0.635","0.6378333333333334","0.6378333333333334","0.6378333333333334","0.6363333333333333","0.6363333333333333","0.6363333333333333","0.6406666666666667","0.6406666666666667","0.6406666666666667","0.642","0.642","0.642"
"50","0.8053333333333333","0.8053333333333333","0.8053333333333333","0.8065","0.8065","0.8065","0.806","0.806","0.806","0.8035","0.8035","0.8035","0.8038333333333333","0.8038333333333333","0.8038333333333333","0.8056666666666666","0.8056666666666666","0.8056666666666666","0.8048333333333333","0.8048333333333333","0.8048333333333333","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8056666666666666","0.8056666666666666","0.8056666666666666","0.8033333333333333","0.8033333333333333","0.8033333333333333","0.8028333333333333","0.8028333333333333","0.8028333333333333"
"100","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.796","0.796","0.796","0.7981666666666667","0.7981666666666667","0.7981666666666667","0.796","0.796","0.796","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7981666666666667","0.7981666666666667","0.7981666666666667","0.797","0.797","0.797","0.7956666666666666","0.7956666666666666","0.7956666666666666","0.7965","0.7965","0.7965","0.7948333333333333","0.7948333333333333","0.7948333333333333"
"150","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.7936666666666666","0.7936666666666666","0.7936666666666666","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.7925","0.7925","0.7925","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.7926666666666666","0.7926666666666666","0.7926666666666666","0.7931666666666667","0.7931666666666667","0.7931666666666667","0.7936666666666666","0.7936666666666666","0.7936666666666666","0.792","0.792","0.792","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7896666666666666","0.7896666666666666","0.7896666666666666"
"200","0.792","0.792","0.792","0.7906666666666666","0.7906666666666666","0.7906666666666666","0.793","0.793","0.793","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.7911666666666667","0.7911666666666667","0.7911666666666667","0.792","0.792","0.792","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.7921666666666667","0.7921666666666667","0.7921666666666667","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.7913333333333333","0.7913333333333333","0.7913333333333333","0.7885","0.7885","0.7885"
"250","0.7921666666666667","0.7921666666666667","0.7921666666666667","0.7908333333333334","0.7908333333333334","0.7908333333333334","0.7913333333333333","0.7913333333333333","0.7913333333333333","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.792","0.792","0.792","0.7906666666666666","0.7906666666666666","0.7906666666666666","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7936666666666666","0.7936666666666666","0.7936666666666666","0.792","0.792","0.792","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.7888333333333334","0.7888333333333334","0.7888333333333334"
"300","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7908333333333334","0.7908333333333334","0.7908333333333334","0.7926666666666666","0.7926666666666666","0.7926666666666666","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.791","0.791","0.791","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.791","0.791","0.791","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.791","0.791","0.791","0.7878333333333334","0.7878333333333334","0.7878333333333334"
"350","0.7903333333333333","0.7903333333333333","0.7903333333333333","0.7905","0.7905","0.7905","0.7905","0.7905","0.7905","0.7895","0.7895","0.7895","0.7898333333333334","0.7898333333333334","0.7898333333333334","0.7891666666666667","0.7891666666666667","0.7891666666666667","0.7906666666666666","0.7906666666666666","0.7906666666666666","0.7905","0.7905","0.7905","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.7898333333333334","0.7898333333333334","0.7898333333333334","0.788","0.788","0.788"
"400","0.79","0.79","0.79","0.7905","0.7905","0.7905","0.7911666666666667","0.7911666666666667","0.7911666666666667","0.7893333333333333","0.7893333333333333","0.7893333333333333","0.7898333333333334","0.7898333333333334","0.7898333333333334","0.7895","0.7895","0.7895","0.7895","0.7895","0.7895","0.7893333333333333","0.7893333333333333","0.7893333333333333","0.791","0.791","0.791","0.7873333333333333","0.7873333333333333","0.7873333333333333","0.7868333333333334","0.7868333333333334","0.7868333333333334"
