"Step","fresh-sweep-11 - Test Accuracy","fresh-sweep-11 - Test Accuracy__MIN","fresh-sweep-11 - Test Accuracy__MAX","visionary-sweep-10 - Test Accuracy","visionary-sweep-10 - Test Accuracy__MIN","visionary-sweep-10 - Test Accuracy__MAX","splendid-sweep-9 - Test Accuracy","splendid-sweep-9 - Test Accuracy__MIN","splendid-sweep-9 - Test Accuracy__MAX","electric-sweep-8 - Test Accuracy","electric-sweep-8 - Test Accuracy__MIN","electric-sweep-8 - Test Accuracy__MAX","different-sweep-7 - Test Accuracy","different-sweep-7 - Test Accuracy__MIN","different-sweep-7 - Test Accuracy__MAX","trim-sweep-6 - Test Accuracy","trim-sweep-6 - Test Accuracy__MIN","trim-sweep-6 - Test Accuracy__MAX","balmy-sweep-5 - Test Accuracy","balmy-sweep-5 - Test Accuracy__MIN","balmy-sweep-5 - Test Accuracy__MAX","absurd-sweep-4 - Test Accuracy","absurd-sweep-4 - Test Accuracy__MIN","absurd-sweep-4 - Test Accuracy__MAX","kind-sweep-3 - Test Accuracy","kind-sweep-3 - Test Accuracy__MIN","kind-sweep-3 - Test Accuracy__MAX","ruby-sweep-2 - Test Accuracy","ruby-sweep-2 - Test Accuracy__MIN","ruby-sweep-2 - Test Accuracy__MAX","vocal-sweep-1 - Test Accuracy","vocal-sweep-1 - Test Accuracy__MIN","vocal-sweep-1 - Test Accuracy__MAX"
"0","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667"
"50","0.7706666666666667","0.7706666666666667","0.7706666666666667","0.772","0.772","0.772","0.7706666666666667","0.7706666666666667","0.7706666666666667","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7711666666666667","0.7711666666666667","0.7711666666666667","0.7706666666666667","0.7706666666666667","0.7706666666666667","0.7728333333333334","0.7728333333333334","0.7728333333333334","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7716666666666666","0.7716666666666666","0.7716666666666666"
"100","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7775","0.7775","0.7775","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7775","0.7775","0.7775","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7785","0.7785","0.7785","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7771666666666667","0.7771666666666667","0.7771666666666667"
"150","0.7775","0.7775","0.7775","0.778","0.778","0.778","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7775","0.7775","0.7775","0.7775","0.7775","0.7775","0.778","0.778","0.778","0.778","0.778","0.778","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7771666666666667","0.7771666666666667","0.7771666666666667"
"200","0.778","0.778","0.778","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7768333333333334","0.7768333333333334","0.7768333333333334","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7785","0.7785","0.7785","0.7778333333333334","0.7778333333333334","0.7778333333333334"
"250","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7805","0.7805","0.7805","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.7796666666666666","0.7796666666666666","0.7796666666666666","0.7796666666666666","0.7796666666666666","0.7796666666666666","0.7795","0.7795","0.7795","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7795","0.7795","0.7795","0.7793333333333333","0.7793333333333333","0.7793333333333333","0.7793333333333333","0.7793333333333333","0.7793333333333333"
"300","0.7806666666666666","0.7806666666666666","0.7806666666666666","0.7823333333333333","0.7823333333333333","0.7823333333333333","0.7811666666666667","0.7811666666666667","0.7811666666666667","0.7806666666666666","0.7806666666666666","0.7806666666666666","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7813333333333333","0.7813333333333333","0.7813333333333333","0.781","0.781","0.781","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.7795","0.7795","0.7795","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7786666666666666","0.7786666666666666","0.7786666666666666"
"350","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7806666666666666","0.7806666666666666","0.7806666666666666","0.7798333333333334","0.7798333333333334","0.7798333333333334","0.7805","0.7805","0.7805","0.78","0.78","0.78","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.7798333333333334","0.7798333333333334","0.7798333333333334","0.78","0.78","0.78","0.7798333333333334","0.7798333333333334","0.7798333333333334","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.7791666666666667","0.7791666666666667","0.7791666666666667"
"400","0.7795","0.7795","0.7795","0.7818333333333334","0.7818333333333334","0.7818333333333334","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.78","0.78","0.78","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.78","0.78","0.78","0.7806666666666666","0.7806666666666666","0.7806666666666666","0.78","0.78","0.78","0.7785","0.7785","0.7785"
