"Step","likely-sweep-11 - Test Accuracy","likely-sweep-11 - Test Accuracy__MIN","likely-sweep-11 - Test Accuracy__MAX","whole-sweep-10 - Test Accuracy","whole-sweep-10 - Test Accuracy__MIN","whole-sweep-10 - Test Accuracy__MAX","honest-sweep-9 - Test Accuracy","honest-sweep-9 - Test Accuracy__MIN","honest-sweep-9 - Test Accuracy__MAX","efficient-sweep-8 - Test Accuracy","efficient-sweep-8 - Test Accuracy__MIN","efficient-sweep-8 - Test Accuracy__MAX","sandy-sweep-7 - Test Accuracy","sandy-sweep-7 - Test Accuracy__MIN","sandy-sweep-7 - Test Accuracy__MAX","dainty-sweep-6 - Test Accuracy","dainty-sweep-6 - Test Accuracy__MIN","dainty-sweep-6 - Test Accuracy__MAX","feasible-sweep-5 - Test Accuracy","feasible-sweep-5 - Test Accuracy__MIN","feasible-sweep-5 - Test Accuracy__MAX","dulcet-sweep-4 - Test Accuracy","dulcet-sweep-4 - Test Accuracy__MIN","dulcet-sweep-4 - Test Accuracy__MAX","fresh-sweep-3 - Test Accuracy","fresh-sweep-3 - Test Accuracy__MIN","fresh-sweep-3 - Test Accuracy__MAX","celestial-sweep-2 - Test Accuracy","celestial-sweep-2 - Test Accuracy__MIN","celestial-sweep-2 - Test Accuracy__MAX","genial-sweep-1 - Test Accuracy","genial-sweep-1 - Test Accuracy__MIN","genial-sweep-1 - Test Accuracy__MAX"
"0","0.7311666666666666","0.7311666666666666","0.7311666666666666","0.7298333333333333","0.7298333333333333","0.7298333333333333","0.7326666666666667","0.7326666666666667","0.7326666666666667","0.7303333333333333","0.7303333333333333","0.7303333333333333","0.7318333333333333","0.7318333333333333","0.7318333333333333","0.7351666666666666","0.7351666666666666","0.7351666666666666","0.7316666666666667","0.7316666666666667","0.7316666666666667","0.733","0.733","0.733","0.7341666666666666","0.7341666666666666","0.7341666666666666","0.7328333333333333","0.7328333333333333","0.7328333333333333","0.7403333333333333","0.7403333333333333","0.7403333333333333"
"50","0.743","0.743","0.743","0.7465","0.7465","0.7465","0.7435","0.7435","0.7435","0.7426666666666667","0.7426666666666667","0.7426666666666667","0.7446666666666667","0.7446666666666667","0.7446666666666667","0.7485","0.7485","0.7485","0.7426666666666667","0.7426666666666667","0.7426666666666667","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7468333333333333","0.7456666666666667","0.7456666666666667","0.7456666666666667","0.7533333333333333","0.7533333333333333","0.7533333333333333"
"100","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7518333333333334","0.7518333333333334","0.7518333333333334","0.7515","0.7515","0.7515","0.7535","0.7535","0.7535","0.7563333333333333","0.7563333333333333","0.7563333333333333","0.75","0.75","0.75","0.7515","0.7515","0.7515","0.7546666666666667","0.7546666666666667","0.7546666666666667","0.755","0.755","0.755","0.76","0.76","0.76"
"150","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7586666666666667","0.7586666666666667","0.7586666666666667","0.7585","0.7585","0.7585","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.7615","0.7615","0.7615","0.761","0.761","0.761","0.768","0.768","0.768"
"200","0.7683333333333333","0.7683333333333333","0.7683333333333333","0.7703333333333333","0.7703333333333333","0.7703333333333333","0.7678333333333334","0.7678333333333334","0.7678333333333334","0.7676666666666667","0.7676666666666667","0.7676666666666667","0.7676666666666667","0.7676666666666667","0.7676666666666667","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7683333333333333","0.7683333333333333","0.7683333333333333","0.7673333333333333","0.7673333333333333","0.7673333333333333","0.7698333333333334","0.7698333333333334","0.7698333333333334","0.7721666666666667","0.7721666666666667","0.7721666666666667","0.779","0.779","0.779"
"250","0.7835","0.7835","0.7835","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7821666666666667","0.7821666666666667","0.7821666666666667","0.7841666666666667","0.7841666666666667","0.7841666666666667","0.785","0.785","0.785","0.7835","0.7835","0.7835","0.7823333333333333","0.7823333333333333","0.7823333333333333","0.7836666666666666","0.7836666666666666","0.7836666666666666","0.786","0.786","0.786","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.795","0.795","0.795"
"300","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.7933333333333333","0.7933333333333333","0.7933333333333333","0.7956666666666666","0.7956666666666666","0.7956666666666666","0.7935","0.7935","0.7935","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.7913333333333333","0.7913333333333333","0.7913333333333333","0.7931666666666667","0.7931666666666667","0.7931666666666667","0.7951666666666667","0.7951666666666667","0.7951666666666667","0.7963333333333333","0.7963333333333333","0.7963333333333333","0.8045","0.8045","0.8045"
"350","0.8036666666666666","0.8036666666666666","0.8036666666666666","0.8041666666666667","0.8041666666666667","0.8041666666666667","0.8028333333333333","0.8028333333333333","0.8028333333333333","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8051666666666667","0.8051666666666667","0.8051666666666667","0.8035","0.8035","0.8035","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8045","0.8045","0.8045","0.8056666666666666","0.8056666666666666","0.8056666666666666","0.8161666666666667","0.8161666666666667","0.8161666666666667"
"400","0.8085","0.8085","0.8085","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8095","0.8095","0.8095","0.8088333333333333","0.8088333333333333","0.8088333333333333","0.8121666666666667","0.8121666666666667","0.8121666666666667","0.808","0.808","0.808","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.8103333333333333","0.8103333333333333","0.8103333333333333","0.81","0.81","0.81","0.8195","0.8195","0.8195"
