"Step","scarlet-sweep-11 - Test Accuracy","scarlet-sweep-11 - Test Accuracy__MIN","scarlet-sweep-11 - Test Accuracy__MAX","devoted-sweep-10 - Test Accuracy","devoted-sweep-10 - Test Accuracy__MIN","devoted-sweep-10 - Test Accuracy__MAX","fast-sweep-9 - Test Accuracy","fast-sweep-9 - Test Accuracy__MIN","fast-sweep-9 - Test Accuracy__MAX","clean-sweep-8 - Test Accuracy","clean-sweep-8 - Test Accuracy__MIN","clean-sweep-8 - Test Accuracy__MAX","worthy-sweep-7 - Test Accuracy","worthy-sweep-7 - Test Accuracy__MIN","worthy-sweep-7 - Test Accuracy__MAX","hopeful-sweep-6 - Test Accuracy","hopeful-sweep-6 - Test Accuracy__MIN","hopeful-sweep-6 - Test Accuracy__MAX","generous-sweep-5 - Test Accuracy","generous-sweep-5 - Test Accuracy__MIN","generous-sweep-5 - Test Accuracy__MAX","desert-sweep-4 - Test Accuracy","desert-sweep-4 - Test Accuracy__MIN","desert-sweep-4 - Test Accuracy__MAX","super-sweep-3 - Test Accuracy","super-sweep-3 - Test Accuracy__MIN","super-sweep-3 - Test Accuracy__MAX","wise-sweep-2 - Test Accuracy","wise-sweep-2 - Test Accuracy__MIN","wise-sweep-2 - Test Accuracy__MAX","soft-sweep-1 - Test Accuracy","soft-sweep-1 - Test Accuracy__MIN","soft-sweep-1 - Test Accuracy__MAX"
"0","0.7181666666666666","0.7181666666666666","0.7181666666666666","0.7198333333333333","0.7198333333333333","0.7198333333333333","0.7176666666666667","0.7176666666666667","0.7176666666666667","0.7168333333333333","0.7168333333333333","0.7168333333333333","0.7176666666666667","0.7176666666666667","0.7176666666666667","0.7196666666666667","0.7196666666666667","0.7196666666666667","0.7165","0.7165","0.7165","0.7163333333333334","0.7163333333333334","0.7163333333333334","0.7216666666666667","0.7216666666666667","0.7216666666666667","0.7213333333333334","0.7213333333333334","0.7213333333333334","0.7248333333333333","0.7248333333333333","0.7248333333333333"
"50","0.7375","0.7375","0.7375","0.7365","0.7365","0.7365","0.7366666666666667","0.7366666666666667","0.7366666666666667","0.7328333333333333","0.7328333333333333","0.7328333333333333","0.7336666666666667","0.7336666666666667","0.7336666666666667","0.7393333333333333","0.7393333333333333","0.7393333333333333","0.7335","0.7335","0.7335","0.7365","0.7365","0.7365","0.7408333333333333","0.7408333333333333","0.7408333333333333","0.7385","0.7385","0.7385","0.7438333333333333","0.7438333333333333","0.7438333333333333"
"100","0.7491666666666666","0.7491666666666666","0.7491666666666666","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.751","0.751","0.751","0.7496666666666667","0.7496666666666667","0.7496666666666667","0.7513333333333333","0.7513333333333333","0.7513333333333333","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.75","0.75","0.75","0.753","0.753","0.753","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7575","0.7575","0.7575"
"150","0.7625","0.7625","0.7625","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.7636666666666667","0.7636666666666667","0.7636666666666667","0.762","0.762","0.762","0.7596666666666667","0.7596666666666667","0.7596666666666667","0.764","0.764","0.764","0.7635","0.7635","0.7635","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7655","0.7655","0.7655","0.7651666666666667","0.7651666666666667","0.7651666666666667","0.769","0.769","0.769"
"200","0.7816666666666666","0.7816666666666666","0.7816666666666666","0.7815","0.7815","0.7815","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7785","0.7785","0.7785","0.781","0.781","0.781","0.781","0.781","0.781","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7793333333333333","0.7793333333333333","0.7793333333333333","0.7816666666666666","0.7816666666666666","0.7816666666666666","0.7813333333333333","0.7813333333333333","0.7813333333333333","0.79","0.79","0.79"
"250","0.7941666666666667","0.7941666666666667","0.7941666666666667","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.7955","0.7955","0.7955","0.7963333333333333","0.7963333333333333","0.7963333333333333","0.7936666666666666","0.7936666666666666","0.7936666666666666","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.7945","0.7945","0.7945","0.795","0.795","0.795","0.7966666666666666","0.7966666666666666","0.7966666666666666","0.798","0.798","0.798","0.806","0.806","0.806"
"300","0.8078333333333333","0.8078333333333333","0.8078333333333333","0.8085","0.8085","0.8085","0.8045","0.8045","0.8045","0.8081666666666667","0.8081666666666667","0.8081666666666667","0.8086666666666666","0.8086666666666666","0.8086666666666666","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8053333333333333","0.8053333333333333","0.8053333333333333","0.8048333333333333","0.8048333333333333","0.8048333333333333","0.809","0.809","0.809","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.816","0.816","0.816"
"350","0.8125","0.8125","0.8125","0.8123333333333334","0.8123333333333334","0.8123333333333334","0.8141666666666667","0.8141666666666667","0.8141666666666667","0.8133333333333334","0.8133333333333334","0.8133333333333334","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.8155","0.8155","0.8155","0.8136666666666666","0.8136666666666666","0.8136666666666666","0.8116666666666666","0.8116666666666666","0.8116666666666666","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.814","0.814","0.814","0.8215","0.8215","0.8215"
"400","0.8173333333333334","0.8173333333333334","0.8173333333333334","0.8171666666666667","0.8171666666666667","0.8171666666666667","0.8185","0.8185","0.8185","0.8201666666666667","0.8201666666666667","0.8201666666666667","0.8188333333333333","0.8188333333333333","0.8188333333333333","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.817","0.817","0.817","0.8146666666666667","0.8146666666666667","0.8146666666666667","0.8198333333333333","0.8198333333333333","0.8198333333333333","0.8195","0.8195","0.8195","0.8225","0.8225","0.8225"
