"Step","amber-sweep-11 - Test Accuracy","amber-sweep-11 - Test Accuracy__MIN","amber-sweep-11 - Test Accuracy__MAX","eternal-sweep-10 - Test Accuracy","eternal-sweep-10 - Test Accuracy__MIN","eternal-sweep-10 - Test Accuracy__MAX","easy-sweep-9 - Test Accuracy","easy-sweep-9 - Test Accuracy__MIN","easy-sweep-9 - Test Accuracy__MAX","denim-sweep-8 - Test Accuracy","denim-sweep-8 - Test Accuracy__MIN","denim-sweep-8 - Test Accuracy__MAX","chocolate-sweep-7 - Test Accuracy","chocolate-sweep-7 - Test Accuracy__MIN","chocolate-sweep-7 - Test Accuracy__MAX","azure-sweep-6 - Test Accuracy","azure-sweep-6 - Test Accuracy__MIN","azure-sweep-6 - Test Accuracy__MAX","northern-sweep-5 - Test Accuracy","northern-sweep-5 - Test Accuracy__MIN","northern-sweep-5 - Test Accuracy__MAX","morning-sweep-4 - Test Accuracy","morning-sweep-4 - Test Accuracy__MIN","morning-sweep-4 - Test Accuracy__MAX","wise-sweep-3 - Test Accuracy","wise-sweep-3 - Test Accuracy__MIN","wise-sweep-3 - Test Accuracy__MAX","colorful-sweep-2 - Test Accuracy","colorful-sweep-2 - Test Accuracy__MIN","colorful-sweep-2 - Test Accuracy__MAX","frosty-sweep-1 - Test Accuracy","frosty-sweep-1 - Test Accuracy__MIN","frosty-sweep-1 - Test Accuracy__MAX"
"0","0.268","0.268","0.268","0.271","0.271","0.271","0.282","0.282","0.282","0.2725","0.2725","0.2725","0.2745","0.2745","0.2745","0.2758333333333333","0.2758333333333333","0.2758333333333333","0.2773333333333333","0.2773333333333333","0.2773333333333333","0.2836666666666667","0.2836666666666667","0.2836666666666667","0.27216666666666667","0.27216666666666667","0.27216666666666667","0.2796666666666667","0.2796666666666667","0.2796666666666667","0.28","0.28","0.28"
"50","0.413","0.413","0.413","0.41933333333333334","0.41933333333333334","0.41933333333333334","0.423","0.423","0.423","0.41883333333333334","0.41883333333333334","0.41883333333333334","0.4185","0.4185","0.4185","0.41533333333333333","0.41533333333333333","0.41533333333333333","0.4085","0.4085","0.4085","0.4103333333333333","0.4103333333333333","0.4103333333333333","0.41883333333333334","0.41883333333333334","0.41883333333333334","0.42716666666666664","0.42716666666666664","0.42716666666666664","0.4231666666666667","0.4231666666666667","0.4231666666666667"
"100","0.5796666666666667","0.5796666666666667","0.5796666666666667","0.5855","0.5855","0.5855","0.5838333333333333","0.5838333333333333","0.5838333333333333","0.5908333333333333","0.5908333333333333","0.5908333333333333","0.5816666666666667","0.5816666666666667","0.5816666666666667","0.5915","0.5915","0.5915","0.5903333333333334","0.5903333333333334","0.5903333333333334","0.5853333333333334","0.5853333333333334","0.5853333333333334","0.5825","0.5825","0.5825","0.5781666666666667","0.5781666666666667","0.5781666666666667","0.5943333333333334","0.5943333333333334","0.5943333333333334"
"150","0.6833333333333333","0.6833333333333333","0.6833333333333333","0.6875","0.6875","0.6875","0.6955","0.6955","0.6955","0.691","0.691","0.691","0.683","0.683","0.683","0.6878333333333333","0.6878333333333333","0.6878333333333333","0.689","0.689","0.689","0.6876666666666666","0.6876666666666666","0.6876666666666666","0.693","0.693","0.693","0.6921666666666667","0.6921666666666667","0.6921666666666667","0.6906666666666667","0.6906666666666667","0.6906666666666667"
"200","0.7415","0.7415","0.7415","0.7438333333333333","0.7438333333333333","0.7438333333333333","0.7378333333333333","0.7378333333333333","0.7378333333333333","0.7383333333333333","0.7383333333333333","0.7383333333333333","0.7438333333333333","0.7438333333333333","0.7438333333333333","0.7453333333333333","0.7453333333333333","0.7453333333333333","0.7443333333333333","0.7443333333333333","0.7443333333333333","0.7375","0.7375","0.7375","0.7391666666666666","0.7391666666666666","0.7391666666666666","0.7423333333333333","0.7423333333333333","0.7423333333333333","0.7466666666666667","0.7466666666666667","0.7466666666666667"
"250","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7701666666666667","0.7701666666666667","0.7701666666666667","0.7743333333333333","0.7743333333333333","0.7743333333333333","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7691666666666667","0.7691666666666667","0.7691666666666667","0.7735","0.7735","0.7735","0.773","0.773","0.773","0.7705","0.7705","0.7705","0.769","0.769","0.769","0.7746666666666666","0.7746666666666666","0.7746666666666666","0.7821666666666667","0.7821666666666667","0.7821666666666667"
"300","0.7818333333333334","0.7818333333333334","0.7818333333333334","0.7858333333333334","0.7858333333333334","0.7858333333333334","0.7826666666666666","0.7826666666666666","0.7826666666666666","0.7941666666666667","0.7941666666666667","0.7941666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.7905","0.7905","0.7905","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.781","0.781","0.781","0.7896666666666666","0.7896666666666666","0.7896666666666666","0.7893333333333333","0.7893333333333333","0.7893333333333333","0.7868333333333334","0.7868333333333334","0.7868333333333334"
"350","0.794","0.794","0.794","0.7905","0.7905","0.7905","0.794","0.794","0.794","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.7978333333333333","0.7978333333333333","0.7978333333333333","0.7935","0.7935","0.7935","0.7951666666666667","0.7951666666666667","0.7951666666666667","0.7913333333333333","0.7913333333333333","0.7913333333333333","0.7898333333333334","0.7898333333333334","0.7898333333333334","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7921666666666667","0.7921666666666667","0.7921666666666667"
"400","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.7976666666666666","0.7976666666666666","0.7976666666666666","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7985","0.7985","0.7985","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.8001666666666667","0.8001666666666667","0.8001666666666667","0.7965","0.7965","0.7965","0.7976666666666666","0.7976666666666666","0.7976666666666666","0.7993333333333333","0.7993333333333333","0.7993333333333333","0.7978333333333333","0.7978333333333333","0.7978333333333333"
