"Step","mild-sweep-3 - Test Accuracy","mild-sweep-3 - Test Accuracy__MIN","mild-sweep-3 - Test Accuracy__MAX","rich-sweep-5 - Test Accuracy","rich-sweep-5 - Test Accuracy__MIN","rich-sweep-5 - Test Accuracy__MAX","clean-sweep-8 - Test Accuracy","clean-sweep-8 - Test Accuracy__MIN","clean-sweep-8 - Test Accuracy__MAX","absurd-sweep-7 - Test Accuracy","absurd-sweep-7 - Test Accuracy__MIN","absurd-sweep-7 - Test Accuracy__MAX","absurd-sweep-11 - Test Accuracy","absurd-sweep-11 - Test Accuracy__MIN","absurd-sweep-11 - Test Accuracy__MAX","amber-sweep-2 - Test Accuracy","amber-sweep-2 - Test Accuracy__MIN","amber-sweep-2 - Test Accuracy__MAX","silver-sweep-10 - Test Accuracy","silver-sweep-10 - Test Accuracy__MIN","silver-sweep-10 - Test Accuracy__MAX","ruby-sweep-9 - Test Accuracy","ruby-sweep-9 - Test Accuracy__MIN","ruby-sweep-9 - Test Accuracy__MAX","neat-sweep-4 - Test Accuracy","neat-sweep-4 - Test Accuracy__MIN","neat-sweep-4 - Test Accuracy__MAX","comic-sweep-6 - Test Accuracy","comic-sweep-6 - Test Accuracy__MIN","comic-sweep-6 - Test Accuracy__MAX","devoted-sweep-1 - Test Accuracy","devoted-sweep-1 - Test Accuracy__MIN","devoted-sweep-1 - Test Accuracy__MAX"
"0","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.44766666666666666","0.44416666666666665","0.44416666666666665","0.44416666666666665","0.4523333333333333","0.4523333333333333","0.4523333333333333","0.44616666666666666","0.44616666666666666","0.44616666666666666","0.4503333333333333","0.4503333333333333","0.4503333333333333","0.44733333333333336","0.44733333333333336","0.44733333333333336","0.4508333333333333","0.4508333333333333","0.4508333333333333","0.4503333333333333","0.4503333333333333","0.4503333333333333","0.44633333333333336","0.44633333333333336","0.44633333333333336","0.45316666666666666","0.45316666666666666","0.45316666666666666"
"50","0.5568333333333333","0.5568333333333333","0.5568333333333333","0.5483333333333333","0.5483333333333333","0.5483333333333333","0.549","0.549","0.549","0.5533333333333333","0.5533333333333333","0.5533333333333333","0.5571666666666667","0.5571666666666667","0.5571666666666667","0.5533333333333333","0.5533333333333333","0.5533333333333333","0.552","0.552","0.552","0.5581666666666667","0.5581666666666667","0.5581666666666667","0.5526666666666666","0.5526666666666666","0.5526666666666666","0.554","0.554","0.554","0.5606666666666666","0.5606666666666666","0.5606666666666666"
"100","0.667","0.667","0.667","0.6661666666666667","0.6661666666666667","0.6661666666666667","0.665","0.665","0.665","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6711666666666667","0.6711666666666667","0.6711666666666667","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6641666666666667","0.6641666666666667","0.6641666666666667","0.6726666666666666","0.6726666666666666","0.6726666666666666","0.6663333333333333","0.6663333333333333","0.6663333333333333","0.6671666666666667","0.6671666666666667","0.6671666666666667","0.6765","0.6765","0.6765"
"150","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.7508333333333334","0.7508333333333334","0.7508333333333334","0.7478333333333333","0.7478333333333333","0.7478333333333333","0.75","0.75","0.75","0.7493333333333333","0.7493333333333333","0.7493333333333333","0.7523333333333333","0.7523333333333333","0.7523333333333333","0.7501666666666666","0.7501666666666666","0.7501666666666666","0.7495","0.7495","0.7495","0.7505","0.7505","0.7505","0.7505","0.7505","0.7505","0.7608333333333334","0.7608333333333334","0.7608333333333334"
"200","0.7973333333333333","0.7973333333333333","0.7973333333333333","0.7936666666666666","0.7936666666666666","0.7936666666666666","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.794","0.794","0.794","0.7973333333333333","0.7973333333333333","0.7973333333333333","0.7946666666666666","0.7946666666666666","0.7946666666666666","0.7926666666666666","0.7926666666666666","0.7926666666666666","0.794","0.794","0.794","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.7966666666666666","0.7966666666666666","0.7966666666666666","0.7975","0.7975","0.7975"
"250","0.8106666666666666","0.8106666666666666","0.8106666666666666","0.8103333333333333","0.8103333333333333","0.8103333333333333","0.8096666666666666","0.8096666666666666","0.8096666666666666","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8111666666666667","0.8111666666666667","0.8111666666666667","0.8108333333333333","0.8108333333333333","0.8108333333333333","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.8088333333333333","0.8088333333333333","0.8088333333333333","0.8103333333333333","0.8103333333333333","0.8103333333333333","0.8086666666666666","0.8086666666666666","0.8086666666666666","0.8123333333333334","0.8123333333333334","0.8123333333333334"
"300","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8171666666666667","0.8171666666666667","0.8171666666666667","0.8168333333333333","0.8168333333333333","0.8168333333333333","0.8163333333333334","0.8163333333333334","0.8163333333333334","0.818","0.818","0.818","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.8168333333333333","0.8168333333333333","0.8168333333333333","0.8163333333333334","0.8163333333333334","0.8163333333333334","0.8151666666666667","0.8151666666666667","0.8151666666666667","0.815","0.815","0.815","0.8176666666666667","0.8176666666666667","0.8176666666666667"
"350","0.8211666666666667","0.8211666666666667","0.8211666666666667","0.8205","0.8205","0.8205","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.8198333333333333","0.8198333333333333","0.8198333333333333","0.819","0.819","0.819","0.817","0.817","0.817","0.8165","0.8165","0.8165","0.817","0.817","0.817","0.817","0.817","0.817","0.8178333333333333","0.8178333333333333","0.8178333333333333"
"400","0.8198333333333333","0.8198333333333333","0.8198333333333333","0.8196666666666667","0.8196666666666667","0.8196666666666667","0.8191666666666667","0.8191666666666667","0.8191666666666667","0.8188333333333333","0.8188333333333333","0.8188333333333333","0.8186666666666667","0.8186666666666667","0.8186666666666667","0.8185","0.8185","0.8185","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.818","0.818","0.818","0.817","0.817","0.817","0.8168333333333333","0.8168333333333333","0.8168333333333333","0.8163333333333334","0.8163333333333334","0.8163333333333334"
