"Step","youthful-sweep-10 - Test Accuracy","youthful-sweep-10 - Test Accuracy__MIN","youthful-sweep-10 - Test Accuracy__MAX","deep-sweep-9 - Test Accuracy","deep-sweep-9 - Test Accuracy__MIN","deep-sweep-9 - Test Accuracy__MAX","confused-sweep-8 - Test Accuracy","confused-sweep-8 - Test Accuracy__MIN","confused-sweep-8 - Test Accuracy__MAX","wild-sweep-7 - Test Accuracy","wild-sweep-7 - Test Accuracy__MIN","wild-sweep-7 - Test Accuracy__MAX","devout-sweep-6 - Test Accuracy","devout-sweep-6 - Test Accuracy__MIN","devout-sweep-6 - Test Accuracy__MAX"
"0","0.600854380960985","0.600854380960985","0.600854380960985","0.6048036343455984","0.6048036343455984","0.6048036343455984","0.603422686266665","0.603422686266665","0.603422686266665","0.5690667630318909","0.5690667630318909","0.5690667630318909","0.5958726430313747","0.5958726430313747","0.5958726430313747"
"50","0.8949059793761213","0.8949059793761213","0.8949059793761213","0.8937444342629997","0.8937444342629997","0.8937444342629997","0.8923763922408786","0.8923763922408786","0.8923763922408786","0.8932669101609385","0.8932669101609385","0.8932669101609385","0.8914213440367564","0.8914213440367564","0.8914213440367564"
"100","0.8974742846818011","0.8974742846818011","0.8974742846818011","0.8949317914897461","0.8949317914897461","0.8949317914897461","0.8948543551488713","0.8948543551488713","0.8948543551488713","0.8975000967954261","0.8975000967954261","0.8975000967954261","0.8964547061936167","0.8964547061936167","0.8964547061936167"
"150","0.898055057238362","0.898055057238362","0.898055057238362","0.898532581340423","0.898532581340423","0.898532581340423","0.8983131783746112","0.8983131783746112","0.8983131783746112","0.8986874540221726","0.8986874540221726","0.8986874540221726","0.8988810448743595","0.8988810448743595","0.8988810448743595"
"200","0.9010492624188532","0.9010492624188532","0.9010492624188532","0.9006104564872295","0.9006104564872295","0.9006104564872295","0.8994489113741079","0.8994489113741079","0.8994489113741079","0.8999909657602313","0.8999909657602313","0.8999909657602313","0.8995263477149826","0.8995263477149826","0.8995263477149826"
"250","0.9003394292941678","0.9003394292941678","0.9003394292941678","0.9004426777486675","0.9004426777486675","0.9004426777486675","0.9010363563620407","0.9010363563620407","0.9010363563620407","0.9000684021011061","0.9000684021011061","0.9000684021011061","0.9013461017255398","0.9013461017255398","0.9013461017255398"
"300","0.8993327568627957","0.8993327568627957","0.8993327568627957","0.9013977259527897","0.9013977259527897","0.9013977259527897","0.9001071202715434","0.9001071202715434","0.9001071202715434","0.8998877173057316","0.8998877173057316","0.8998877173057316","0.9015396925777267","0.9015396925777267","0.9015396925777267"
"350","0.9016816592026639","0.9016816592026639","0.9016816592026639","0.9025463650090988","0.9025463650090988","0.9025463650090988","0.9003910535214176","0.9003910535214176","0.9003910535214176","0.900791141282604","0.900791141282604","0.900791141282604","0.9023269620432869","0.9023269620432869","0.9023269620432869"
"400","0.9025979892363486","0.9025979892363486","0.9025979892363486","0.900933107907541","0.900933107907541","0.900933107907541","0.8995521598286076","0.8995521598286076","0.8995521598286076","0.8997457506807945","0.8997457506807945","0.8997457506807945","0.9020172166797878","0.9020172166797878","0.9020172166797878"
