"Step","different-sweep-20 - Test Accuracy","different-sweep-20 - Test Accuracy__MIN","different-sweep-20 - Test Accuracy__MAX","devout-sweep-19 - Test Accuracy","devout-sweep-19 - Test Accuracy__MIN","devout-sweep-19 - Test Accuracy__MAX","peach-sweep-18 - Test Accuracy","peach-sweep-18 - Test Accuracy__MIN","peach-sweep-18 - Test Accuracy__MAX","sparkling-sweep-17 - Test Accuracy","sparkling-sweep-17 - Test Accuracy__MIN","sparkling-sweep-17 - Test Accuracy__MAX","amber-sweep-16 - Test Accuracy","amber-sweep-16 - Test Accuracy__MIN","amber-sweep-16 - Test Accuracy__MAX"
"0","0.7554689415742808","0.7554689415742808","0.7554689415742808","0.7529393544390383","0.7529393544390383","0.7529393544390383","0.7543203025179717","0.7543203025179717","0.7543203025179717","0.7525908909051018","0.7525908909051018","0.7525908909051018","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.8971129150910522","0.8971129150910522","0.8971129150910522","0.8961191487164927","0.8961191487164927","0.8961191487164927","0.8967902636707407","0.8967902636707407","0.8967902636707407","0.8962611153414297","0.8962611153414297","0.8962611153414297","0.8962353032278048","0.8962353032278048","0.8962353032278048"
"100","0.9004943019759173","0.9004943019759173","0.9004943019759173","0.8998231870216693","0.8998231870216693","0.8998231870216693","0.8997715627944194","0.8997715627944194","0.8997715627944194","0.9002103687260431","0.9002103687260431","0.9002103687260431","0.9003523353509802","0.9003523353509802","0.9003523353509802"
"150","0.9017203773731012","0.9017203773731012","0.9017203773731012","0.9019139682252881","0.9019139682252881","0.9019139682252881","0.9014235380664146","0.9014235380664146","0.9014235380664146","0.9027399558612857","0.9027399558612857","0.9027399558612857","0.9008298594530413","0.9008298594530413","0.9008298594530413"
"200","0.9043144947924061","0.9043144947924061","0.9043144947924061","0.9033207284178465","0.9033207284178465","0.9033207284178465","0.9030497012247848","0.9030497012247848","0.9030497012247848","0.9032432920769717","0.9032432920769717","0.9032432920769717","0.902830298258973","0.902830298258973","0.902830298258973"
"250","0.9023656802137243","0.9023656802137243","0.9023656802137243","0.9037595343494702","0.9037595343494702","0.9037595343494702","0.9035401313836583","0.9035401313836583","0.9035401313836583","0.9042757766219687","0.9042757766219687","0.9042757766219687","0.9037079101222204","0.9037079101222204","0.9037079101222204"
"300","0.9035788495540957","0.9035788495540957","0.9035788495540957","0.903836970690345","0.903836970690345","0.903836970690345","0.9045984280422802","0.9045984280422802","0.9045984280422802","0.9040305615425319","0.9040305615425319","0.9040305615425319","0.9043532129628434","0.9043532129628434","0.9043532129628434"
"350","0.9041854342242814","0.9041854342242814","0.9041854342242814","0.9039402191448447","0.9039402191448447","0.9039402191448447","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9030626072815973","0.9030626072815973","0.9030626072815973","0.9048952673489669","0.9048952673489669","0.9048952673489669"
"400","0.9055792883600273","0.9055792883600273","0.9055792883600273","0.9033465405314715","0.9033465405314715","0.9033465405314715","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9047920188944671","0.9047920188944671","0.9047920188944671","0.9046500522695301","0.9046500522695301","0.9046500522695301"
