"Step","good-sweep-20 - Test Accuracy","good-sweep-20 - Test Accuracy__MIN","good-sweep-20 - Test Accuracy__MAX","ethereal-sweep-19 - Test Accuracy","ethereal-sweep-19 - Test Accuracy__MIN","ethereal-sweep-19 - Test Accuracy__MAX","spring-sweep-18 - Test Accuracy","spring-sweep-18 - Test Accuracy__MIN","spring-sweep-18 - Test Accuracy__MAX","sleek-sweep-17 - Test Accuracy","sleek-sweep-17 - Test Accuracy__MIN","sleek-sweep-17 - Test Accuracy__MAX","iconic-sweep-16 - Test Accuracy","iconic-sweep-16 - Test Accuracy__MIN","iconic-sweep-16 - Test Accuracy__MAX"
"0","0.7554689415742808","0.7554689415742808","0.7554689415742808","0.7529393544390383","0.7529393544390383","0.7529393544390383","0.7543203025179717","0.7543203025179717","0.7543203025179717","0.7525908909051018","0.7525908909051018","0.7525908909051018","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.8971774453751146","0.8971774453751146","0.8971774453751146","0.8961965850573674","0.8961965850573674","0.8961965850573674","0.896183679000555","0.896183679000555","0.896183679000555","0.8963385516823045","0.8963385516823045","0.8963385516823045","0.8957706851825562","0.8957706851825562","0.8957706851825562"
"100","0.9003265232373553","0.9003265232373553","0.9003265232373553","0.9005330201463547","0.9005330201463547","0.9005330201463547","0.9001845566124183","0.9001845566124183","0.9001845566124183","0.9010492624188532","0.9010492624188532","0.9010492624188532","0.8999780597034188","0.8999780597034188","0.8999780597034188"
"150","0.9018365318844134","0.9018365318844134","0.9018365318844134","0.902301149929662","0.902301149929662","0.902301149929662","0.9013848198959772","0.9013848198959772","0.9013848198959772","0.9027141437476608","0.9027141437476608","0.9027141437476608","0.9021849954183498","0.9021849954183498","0.9021849954183498"
"200","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.9036562858949705","0.9036562858949705","0.9036562858949705","0.903475601099596","0.903475601099596","0.903475601099596","0.9030884193952222","0.9030884193952222","0.9030884193952222","0.9033594465882839","0.9033594465882839","0.9033594465882839"
"250","0.9024043983841616","0.9024043983841616","0.9024043983841616","0.9044048371900933","0.9044048371900933","0.9044048371900933","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9046242401559051","0.9046242401559051","0.9046242401559051","0.9040950918265942","0.9040950918265942","0.9040950918265942"
"300","0.9031013254520346","0.9031013254520346","0.9031013254520346","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9036046616677207","0.9036046616677207","0.9036046616677207","0.9039660312584696","0.9039660312584696","0.9039660312584696","0.9045338977582179","0.9045338977582179","0.9045338977582179"
"350","0.9042370584515314","0.9042370584515314","0.9042370584515314","0.9050759521443413","0.9050759521443413","0.9050759521443413","0.9037853464630952","0.9037853464630952","0.9037853464630952","0.9032691041905967","0.9032691041905967","0.9032691041905967","0.9052566369397158","0.9052566369397158","0.9052566369397158"
"400","0.9052695429965283","0.9052695429965283","0.9052695429965283","0.903307822361034","0.903307822361034","0.903307822361034","0.903669191951783","0.903669191951783","0.903669191951783","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.9053340732805906","0.9053340732805906","0.9053340732805906"
