"Step","curious-sweep-15 - Test Accuracy","curious-sweep-15 - Test Accuracy__MIN","curious-sweep-15 - Test Accuracy__MAX","rare-sweep-14 - Test Accuracy","rare-sweep-14 - Test Accuracy__MIN","rare-sweep-14 - Test Accuracy__MAX","bright-sweep-13 - Test Accuracy","bright-sweep-13 - Test Accuracy__MIN","bright-sweep-13 - Test Accuracy__MAX","denim-sweep-12 - Test Accuracy","denim-sweep-12 - Test Accuracy__MIN","denim-sweep-12 - Test Accuracy__MAX","astral-sweep-11 - Test Accuracy","astral-sweep-11 - Test Accuracy__MIN","astral-sweep-11 - Test Accuracy__MAX"
"0","0.7182091555567027","0.7182091555567027","0.7182091555567027","0.7174864163752049","0.7174864163752049","0.7174864163752049","0.7195642915220113","0.7195642915220113","0.7195642915220113","0.7131499812862176","0.7131499812862176","0.7131499812862176","0.7163764954893331","0.7163764954893331","0.7163764954893331"
"50","0.8995779719422324","0.8995779719422324","0.8995779719422324","0.8976420634203631","0.8976420634203631","0.8976420634203631","0.8978227482157376","0.8978227482157376","0.8978227482157376","0.8975775331363008","0.8975775331363008","0.8975775331363008","0.8977840300453003","0.8977840300453003","0.8977840300453003"
"100","0.9025205528954738","0.9025205528954738","0.9025205528954738","0.9003394292941678","0.9003394292941678","0.9003394292941678","0.9003652414077927","0.9003652414077927","0.9003652414077927","0.9013590077823522","0.9013590077823522","0.9013590077823522","0.9003007111237303","0.9003007111237303","0.9003007111237303"
"150","0.9028948285430353","0.9028948285430353","0.9028948285430353","0.9025850831795361","0.9025850831795361","0.9025850831795361","0.9023656802137243","0.9023656802137243","0.9023656802137243","0.9027657679749106","0.9027657679749106","0.9027657679749106","0.902301149929662","0.902301149929662","0.902301149929662"
"200","0.9042241523947189","0.9042241523947189","0.9042241523947189","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9040176554857194","0.9040176554857194","0.9040176554857194","0.903475601099596","0.903475601099596","0.903475601099596","0.9030497012247848","0.9030497012247848","0.9030497012247848"
"250","0.9034497889859712","0.9034497889859712","0.9034497889859712","0.9042370584515314","0.9042370584515314","0.9042370584515314","0.9048049249512796","0.9048049249512796","0.9048049249512796","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9043661190196559","0.9043661190196559","0.9043661190196559"
"300","0.9040176554857194","0.9040176554857194","0.9040176554857194","0.9041338099970316","0.9041338099970316","0.9041338099970316","0.9054889459623401","0.9054889459623401","0.9054889459623401","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9048436431217171","0.9048436431217171","0.9048436431217171"
"350","0.9055018520191526","0.9055018520191526","0.9055018520191526","0.9051146703147788","0.9051146703147788","0.9051146703147788","0.905346979337403","0.905346979337403","0.905346979337403","0.9040950918265942","0.9040950918265942","0.9040950918265942","0.9057470670985893","0.9057470670985893","0.9057470670985893"
"400","0.9060826245757134","0.9060826245757134","0.9060826245757134","0.9039402191448447","0.9039402191448447","0.9039402191448447","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9053082611669656","0.9053082611669656","0.9053082611669656","0.9059535640075888","0.9059535640075888","0.9059535640075888"
