"Step","young-sweep-15 - Test Accuracy","young-sweep-15 - Test Accuracy__MIN","young-sweep-15 - Test Accuracy__MAX","warm-sweep-14 - Test Accuracy","warm-sweep-14 - Test Accuracy__MIN","warm-sweep-14 - Test Accuracy__MAX","fluent-sweep-13 - Test Accuracy","fluent-sweep-13 - Test Accuracy__MIN","fluent-sweep-13 - Test Accuracy__MAX","flowing-sweep-12 - Test Accuracy","flowing-sweep-12 - Test Accuracy__MIN","flowing-sweep-12 - Test Accuracy__MAX","laced-sweep-11 - Test Accuracy","laced-sweep-11 - Test Accuracy__MIN","laced-sweep-11 - Test Accuracy__MAX"
"0","0.7182091555567027","0.7182091555567027","0.7182091555567027","0.7174864163752049","0.7174864163752049","0.7174864163752049","0.7195642915220113","0.7195642915220113","0.7195642915220113","0.7131499812862176","0.7131499812862176","0.7131499812862176","0.7163764954893331","0.7163764954893331","0.7163764954893331"
"50","0.8989584812152344","0.8989584812152344","0.8989584812152344","0.8978743724429875","0.8978743724429875","0.8978743724429875","0.8973710362273015","0.8973710362273015","0.8973710362273015","0.898055057238362","0.898055057238362","0.898055057238362","0.8982486480905489","0.8982486480905489","0.8982486480905489"
"100","0.9026108952931611","0.9026108952931611","0.9026108952931611","0.9008040473394164","0.9008040473394164","0.9008040473394164","0.9003136171805428","0.9003136171805428","0.9003136171805428","0.9011783229869778","0.9011783229869778","0.9011783229869778","0.9011654169301653","0.9011654169301653","0.9011654169301653"
"150","0.9025592710659113","0.9025592710659113","0.9025592710659113","0.9027786740317231","0.9027786740317231","0.9027786740317231","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9041596221106565","0.9041596221106565","0.9041596221106565","0.9032561981337842","0.9032561981337842","0.9032561981337842"
"200","0.9050759521443413","0.9050759521443413","0.9050759521443413","0.9037853464630952","0.9037853464630952","0.9037853464630952","0.9047145825535924","0.9047145825535924","0.9047145825535924","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.903836970690345","0.903836970690345","0.903836970690345"
"250","0.9045468038150304","0.9045468038150304","0.9045468038150304","0.9045984280422802","0.9045984280422802","0.9045984280422802","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9052695429965283","0.9052695429965283","0.9052695429965283"
"300","0.9040305615425319","0.9040305615425319","0.9040305615425319","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.9057599731554018","0.9057599731554018","0.9057599731554018","0.9033981647587213","0.9033981647587213","0.9033981647587213","0.9052308248260909","0.9052308248260909","0.9052308248260909"
"350","0.9059148458371514","0.9059148458371514","0.9059148458371514","0.90554057018959","0.90554057018959","0.90554057018959","0.905372791451028","0.905372791451028","0.905372791451028","0.9040305615425319","0.9040305615425319","0.9040305615425319","0.9063278396551502","0.9063278396551502","0.9063278396551502"
"400","0.9066246789618367","0.9066246789618367","0.9066246789618367","0.9038627828039699","0.9038627828039699","0.9038627828039699","0.9050630460875289","0.9050630460875289","0.9050630460875289","0.9046887704399674","0.9046887704399674","0.9046887704399674","0.9064052759960249","0.9064052759960249","0.9064052759960249"
