"Step","frosty-sweep-5 - Test Accuracy","frosty-sweep-5 - Test Accuracy__MIN","frosty-sweep-5 - Test Accuracy__MAX","magic-sweep-4 - Test Accuracy","magic-sweep-4 - Test Accuracy__MIN","magic-sweep-4 - Test Accuracy__MAX","lemon-sweep-3 - Test Accuracy","lemon-sweep-3 - Test Accuracy__MIN","lemon-sweep-3 - Test Accuracy__MAX","eternal-sweep-2 - Test Accuracy","eternal-sweep-2 - Test Accuracy__MIN","eternal-sweep-2 - Test Accuracy__MAX","rural-sweep-1 - Test Accuracy","rural-sweep-1 - Test Accuracy__MIN","rural-sweep-1 - Test Accuracy__MAX"
"0","0.3964611592220229","0.3964611592220229","0.3964611592220229","0.41714956829239963","0.41714956829239963","0.41714956829239963","0.40461778712749896","0.40461778712749896","0.40461778712749896","0.3535743324342114","0.3535743324342114","0.3535743324342114","0.38229030884193954","0.38229030884193954","0.38229030884193954"
"50","0.8883238904017655","0.8883238904017655","0.8883238904017655","0.8863234515958339","0.8863234515958339","0.8863234515958339","0.8838583947446537","0.8838583947446537","0.8838583947446537","0.8853167791644618","0.8853167791644618","0.8853167791644618","0.884955409573713","0.884955409573713","0.884955409573713"
"100","0.8895112476285121","0.8895112476285121","0.8895112476285121","0.8876140572770801","0.8876140572770801","0.8876140572770801","0.8857039608688357","0.8857039608688357","0.8857039608688357","0.8909567259915078","0.8909567259915078","0.8909567259915078","0.8884658570267027","0.8884658570267027","0.8884658570267027"
"150","0.8886594478788895","0.8886594478788895","0.8886594478788895","0.8910341623323826","0.8910341623323826","0.8910341623323826","0.8888530387310765","0.8888530387310765","0.8888530387310765","0.8921569892750668","0.8921569892750668","0.8921569892750668","0.893086225365564","0.893086225365564","0.893086225365564"
"200","0.8952931610804951","0.8952931610804951","0.8952931610804951","0.8937702463766245","0.8937702463766245","0.8937702463766245","0.8926603254907528","0.8926603254907528","0.8926603254907528","0.8922602377295665","0.8922602377295665","0.8922602377295665","0.892944258740627","0.892944258740627","0.892944258740627"
"250","0.8933314404450008","0.8933314404450008","0.8933314404450008","0.8944155492172476","0.8944155492172476","0.8944155492172476","0.8935379373540002","0.8935379373540002","0.8935379373540002","0.8930475071951267","0.8930475071951267","0.8930475071951267","0.8926216073203154","0.8926216073203154","0.8926216073203154"
"300","0.8902597989236348","0.8902597989236348","0.8902597989236348","0.8864912303343959","0.8864912303343959","0.8864912303343959","0.8941961462514358","0.8941961462514358","0.8941961462514358","0.8936024676380625","0.8936024676380625","0.8936024676380625","0.8972677877728018","0.8972677877728018","0.8972677877728018"
"350","0.8967386394434909","0.8967386394434909","0.8967386394434909","0.8951253823419331","0.8951253823419331","0.8951253823419331","0.8935121252403753","0.8935121252403753","0.8935121252403753","0.8958997457506808","0.8958997457506808","0.8958997457506808","0.8957061548984938","0.8957061548984938","0.8957061548984938"
"400","0.897719499761238","0.897719499761238","0.897719499761238","0.8937315282061872","0.8937315282061872","0.8937315282061872","0.8923634861840661","0.8923634861840661","0.8923634861840661","0.8945058916149349","0.8945058916149349","0.8945058916149349","0.8972548817159893","0.8972548817159893","0.8972548817159893"
