"Step","effortless-sweep-5 - Test Accuracy","effortless-sweep-5 - Test Accuracy__MIN","effortless-sweep-5 - Test Accuracy__MAX","logical-sweep-4 - Test Accuracy","logical-sweep-4 - Test Accuracy__MIN","logical-sweep-4 - Test Accuracy__MAX","electric-sweep-3 - Test Accuracy","electric-sweep-3 - Test Accuracy__MIN","electric-sweep-3 - Test Accuracy__MAX","spring-sweep-2 - Test Accuracy","spring-sweep-2 - Test Accuracy__MIN","spring-sweep-2 - Test Accuracy__MAX","zesty-sweep-1 - Test Accuracy","zesty-sweep-1 - Test Accuracy__MIN","zesty-sweep-1 - Test Accuracy__MAX"
"0","0.04639727424080121","0.04639727424080121","0.04639727424080121","0.05264380573803286","0.05264380573803286","0.05264380573803286","0.07146083657060258","0.07146083657060258","0.07146083657060258","0.03658867106333002","0.03658867106333002","0.03658867106333002","0.04052501839113096","0.04052501839113096","0.04052501839113096"
"50","0.8616212588567815","0.8616212588567815","0.8616212588567815","0.865209142650646","0.865209142650646","0.865209142650646","0.8611179226410954","0.8611179226410954","0.8611179226410954","0.8524579585199334","0.8524579585199334","0.8524579585199334","0.8606403985390344","0.8606403985390344","0.8606403985390344"
"100","0.870655498625505","0.870655498625505","0.870655498625505","0.8624859646632165","0.8624859646632165","0.8624859646632165","0.8646283700940851","0.8646283700940851","0.8646283700940851","0.8713395196365654","0.8713395196365654","0.8713395196365654","0.8607565530503465","0.8607565530503465","0.8607565530503465"
"150","0.8694294232283211","0.8694294232283211","0.8694294232283211","0.8708619955345044","0.8708619955345044","0.8708619955345044","0.8675322328768891","0.8675322328768891","0.8675322328768891","0.8731463675903102","0.8731463675903102","0.8731463675903102","0.8744756914419938","0.8744756914419938","0.8744756914419938"
"200","0.8708490894776919","0.8708490894776919","0.8708490894776919","0.8730173070221855","0.8730173070221855","0.8730173070221855","0.8725914071473743","0.8725914071473743","0.8725914071473743","0.8730947433630603","0.8730947433630603","0.8730947433630603","0.870823277364067","0.870823277364067","0.870823277364067"
"250","0.8743982551011189","0.8743982551011189","0.8743982551011189","0.875379115418866","0.875379115418866","0.875379115418866","0.8691842081488843","0.8691842081488843","0.8691842081488843","0.8649123033439593","0.8649123033439593","0.8649123033439593","0.8737400462036834","0.8737400462036834","0.8737400462036834"
"300","0.8713782378070029","0.8713782378070029","0.8713782378070029","0.8737658583173084","0.8737658583173084","0.8737658583173084","0.8728495282836235","0.8728495282836235","0.8728495282836235","0.8697520746486326","0.8697520746486326","0.8697520746486326","0.8733141463288722","0.8733141463288722","0.8733141463288722"
"350","0.8744756914419938","0.8744756914419938","0.8744756914419938","0.8746563762373682","0.8746563762373682","0.8746563762373682","0.8689906172966974","0.8689906172966974","0.8689906172966974","0.8673386420247022","0.8673386420247022","0.8673386420247022","0.8741014157944323","0.8741014157944323","0.8741014157944323"
"400","0.8777022056451093","0.8777022056451093","0.8777022056451093","0.873701328033246","0.873701328033246","0.873701328033246","0.8634281068105262","0.8634281068105262","0.8634281068105262","0.8761405727708014","0.8761405727708014","0.8761405727708014","0.8717008892273144","0.8717008892273144","0.8717008892273144"
