"Step","denim-sweep-10 - Test Accuracy","denim-sweep-10 - Test Accuracy__MIN","denim-sweep-10 - Test Accuracy__MAX","misunderstood-sweep-9 - Test Accuracy","misunderstood-sweep-9 - Test Accuracy__MIN","misunderstood-sweep-9 - Test Accuracy__MAX","bright-sweep-8 - Test Accuracy","bright-sweep-8 - Test Accuracy__MIN","bright-sweep-8 - Test Accuracy__MAX","frosty-sweep-7 - Test Accuracy","frosty-sweep-7 - Test Accuracy__MIN","frosty-sweep-7 - Test Accuracy__MAX","rosy-sweep-6 - Test Accuracy","rosy-sweep-6 - Test Accuracy__MIN","rosy-sweep-6 - Test Accuracy__MAX"
"0","0.6010608778699844","0.6010608778699844","0.6010608778699844","0.6056683401520333","0.6056683401520333","0.6056683401520333","0.6049972251977853","0.6049972251977853","0.6049972251977853","0.5691312933159531","0.5691312933159531","0.5691312933159531","0.5958597369745622","0.5958597369745622","0.5958597369745622"
"50","0.8958094033529935","0.8958094033529935","0.8958094033529935","0.8936928100357497","0.8936928100357497","0.8936928100357497","0.893086225365564","0.893086225365564","0.893086225365564","0.8938476827174994","0.8938476827174994","0.8938476827174994","0.8922731437863789","0.8922731437863789","0.8922731437863789"
"100","0.8992682265787334","0.8992682265787334","0.8992682265787334","0.8970741969206149","0.8970741969206149","0.8970741969206149","0.8951899126259953","0.8951899126259953","0.8951899126259953","0.8972806938296143","0.8972806938296143","0.8972806938296143","0.8960288063188054","0.8960288063188054","0.8960288063188054"
"150","0.8982099299201115","0.8982099299201115","0.8982099299201115","0.8991133538969839","0.8991133538969839","0.8991133538969839","0.8981712117496741","0.8981712117496741","0.8981712117496741","0.8986487358517352","0.8986487358517352","0.8986487358517352","0.8988552327607346","0.8988552327607346","0.8988552327607346"
"200","0.9011137927029155","0.9011137927029155","0.9011137927029155","0.9003781474646051","0.9003781474646051","0.9003781474646051","0.8988165145902972","0.8988165145902972","0.8988165145902972","0.8992682265787334","0.8992682265787334","0.8992682265787334","0.8988810448743595","0.8988810448743595","0.8988810448743595"
"250","0.9008040473394164","0.9008040473394164","0.9008040473394164","0.900765329168979","0.900765329168979","0.900765329168979","0.900739517055354","0.900739517055354","0.900739517055354","0.8999006233625441","0.8999006233625441","0.8999006233625441","0.900791141282604","0.900791141282604","0.900791141282604"
"300","0.8999393415329814","0.8999393415329814","0.8999393415329814","0.8995908779990449","0.8995908779990449","0.8995908779990449","0.900623362544042","0.900623362544042","0.900623362544042","0.8995005356013577","0.8995005356013577","0.8995005356013577","0.9020301227366003","0.9020301227366003","0.9020301227366003"
"350","0.9021720893615374","0.9021720893615374","0.9021720893615374","0.901075074532478","0.901075074532478","0.901075074532478","0.9013461017255398","0.9013461017255398","0.9013461017255398","0.9004943019759173","0.9004943019759173","0.9004943019759173","0.9023785862705368","0.9023785862705368","0.9023785862705368"
"400","0.9039015009744072","0.9039015009744072","0.9039015009744072","0.8996425022262948","0.8996425022262948","0.8996425022262948","0.9003007111237303","0.9003007111237303","0.9003007111237303","0.90045558380548","0.90045558380548","0.90045558380548","0.9024431165545991","0.9024431165545991","0.9024431165545991"
