"Step","vocal-sweep-15 - Test Accuracy","vocal-sweep-15 - Test Accuracy__MIN","vocal-sweep-15 - Test Accuracy__MAX","easy-sweep-14 - Test Accuracy","easy-sweep-14 - Test Accuracy__MIN","easy-sweep-14 - Test Accuracy__MAX","clear-sweep-13 - Test Accuracy","clear-sweep-13 - Test Accuracy__MIN","clear-sweep-13 - Test Accuracy__MAX","dazzling-sweep-12 - Test Accuracy","dazzling-sweep-12 - Test Accuracy__MIN","dazzling-sweep-12 - Test Accuracy__MAX","worthy-sweep-11 - Test Accuracy","worthy-sweep-11 - Test Accuracy__MIN","worthy-sweep-11 - Test Accuracy__MAX"
"0","0.7184285585225146","0.7184285585225146","0.7184285585225146","0.716931455932269","0.716931455932269","0.716931455932269","0.7188544583973259","0.7188544583973259","0.7188544583973259","0.7126466450705315","0.7126466450705315","0.7126466450705315","0.7168798317050191","0.7168798317050191","0.7168798317050191"
"50","0.8995521598286076","0.8995521598286076","0.8995521598286076","0.8984551449995483","0.8984551449995483","0.8984551449995483","0.8979776208974872","0.8979776208974872","0.8979776208974872","0.8984938631699857","0.8984938631699857","0.8984938631699857","0.8978485603293626","0.8978485603293626","0.8978485603293626"
"100","0.9025463650090988","0.9025463650090988","0.9025463650090988","0.9010363563620407","0.9010363563620407","0.9010363563620407","0.9002103687260431","0.9002103687260431","0.9002103687260431","0.9003910535214176","0.9003910535214176","0.9003910535214176","0.9012170411574152","0.9012170411574152","0.9012170411574152"
"150","0.9030755133384097","0.9030755133384097","0.9030755133384097","0.9032949163042215","0.9032949163042215","0.9032949163042215","0.9024560226114116","0.9024560226114116","0.9024560226114116","0.9027141437476608","0.9027141437476608","0.9027141437476608","0.9029464527702851","0.9029464527702851","0.9029464527702851"
"200","0.9054373217350903","0.9054373217350903","0.9054373217350903","0.9052824490533408","0.9052824490533408","0.9052824490533408","0.9033207284178465","0.9033207284178465","0.9033207284178465","0.9042499645083437","0.9042499645083437","0.9042499645083437","0.9038627828039699","0.9038627828039699","0.9038627828039699"
"250","0.9038756888607824","0.9038756888607824","0.9038756888607824","0.9047791128376547","0.9047791128376547","0.9047791128376547","0.9052953551101532","0.9052953551101532","0.9052953551101532","0.903475601099596","0.903475601099596","0.903475601099596","0.9048823612921544","0.9048823612921544","0.9048823612921544"
"300","0.9043144947924061","0.9043144947924061","0.9043144947924061","0.9043015887355936","0.9043015887355936","0.9043015887355936","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9043661190196559","0.9043661190196559","0.9043661190196559","0.9055921944168398","0.9055921944168398","0.9055921944168398"
"350","0.9055792883600273","0.9055792883600273","0.9055792883600273","0.9053598853942155","0.9053598853942155","0.9053598853942155","0.9043532129628434","0.9043532129628434","0.9043532129628434","0.9037208161790328","0.9037208161790328","0.9037208161790328","0.9055018520191526","0.9055018520191526","0.9055018520191526"
"400","0.9065730547345869","0.9065730547345869","0.9065730547345869","0.9039015009744072","0.9039015009744072","0.9039015009744072","0.9045726159286553","0.9045726159286553","0.9045726159286553","0.9055534762464025","0.9055534762464025","0.9055534762464025","0.9059406579507763","0.9059406579507763","0.9059406579507763"
