"Step","trim-sweep-20 - Test Accuracy","trim-sweep-20 - Test Accuracy__MIN","trim-sweep-20 - Test Accuracy__MAX","atomic-sweep-19 - Test Accuracy","atomic-sweep-19 - Test Accuracy__MIN","atomic-sweep-19 - Test Accuracy__MAX","copper-sweep-18 - Test Accuracy","copper-sweep-18 - Test Accuracy__MIN","copper-sweep-18 - Test Accuracy__MAX","devoted-sweep-17 - Test Accuracy","devoted-sweep-17 - Test Accuracy__MIN","devoted-sweep-17 - Test Accuracy__MAX","astral-sweep-16 - Test Accuracy","astral-sweep-16 - Test Accuracy__MIN","astral-sweep-16 - Test Accuracy__MAX"
"0","0.7552882567789063","0.7552882567789063","0.7552882567789063","0.7529780726094756","0.7529780726094756","0.7529780726094756","0.7536749996773486","0.7536749996773486","0.7536749996773486","0.7529264483822258","0.7529264483822258","0.7529264483822258","0.7541783358930346","0.7541783358930346","0.7541783358930346"
"50","0.897861466386175","0.897861466386175","0.897861466386175","0.8968031697275531","0.8968031697275531","0.8968031697275531","0.8966741091594285","0.8966741091594285","0.8966741091594285","0.8975646270794884","0.8975646270794884","0.8975646270794884","0.8960288063188054","0.8960288063188054","0.8960288063188054"
"100","0.9013719138391647","0.9013719138391647","0.9013719138391647","0.900958920021166","0.900958920021166","0.900958920021166","0.900236180839668","0.900236180839668","0.900236180839668","0.9006620807144793","0.9006620807144793","0.9006620807144793","0.9001071202715434","0.9001071202715434","0.9001071202715434"
"150","0.9027657679749106","0.9027657679749106","0.9027657679749106","0.90040395957823","0.90040395957823","0.90040395957823","0.9018623439980383","0.9018623439980383","0.9018623439980383","0.9021979014751623","0.9021979014751623","0.9021979014751623","0.9016945652594762","0.9016945652594762","0.9016945652594762"
"200","0.904004749428907","0.904004749428907","0.904004749428907","0.90381115857672","0.90381115857672","0.90381115857672","0.9033852587019088","0.9033852587019088","0.9033852587019088","0.9029206406566602","0.9029206406566602","0.9029206406566602","0.9035143192700335","0.9035143192700335","0.9035143192700335"
"250","0.9029464527702851","0.9029464527702851","0.9029464527702851","0.9037853464630952","0.9037853464630952","0.9037853464630952","0.9039015009744072","0.9039015009744072","0.9039015009744072","0.9036950040654079","0.9036950040654079","0.9036950040654079","0.9036046616677207","0.9036046616677207","0.9036046616677207"
"300","0.90297226488391","0.90297226488391","0.90297226488391","0.903307822361034","0.903307822361034","0.903307822361034","0.9044564614173431","0.9044564614173431","0.9044564614173431","0.9039531252016572","0.9039531252016572","0.9039531252016572","0.9046500522695301","0.9046500522695301","0.9046500522695301"
"350","0.9056438186440897","0.9056438186440897","0.9056438186440897","0.9038498767471574","0.9038498767471574","0.9038498767471574","0.9037079101222204","0.9037079101222204","0.9037079101222204","0.9029593588270975","0.9029593588270975","0.9029593588270975","0.9049081734057793","0.9049081734057793","0.9049081734057793"
"400","0.9054373217350903","0.9054373217350903","0.9054373217350903","0.9027786740317231","0.9027786740317231","0.9027786740317231","0.9035659434972833","0.9035659434972833","0.9035659434972833","0.9044951795877806","0.9044951795877806","0.9044951795877806","0.905514758075965","0.905514758075965","0.905514758075965"
