"Step","youthful-sweep-5 - Test Accuracy","youthful-sweep-5 - Test Accuracy__MIN","youthful-sweep-5 - Test Accuracy__MAX","fiery-sweep-4 - Test Accuracy","fiery-sweep-4 - Test Accuracy__MIN","fiery-sweep-4 - Test Accuracy__MAX","good-sweep-3 - Test Accuracy","good-sweep-3 - Test Accuracy__MIN","good-sweep-3 - Test Accuracy__MAX","decent-sweep-2 - Test Accuracy","decent-sweep-2 - Test Accuracy__MIN","decent-sweep-2 - Test Accuracy__MAX","fast-sweep-1 - Test Accuracy","fast-sweep-1 - Test Accuracy__MIN","fast-sweep-1 - Test Accuracy__MAX"
"0","0.395402862563401","0.395402862563401","0.395402862563401","0.41833692551914614","0.41833692551914614","0.41833692551914614","0.4048888143205606","0.4048888143205606","0.4048888143205606","0.35321296284346243","0.35321296284346243","0.35321296284346243","0.3835551024095608","0.3835551024095608","0.3835551024095608"
"50","0.8858846456642102","0.8858846456642102","0.8858846456642102","0.8848521611192133","0.8848521611192133","0.8848521611192133","0.883084031335906","0.883084031335906","0.883084031335906","0.8822451376430959","0.8822451376430959","0.8822451376430959","0.8836260857220294","0.8836260857220294","0.8836260857220294"
"100","0.8901307383555103","0.8901307383555103","0.8901307383555103","0.8857426790392732","0.8857426790392732","0.8857426790392732","0.88341958881303","0.88341958881303","0.88341958881303","0.8901049262418853","0.8901049262418853","0.8901049262418853","0.885962082005085","0.885962082005085","0.885962082005085"
"150","0.8893434688899501","0.8893434688899501","0.8893434688899501","0.889537059742137","0.889537059742137","0.889537059742137","0.8889433811287637","0.8889433811287637","0.8889433811287637","0.8900920201850728","0.8900920201850728","0.8900920201850728","0.8906727927416337","0.8906727927416337","0.8906727927416337"
"200","0.8935766555244377","0.8935766555244377","0.8935766555244377","0.8927119497180026","0.8927119497180026","0.8927119497180026","0.8916923712298181","0.8916923712298181","0.8916923712298181","0.8870074726068944","0.8870074726068944","0.8870074726068944","0.8916536530593807","0.8916536530593807","0.8916536530593807"
"250","0.8904275776621968","0.8904275776621968","0.8904275776621968","0.8918085257411303","0.8918085257411303","0.8918085257411303","0.8924796406953783","0.8924796406953783","0.8924796406953783","0.8917052772866306","0.8917052772866306","0.8917052772866306","0.8888272266174516","0.8888272266174516","0.8888272266174516"
"300","0.8906986048552585","0.8906986048552585","0.8906986048552585","0.8925699830930656","0.8925699830930656","0.8925699830930656","0.8919246802524424","0.8919246802524424","0.8919246802524424","0.890711510912071","0.890711510912071","0.890711510912071","0.8934605010131255","0.8934605010131255","0.8934605010131255"
"350","0.8942219583650607","0.8942219583650607","0.8942219583650607","0.8902597989236348","0.8902597989236348","0.8902597989236348","0.8908147593665707","0.8908147593665707","0.8908147593665707","0.8917052772866306","0.8917052772866306","0.8917052772866306","0.8937444342629997","0.8937444342629997","0.8937444342629997"
"400","0.8947769188079966","0.8947769188079966","0.8947769188079966","0.8917052772866306","0.8917052772866306","0.8917052772866306","0.8879238026405792","0.8879238026405792","0.8879238026405792","0.8947511066943716","0.8947511066943716","0.8947511066943716","0.8939767432856239","0.8939767432856239","0.8939767432856239"
