"Step","olive-sweep-10 - Test Accuracy","olive-sweep-10 - Test Accuracy__MIN","olive-sweep-10 - Test Accuracy__MAX","vibrant-sweep-9 - Test Accuracy","vibrant-sweep-9 - Test Accuracy__MIN","vibrant-sweep-9 - Test Accuracy__MAX","golden-sweep-8 - Test Accuracy","golden-sweep-8 - Test Accuracy__MIN","golden-sweep-8 - Test Accuracy__MAX","solar-sweep-7 - Test Accuracy","solar-sweep-7 - Test Accuracy__MIN","solar-sweep-7 - Test Accuracy__MAX","sweepy-sweep-6 - Test Accuracy","sweepy-sweep-6 - Test Accuracy__MIN","sweepy-sweep-6 - Test Accuracy__MAX"
"0","0.6010608778699844","0.6010608778699844","0.6010608778699844","0.6056683401520333","0.6056683401520333","0.6056683401520333","0.6049972251977853","0.6049972251977853","0.6049972251977853","0.5691312933159531","0.5691312933159531","0.5691312933159531","0.5958597369745622","0.5958597369745622","0.5958597369745622"
"50","0.8955641882735568","0.8955641882735568","0.8955641882735568","0.8900791141282604","0.8900791141282604","0.8900791141282604","0.8938218706038744","0.8938218706038744","0.8938218706038744","0.8952544429100577","0.8952544429100577","0.8952544429100577","0.8933443465018133","0.8933443465018133","0.8933443465018133"
"100","0.8994360053172954","0.8994360053172954","0.8994360053172954","0.8968935121252404","0.8968935121252404","0.8968935121252404","0.8957835912393687","0.8957835912393687","0.8957835912393687","0.8986616419085477","0.8986616419085477","0.8986616419085477","0.897719499761238","0.897719499761238","0.897719499761238"
"150","0.8999393415329814","0.8999393415329814","0.8999393415329814","0.8995392537717951","0.8995392537717951","0.8995392537717951","0.8989068569879844","0.8989068569879844","0.8989068569879844","0.9000038718170438","0.9000038718170438","0.9000038718170438","0.8994876295445453","0.8994876295445453","0.8994876295445453"
"200","0.9023398681000994","0.9023398681000994","0.9023398681000994","0.9024043983841616","0.9024043983841616","0.9024043983841616","0.900765329168979","0.900765329168979","0.900765329168979","0.9017074713162887","0.9017074713162887","0.9017074713162887","0.9007524231121665","0.9007524231121665","0.9007524231121665"
"250","0.9015655046913517","0.9015655046913517","0.9015655046913517","0.9025205528954738","0.9025205528954738","0.9025205528954738","0.9015655046913517","0.9015655046913517","0.9015655046913517","0.9002748990101055","0.9002748990101055","0.9002748990101055","0.9020301227366003","0.9020301227366003","0.9020301227366003"
"300","0.9013073835551024","0.9013073835551024","0.9013073835551024","0.9013848198959772","0.9013848198959772","0.9013848198959772","0.9020688409070377","0.9020688409070377","0.9020688409070377","0.9015138804641019","0.9015138804641019","0.9015138804641019","0.9027657679749106","0.9027657679749106","0.9027657679749106"
"350","0.9031787617929095","0.9031787617929095","0.9031787617929095","0.902301149929662","0.902301149929662","0.902301149929662","0.9014493501800395","0.9014493501800395","0.9014493501800395","0.9019655924525379","0.9019655924525379","0.9019655924525379","0.9027012376908483","0.9027012376908483","0.9027012376908483"
"400","0.9035143192700335","0.9035143192700335","0.9035143192700335","0.9020172166797878","0.9020172166797878","0.9020172166797878","0.9008427655098538","0.9008427655098538","0.9008427655098538","0.9024431165545991","0.9024431165545991","0.9024431165545991","0.9033594465882839","0.9033594465882839","0.9033594465882839"
