"Step","trim-sweep-20 - Global Test Accuracy","trim-sweep-20 - Global Test Accuracy__MIN","trim-sweep-20 - Global Test Accuracy__MAX","atomic-sweep-19 - Global Test Accuracy","atomic-sweep-19 - Global Test Accuracy__MIN","atomic-sweep-19 - Global Test Accuracy__MAX","copper-sweep-18 - Global Test Accuracy","copper-sweep-18 - Global Test Accuracy__MIN","copper-sweep-18 - Global Test Accuracy__MAX","devoted-sweep-17 - Global Test Accuracy","devoted-sweep-17 - Global Test Accuracy__MIN","devoted-sweep-17 - Global Test Accuracy__MAX","astral-sweep-16 - Global Test Accuracy","astral-sweep-16 - Global Test Accuracy__MIN","astral-sweep-16 - Global Test Accuracy__MAX"
"0","0.019049339855194043","0.019049339855194043","0.019049339855194043","0.016042228617890376","0.016042228617890376","0.016042228617890376","0.022417820683246648","0.022417820683246648","0.022417820683246648","0.0071757675877289215","0.0071757675877289215","0.0071757675877289215","0.006311061781293962","0.006311061781293962","0.006311061781293962"
"50","0.8535291612353677","0.8535291612353677","0.8535291612353677","0.8550133577688009","0.8550133577688009","0.8550133577688009","0.8532194158718687","0.8532194158718687","0.8532194158718687","0.8353574332434212","0.8353574332434212","0.8353574332434212","0.858201153801479","0.858201153801479","0.858201153801479"
"100","0.8649768336280216","0.8649768336280216","0.8649768336280216","0.8612469832092201","0.8612469832092201","0.8612469832092201","0.8553231031323","0.8553231031323","0.8553231031323","0.8642928126169611","0.8642928126169611","0.8642928126169611","0.8585625233922279","0.8585625233922279","0.8585625233922279"
"150","0.8582398719719164","0.8582398719719164","0.8582398719719164","0.8543551488713653","0.8543551488713653","0.8543551488713653","0.8627182736858408","0.8627182736858408","0.8627182736858408","0.8681000993766375","0.8681000993766375","0.8681000993766375","0.8662416271956429","0.8662416271956429","0.8662416271956429"
"200","0.8641895641624614","0.8641895641624614","0.8641895641624614","0.86040808951641","0.86040808951641","0.86040808951641","0.8626021191745286","0.8626021191745286","0.8626021191745286","0.8651188002529587","0.8651188002529587","0.8651188002529587","0.862640837344966","0.862640837344966","0.862640837344966"
"250","0.8650542699688964","0.8650542699688964","0.8650542699688964","0.8644993095259605","0.8644993095259605","0.8644993095259605","0.8628989584812152","0.8628989584812152","0.8628989584812152","0.8478892144083219","0.8478892144083219","0.8478892144083219","0.868590529535511","0.868590529535511","0.868590529535511"
"300","0.8564717421886091","0.8564717421886091","0.8564717421886091","0.8640734096511493","0.8640734096511493","0.8640734096511493","0.8640346914807119","0.8640346914807119","0.8640346914807119","0.8613115134932824","0.8613115134932824","0.8613115134932824","0.8676354813313888","0.8676354813313888","0.8676354813313888"
"350","0.866551372559142","0.866551372559142","0.866551372559142","0.8665771846727669","0.8665771846727669","0.8665771846727669","0.8614018558909696","0.8614018558909696","0.8614018558909696","0.8723720041815624","0.8723720041815624","0.8723720041815624","0.8659447878889562","0.8659447878889562","0.8659447878889562"
"400","0.8659318818321439","0.8659318818321439","0.8659318818321439","0.8639056309125873","0.8639056309125873","0.8639056309125873","0.8579043144947924","0.8579043144947924","0.8579043144947924","0.8651188002529587","0.8651188002529587","0.8651188002529587","0.8641637520488366","0.8641637520488366","0.8641637520488366"
