"Step","good-sweep-20 - Global Test Accuracy","good-sweep-20 - Global Test Accuracy__MIN","good-sweep-20 - Global Test Accuracy__MAX","ethereal-sweep-19 - Global Test Accuracy","ethereal-sweep-19 - Global Test Accuracy__MIN","ethereal-sweep-19 - Global Test Accuracy__MAX","spring-sweep-18 - Global Test Accuracy","spring-sweep-18 - Global Test Accuracy__MIN","spring-sweep-18 - Global Test Accuracy__MAX","sleek-sweep-17 - Global Test Accuracy","sleek-sweep-17 - Global Test Accuracy__MIN","sleek-sweep-17 - Global Test Accuracy__MAX","iconic-sweep-16 - Global Test Accuracy","iconic-sweep-16 - Global Test Accuracy__MIN","iconic-sweep-16 - Global Test Accuracy__MAX"
"0","0.019049339855194043","0.019049339855194043","0.019049339855194043","0.016042228617890376","0.016042228617890376","0.016042228617890376","0.022417820683246648","0.022417820683246648","0.022417820683246648","0.0071757675877289215","0.0071757675877289215","0.0071757675877289215","0.006311061781293962","0.006311061781293962","0.006311061781293962"
"50","0.8528064220538699","0.8528064220538699","0.8528064220538699","0.8581108114037918","0.8581108114037918","0.8581108114037918","0.8536195036330549","0.8536195036330549","0.8536195036330549","0.8514641921453738","0.8514641921453738","0.8514641921453738","0.8550262638256133","0.8550262638256133","0.8550262638256133"
"100","0.8649768336280216","0.8649768336280216","0.8649768336280216","0.8600596259824735","0.8600596259824735","0.8600596259824735","0.8514900042589988","0.8514900042589988","0.8514900042589988","0.8622149374701548","0.8622149374701548","0.8622149374701548","0.8576849115289805","0.8576849115289805","0.8576849115289805"
"150","0.8596982563917246","0.8596982563917246","0.8596982563917246","0.8595691958236","0.8595691958236","0.8595691958236","0.8588464566421021","0.8588464566421021","0.8588464566421021","0.8639314430262122","0.8639314430262122","0.8639314430262122","0.8638023824580876","0.8638023824580876","0.8638023824580876"
"200","0.8661383787411432","0.8661383787411432","0.8661383787411432","0.8609759560161584","0.8609759560161584","0.8609759560161584","0.860240310777848","0.860240310777848","0.860240310777848","0.8647316185485848","0.8647316185485848","0.8647316185485848","0.8661770969115806","0.8661770969115806","0.8661770969115806"
"250","0.8638152885149001","0.8638152885149001","0.8638152885149001","0.8668482118658286","0.8668482118658286","0.8668482118658286","0.8669127421498909","0.8669127421498909","0.8669127421498909","0.8609759560161584","0.8609759560161584","0.8609759560161584","0.8714298620342527","0.8714298620342527","0.8714298620342527"
"300","0.863144173560652","0.863144173560652","0.863144173560652","0.8618277557657809","0.8618277557657809","0.8618277557657809","0.866215815082018","0.866215815082018","0.866215815082018","0.8554392576436122","0.8554392576436122","0.8554392576436122","0.8671966753997651","0.8671966753997651","0.8671966753997651"
"350","0.8698553231031323","0.8698553231031323","0.8698553231031323","0.8680484751493877","0.8680484751493877","0.8680484751493877","0.8594530413122878","0.8594530413122878","0.8594530413122878","0.8714685802046901","0.8714685802046901","0.8714685802046901","0.8683324083992617","0.8683324083992617","0.8683324083992617"
"400","0.8653640153323955","0.8653640153323955","0.8653640153323955","0.8690293354671347","0.8690293354671347","0.8690293354671347","0.8589884232670392","0.8589884232670392","0.8589884232670392","0.8700876321257566","0.8700876321257566","0.8700876321257566","0.8654801698437077","0.8654801698437077","0.8654801698437077"
