"Step","swept-sweep-5 - Test Accuracy","swept-sweep-5 - Test Accuracy__MIN","swept-sweep-5 - Test Accuracy__MAX","twilight-sweep-4 - Test Accuracy","twilight-sweep-4 - Test Accuracy__MIN","twilight-sweep-4 - Test Accuracy__MAX","deft-sweep-3 - Test Accuracy","deft-sweep-3 - Test Accuracy__MIN","deft-sweep-3 - Test Accuracy__MAX","divine-sweep-2 - Test Accuracy","divine-sweep-2 - Test Accuracy__MIN","divine-sweep-2 - Test Accuracy__MAX","warm-sweep-1 - Test Accuracy","warm-sweep-1 - Test Accuracy__MIN","warm-sweep-1 - Test Accuracy__MAX"
"0","0.04639727424080121","0.04639727424080121","0.04639727424080121","0.05264380573803286","0.05264380573803286","0.05264380573803286","0.07146083657060258","0.07146083657060258","0.07146083657060258","0.03658867106333002","0.03658867106333002","0.03658867106333002","0.04052501839113096","0.04052501839113096","0.04052501839113096"
"50","0.8581237174606042","0.8581237174606042","0.8581237174606042","0.8649768336280216","0.8649768336280216","0.8649768336280216","0.8604209955732225","0.8604209955732225","0.8604209955732225","0.854961733541551","0.854961733541551","0.854961733541551","0.8588593626989146","0.8588593626989146","0.8588593626989146"
"100","0.8661770969115806","0.8661770969115806","0.8661770969115806","0.8654672637868952","0.8654672637868952","0.8654672637868952","0.8561490907682976","0.8561490907682976","0.8561490907682976","0.8656479485822697","0.8656479485822697","0.8656479485822697","0.8636475097763381","0.8636475097763381","0.8636475097763381"
"150","0.8707329349663797","0.8707329349663797","0.8707329349663797","0.8686679658763858","0.8686679658763858","0.8686679658763858","0.8667449634113289","0.8667449634113289","0.8667449634113289","0.8710426803298789","0.8710426803298789","0.8710426803298789","0.8746950944078056","0.8746950944078056","0.8746950944078056"
"200","0.8702554108643187","0.8702554108643187","0.8702554108643187","0.8718170437386266","0.8718170437386266","0.8718170437386266","0.8658157273208317","0.8658157273208317","0.8658157273208317","0.8723849102383748","0.8723849102383748","0.8723849102383748","0.8700747260689442","0.8700747260689442","0.8700747260689442"
"250","0.872501064749687","0.872501064749687","0.872501064749687","0.8738432946581831","0.8738432946581831","0.8738432946581831","0.8702037866370688","0.8702037866370688","0.8702037866370688","0.868590529535511","0.868590529535511","0.868590529535511","0.8744369732715563","0.8744369732715563","0.8744369732715563"
"300","0.8668482118658286","0.8668482118658286","0.8668482118658286","0.8738045764877457","0.8738045764877457","0.8738045764877457","0.8722429436134378","0.8722429436134378","0.8722429436134378","0.8705909683414427","0.8705909683414427","0.8705909683414427","0.8703457532620058","0.8703457532620058","0.8703457532620058"
"350","0.8761663848844262","0.8761663848844262","0.8761663848844262","0.8720364467044384","0.8720364467044384","0.8720364467044384","0.8714943923183149","0.8714943923183149","0.8714943923183149","0.8760115122026767","0.8760115122026767","0.8760115122026767","0.8704490017165055","0.8704490017165055","0.8704490017165055"
"400","0.8761792909412387","0.8761792909412387","0.8761792909412387","0.8737787643741207","0.8737787643741207","0.8737787643741207","0.8715072983751274","0.8715072983751274","0.8715072983751274","0.870436095659693","0.870436095659693","0.870436095659693","0.8710039621594414","0.8710039621594414","0.8710039621594414"
