"Step","atomic-sweep-5 - Test Accuracy","atomic-sweep-5 - Test Accuracy__MIN","atomic-sweep-5 - Test Accuracy__MAX","lucky-sweep-4 - Test Accuracy","lucky-sweep-4 - Test Accuracy__MIN","lucky-sweep-4 - Test Accuracy__MAX","smooth-sweep-3 - Test Accuracy","smooth-sweep-3 - Test Accuracy__MIN","smooth-sweep-3 - Test Accuracy__MAX","good-sweep-2 - Test Accuracy","good-sweep-2 - Test Accuracy__MIN","good-sweep-2 - Test Accuracy__MAX","sunny-sweep-1 - Test Accuracy","sunny-sweep-1 - Test Accuracy__MIN","sunny-sweep-1 - Test Accuracy__MAX"
"0","0.0461262470477395","0.0461262470477395","0.0461262470477395","0.05296645715834441","0.05296645715834441","0.05296645715834441","0.07200289095672599","0.07200289095672599","0.07200289095672599","0.035814307654582295","0.035814307654582295","0.035814307654582295","0.040499206277506035","0.040499206277506035","0.040499206277506035"
"50","0.8637636642876502","0.8637636642876502","0.8637636642876502","0.8630796432765897","0.8630796432765897","0.8630796432765897","0.8620471587315928","0.8620471587315928","0.8620471587315928","0.8583689325400411","0.8583689325400411","0.8583689325400411","0.8622149374701548","0.8622149374701548","0.8622149374701548"
"100","0.8690422415239472","0.8690422415239472","0.8690422415239472","0.867609669217764","0.867609669217764","0.867609669217764","0.8584334628241034","0.8584334628241034","0.8584334628241034","0.867054708774828","0.867054708774828","0.867054708774828","0.8658286333776442","0.8658286333776442","0.8658286333776442"
"150","0.869287456603384","0.869287456603384","0.869287456603384","0.8667836815817663","0.8667836815817663","0.8667836815817663","0.8689389930694474","0.8689389930694474","0.8689389930694474","0.8722945678406876","0.8722945678406876","0.8722945678406876","0.8732754281584347","0.8732754281584347","0.8732754281584347"
"200","0.8703973774892557","0.8703973774892557","0.8703973774892557","0.8666417149568293","0.8666417149568293","0.8666417149568293","0.8671321451157028","0.8671321451157028","0.8671321451157028","0.8698166049326949","0.8698166049326949","0.8698166049326949","0.8711846469548159","0.8711846469548159","0.8711846469548159"
"250","0.8716750771136894","0.8716750771136894","0.8716750771136894","0.8730173070221855","0.8730173070221855","0.8730173070221855","0.8696488261941329","0.8696488261941329","0.8696488261941329","0.8678290721835757","0.8678290721835757","0.8678290721835757","0.8668998360930785","0.8668998360930785","0.8668998360930785"
"300","0.8706167804550675","0.8706167804550675","0.8706167804550675","0.8637894764012751","0.8637894764012751","0.8637894764012751","0.8710684924435037","0.8710684924435037","0.8710684924435037","0.8688615567285727","0.8688615567285727","0.8688615567285727","0.8721784133293755","0.8721784133293755","0.8721784133293755"
"350","0.8754178335893035","0.8754178335893035","0.8754178335893035","0.8728753403972485","0.8728753403972485","0.8728753403972485","0.870268316921131","0.870268316921131","0.870268316921131","0.8755339881006157","0.8755339881006157","0.8755339881006157","0.8735206432378715","0.8735206432378715","0.8735206432378715"
"400","0.874540221726056","0.874540221726056","0.874540221726056","0.8725397829201245","0.8725397829201245","0.8725397829201245","0.867583857104139","0.867583857104139","0.867583857104139","0.8738045764877457","0.8738045764877457","0.8738045764877457","0.8754823638733658","0.8754823638733658","0.8754823638733658"
