"Step","lucky-sweep-5 - Test Accuracy","lucky-sweep-5 - Test Accuracy__MIN","lucky-sweep-5 - Test Accuracy__MAX","playful-sweep-4 - Test Accuracy","playful-sweep-4 - Test Accuracy__MIN","playful-sweep-4 - Test Accuracy__MAX","snowy-sweep-3 - Test Accuracy","snowy-sweep-3 - Test Accuracy__MIN","snowy-sweep-3 - Test Accuracy__MAX","revived-sweep-2 - Test Accuracy","revived-sweep-2 - Test Accuracy__MIN","revived-sweep-2 - Test Accuracy__MAX","whole-sweep-1 - Test Accuracy","whole-sweep-1 - Test Accuracy__MIN","whole-sweep-1 - Test Accuracy__MAX"
"0","0.3964611592220229","0.3964611592220229","0.3964611592220229","0.41714956829239963","0.41714956829239963","0.41714956829239963","0.40461778712749896","0.40461778712749896","0.40461778712749896","0.3535743324342114","0.3535743324342114","0.3535743324342114","0.38229030884193954","0.38229030884193954","0.38229030884193954"
"50","0.8869429423228321","0.8869429423228321","0.8869429423228321","0.8819482983364093","0.8819482983364093","0.8819482983364093","0.880825471393725","0.880825471393725","0.880825471393725","0.8829291586541564","0.8829291586541564","0.8829291586541564","0.8843359188467148","0.8843359188467148","0.8843359188467148"
"100","0.8897306505943239","0.8897306505943239","0.8897306505943239","0.8872655937431436","0.8872655937431436","0.8872655937431436","0.8813417136662236","0.8813417136662236","0.8813417136662236","0.8888917569015139","0.8888917569015139","0.8888917569015139","0.8871236271182066","0.8871236271182066","0.8871236271182066"
"150","0.8884142327994528","0.8884142327994528","0.8884142327994528","0.8912664713550069","0.8912664713550069","0.8912664713550069","0.8689260870126351","0.8689260870126351","0.8689260870126351","0.8889691932423887","0.8889691932423887","0.8889691932423887","0.892776480002065","0.892776480002065","0.892776480002065"
"200","0.8912664713550069","0.8912664713550069","0.8912664713550069","0.8928151981725023","0.8928151981725023","0.8928151981725023","0.8914471561503814","0.8914471561503814","0.8914471561503814","0.8908534775370082","0.8908534775370082","0.8908534775370082","0.8926603254907528","0.8926603254907528","0.8926603254907528"
"250","0.891214847127757","0.891214847127757","0.891214847127757","0.8922731437863789","0.8922731437863789","0.8922731437863789","0.8920021165933173","0.8920021165933173","0.8920021165933173","0.8900145838441981","0.8900145838441981","0.8900145838441981","0.8923118619568163","0.8923118619568163","0.8923118619568163"
"300","0.8910083502187577","0.8910083502187577","0.8910083502187577","0.8921957074455041","0.8921957074455041","0.8921957074455041","0.8922989559000039","0.8922989559000039","0.8922989559000039","0.8942477704786856","0.8942477704786856","0.8942477704786856","0.8948027309216215","0.8948027309216215","0.8948027309216215"
"350","0.89531897319412","0.89531897319412","0.89531897319412","0.892415110411316","0.892415110411316","0.892415110411316","0.8910857865596324","0.8910857865596324","0.8910857865596324","0.8934605010131255","0.8934605010131255","0.8934605010131255","0.8937057160925622","0.8937057160925622","0.8937057160925622"
"400","0.8956674367280565","0.8956674367280565","0.8956674367280565","0.8926474194339403","0.8926474194339403","0.8926474194339403","0.8892660325490753","0.8892660325490753","0.8892660325490753","0.8944026431604352","0.8944026431604352","0.8944026431604352","0.8950221338874333","0.8950221338874333","0.8950221338874333"
