"Step","different-sweep-20 - Global Test Accuracy","different-sweep-20 - Global Test Accuracy__MIN","different-sweep-20 - Global Test Accuracy__MAX","devout-sweep-19 - Global Test Accuracy","devout-sweep-19 - Global Test Accuracy__MIN","devout-sweep-19 - Global Test Accuracy__MAX","peach-sweep-18 - Global Test Accuracy","peach-sweep-18 - Global Test Accuracy__MIN","peach-sweep-18 - Global Test Accuracy__MAX","sparkling-sweep-17 - Global Test Accuracy","sparkling-sweep-17 - Global Test Accuracy__MIN","sparkling-sweep-17 - Global Test Accuracy__MAX","amber-sweep-16 - Global Test Accuracy","amber-sweep-16 - Global Test Accuracy__MIN","amber-sweep-16 - Global Test Accuracy__MAX"
"0","0.019049339855194043","0.019049339855194043","0.019049339855194043","0.016042228617890376","0.016042228617890376","0.016042228617890376","0.022417820683246648","0.022417820683246648","0.022417820683246648","0.0071757675877289215","0.0071757675877289215","0.0071757675877289215","0.006311061781293962","0.006311061781293962","0.006311061781293962"
"50","0.8551940425641754","0.8551940425641754","0.8551940425641754","0.8591045777783514","0.8591045777783514","0.8591045777783514","0.8545487397235523","0.8545487397235523","0.8545487397235523","0.8530129189628692","0.8530129189628692","0.8530129189628692","0.8551424183369255","0.8551424183369255","0.8551424183369255"
"100","0.863479731037776","0.863479731037776","0.863479731037776","0.8530000129060568","0.8530000129060568","0.8530000129060568","0.8505349560548765","0.8505349560548765","0.8505349560548765","0.8659964121162061","0.8659964121162061","0.8659964121162061","0.8553618213027374","0.8553618213027374","0.8553618213027374"
"150","0.8516577829975608","0.8516577829975608","0.8516577829975608","0.8593756049714131","0.8593756049714131","0.8593756049714131","0.8586012415626654","0.8586012415626654","0.8586012415626654","0.8638669127421499","0.8638669127421499","0.8638669127421499","0.8662932514228928","0.8662932514228928","0.8662932514228928"
"200","0.8659576939457687","0.8659576939457687","0.8659576939457687","0.8615309164590943","0.8615309164590943","0.8615309164590943","0.8584721809945407","0.8584721809945407","0.8584721809945407","0.8622020314133423","0.8622020314133423","0.8622020314133423","0.8626795555154034","0.8626795555154034","0.8626795555154034"
"250","0.8631054553902147","0.8631054553902147","0.8631054553902147","0.8690680536375721","0.8690680536375721","0.8690680536375721","0.8651962365938335","0.8651962365938335","0.8651962365938335","0.8580849992901669","0.8580849992901669","0.8580849992901669","0.8684485629105739","0.8684485629105739","0.8684485629105739"
"300","0.862305279867842","0.862305279867842","0.862305279867842","0.8630022069357149","0.8630022069357149","0.8630022069357149","0.862640837344966","0.862640837344966","0.862640837344966","0.8644993095259605","0.8644993095259605","0.8644993095259605","0.8709265258185667","0.8709265258185667","0.8709265258185667"
"350","0.8677645418995135","0.8677645418995135","0.8677645418995135","0.8659835060593937","0.8659835060593937","0.8659835060593937","0.8633764825832764","0.8633764825832764","0.8633764825832764","0.872333286011125","0.872333286011125","0.872333286011125","0.8647832427758347","0.8647832427758347","0.8647832427758347"
"400","0.8687712143308854","0.8687712143308854","0.8687712143308854","0.8651317063097712","0.8651317063097712","0.8651317063097712","0.8599692835847863","0.8599692835847863","0.8599692835847863","0.8680742872630125","0.8680742872630125","0.8680742872630125","0.8652349547642709","0.8652349547642709","0.8652349547642709"
