"Step","youthful-sweep-11 - Test Accuracy","youthful-sweep-11 - Test Accuracy__MIN","youthful-sweep-11 - Test Accuracy__MAX","northern-sweep-10 - Test Accuracy","northern-sweep-10 - Test Accuracy__MIN","northern-sweep-10 - Test Accuracy__MAX","jolly-sweep-9 - Test Accuracy","jolly-sweep-9 - Test Accuracy__MIN","jolly-sweep-9 - Test Accuracy__MAX","crimson-sweep-8 - Test Accuracy","crimson-sweep-8 - Test Accuracy__MIN","crimson-sweep-8 - Test Accuracy__MAX","fanciful-sweep-7 - Test Accuracy","fanciful-sweep-7 - Test Accuracy__MIN","fanciful-sweep-7 - Test Accuracy__MAX","peach-sweep-6 - Test Accuracy","peach-sweep-6 - Test Accuracy__MIN","peach-sweep-6 - Test Accuracy__MAX","distinctive-sweep-5 - Test Accuracy","distinctive-sweep-5 - Test Accuracy__MIN","distinctive-sweep-5 - Test Accuracy__MAX","mild-sweep-4 - Test Accuracy","mild-sweep-4 - Test Accuracy__MIN","mild-sweep-4 - Test Accuracy__MAX","prime-sweep-3 - Test Accuracy","prime-sweep-3 - Test Accuracy__MIN","prime-sweep-3 - Test Accuracy__MAX","curious-sweep-2 - Test Accuracy","curious-sweep-2 - Test Accuracy__MIN","curious-sweep-2 - Test Accuracy__MAX","smart-sweep-1 - Test Accuracy","smart-sweep-1 - Test Accuracy__MIN","smart-sweep-1 - Test Accuracy__MAX"
"0","0.010333333333333333","0.010333333333333333","0.010333333333333333","0.012666666666666666","0.012666666666666666","0.012666666666666666","0.01633333333333333","0.01633333333333333","0.01633333333333333","0.011166666666666667","0.011166666666666667","0.011166666666666667","0.0135","0.0135","0.0135","0.010333333333333333","0.010333333333333333","0.010333333333333333","0.009333333333333334","0.009333333333333334","0.009333333333333334","0.005166666666666667","0.005166666666666667","0.005166666666666667","0.006166666666666667","0.006166666666666667","0.006166666666666667","0.009166666666666667","0.009166666666666667","0.009166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667"
"50","0.7683333333333333","0.7683333333333333","0.7683333333333333","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.776","0.776","0.776","0.7725","0.7725","0.7725","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.7725","0.7725","0.7725","0.7736666666666666","0.7736666666666666","0.7736666666666666","0.7716666666666666","0.7716666666666666","0.7716666666666666"
"100","0.7735","0.7735","0.7735","0.7735","0.7735","0.7735","0.7775","0.7775","0.7775","0.7756666666666666","0.7756666666666666","0.7756666666666666","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7765","0.7765","0.7765","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7765","0.7765","0.7765","0.7775","0.7775","0.7775","0.7771666666666667","0.7771666666666667","0.7771666666666667"
"150","0.7756666666666666","0.7756666666666666","0.7756666666666666","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.778","0.778","0.778","0.7771666666666667","0.7771666666666667","0.7771666666666667"
"200","0.7763333333333333","0.7763333333333333","0.7763333333333333","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7775","0.7775","0.7775","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7793333333333333","0.7793333333333333","0.7793333333333333","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7778333333333334","0.7778333333333334","0.7778333333333334"
"250","0.7763333333333333","0.7763333333333333","0.7763333333333333","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.779","0.779","0.779","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.777","0.777","0.777","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7793333333333333","0.7793333333333333","0.7793333333333333"
"300","0.7765","0.7765","0.7765","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7775","0.7775","0.7775","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7785","0.7785","0.7785","0.7786666666666666","0.7786666666666666","0.7786666666666666"
"350","0.7763333333333333","0.7763333333333333","0.7763333333333333","0.778","0.778","0.778","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.777","0.777","0.777","0.7801666666666667","0.7801666666666667","0.7801666666666667","0.779","0.779","0.779","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.7783333333333333","0.7783333333333333","0.7783333333333333","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7791666666666667","0.7791666666666667","0.7791666666666667"
"400","0.777","0.777","0.777","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.778","0.778","0.778","0.778","0.778","0.778","0.7796666666666666","0.7796666666666666","0.7796666666666666","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7785","0.7785","0.7785","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7785","0.7785","0.7785"
