"Step","laced-sweep-11 - Average Weighted Test Accuracy","laced-sweep-11 - Average Weighted Test Accuracy__MIN","laced-sweep-11 - Average Weighted Test Accuracy__MAX","magic-sweep-10 - Average Weighted Test Accuracy","magic-sweep-10 - Average Weighted Test Accuracy__MIN","magic-sweep-10 - Average Weighted Test Accuracy__MAX","wandering-sweep-9 - Average Weighted Test Accuracy","wandering-sweep-9 - Average Weighted Test Accuracy__MIN","wandering-sweep-9 - Average Weighted Test Accuracy__MAX","glowing-sweep-8 - Average Weighted Test Accuracy","glowing-sweep-8 - Average Weighted Test Accuracy__MIN","glowing-sweep-8 - Average Weighted Test Accuracy__MAX","lucky-sweep-7 - Average Weighted Test Accuracy","lucky-sweep-7 - Average Weighted Test Accuracy__MIN","lucky-sweep-7 - Average Weighted Test Accuracy__MAX","swept-sweep-6 - Average Weighted Test Accuracy","swept-sweep-6 - Average Weighted Test Accuracy__MIN","swept-sweep-6 - Average Weighted Test Accuracy__MAX","proud-sweep-5 - Average Weighted Test Accuracy","proud-sweep-5 - Average Weighted Test Accuracy__MIN","proud-sweep-5 - Average Weighted Test Accuracy__MAX","whole-sweep-4 - Average Weighted Test Accuracy","whole-sweep-4 - Average Weighted Test Accuracy__MIN","whole-sweep-4 - Average Weighted Test Accuracy__MAX","zany-sweep-3 - Average Weighted Test Accuracy","zany-sweep-3 - Average Weighted Test Accuracy__MIN","zany-sweep-3 - Average Weighted Test Accuracy__MAX","northern-sweep-2 - Average Weighted Test Accuracy","northern-sweep-2 - Average Weighted Test Accuracy__MIN","northern-sweep-2 - Average Weighted Test Accuracy__MAX","dry-sweep-1 - Average Weighted Test Accuracy","dry-sweep-1 - Average Weighted Test Accuracy__MIN","dry-sweep-1 - Average Weighted Test Accuracy__MAX"
"26","0.7646666666666667","0.7646666666666667","0.7646666666666667","0.761","0.761","0.761","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7631666666666667","0.7631666666666667","0.7631666666666667","0.758","0.758","0.758","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7593333333333333","0.7593333333333333","0.7593333333333333"
"27","0.7643333333333333","0.7643333333333333","0.7643333333333333","0.761","0.761","0.761","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7615","0.7615","0.7615","0.7626666666666667","0.7626666666666667","0.7626666666666667","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.761","0.761","0.761","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7586666666666667","0.7586666666666667","0.7586666666666667","0.763","0.763","0.763","0.7585","0.7585","0.7585"
"28","0.7645","0.7645","0.7645","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7625","0.7625","0.7625","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.761","0.761","0.761","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.7638333333333334","0.7638333333333334","0.7638333333333334","0.759","0.759","0.759"
"29","0.7646666666666667","0.7646666666666667","0.7646666666666667","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.762","0.762","0.762","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7631666666666667","0.7631666666666667","0.7631666666666667","0.7585","0.7585","0.7585","0.7635","0.7635","0.7635","0.76","0.76","0.76"
"30","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.7615","0.7615","0.7615","0.76","0.76","0.76","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7615","0.7615","0.7615","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7585","0.7585","0.7585","0.7638333333333334","0.7638333333333334","0.7638333333333334","0.7603333333333333","0.7603333333333333","0.7603333333333333"
"31","0.7645","0.7645","0.7645","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.76","0.76","0.76","0.7625","0.7625","0.7625","0.7625","0.7625","0.7625","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7635","0.7635","0.7635","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.764","0.764","0.764","0.7598333333333334","0.7598333333333334","0.7598333333333334"
"32","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.7615","0.7615","0.7615","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7626666666666667","0.7626666666666667","0.7626666666666667","0.7616666666666667","0.7616666666666667","0.7616666666666667","0.761","0.761","0.761","0.7635","0.7635","0.7635","0.7585","0.7585","0.7585","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7605","0.7605","0.7605"
"33","0.7646666666666667","0.7646666666666667","0.7646666666666667","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7625","0.7625","0.7625","0.7625","0.7625","0.7625","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7636666666666667","0.7636666666666667","0.7636666666666667","0.7588333333333334","0.7588333333333334","0.7588333333333334","0.764","0.764","0.764","0.761","0.761","0.761"
"34","0.765","0.765","0.765","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.763","0.763","0.763","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7641666666666667","0.7641666666666667","0.7641666666666667","0.7606666666666667","0.7606666666666667","0.7606666666666667"
"35","0.7653333333333333","0.7653333333333333","0.7653333333333333","0.7625","0.7625","0.7625","0.7595","0.7595","0.7595","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7621666666666667","0.7621666666666667","0.7621666666666667","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7615","0.7615","0.7615","0.7628333333333334","0.7628333333333334","0.7628333333333334","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7635","0.7635","0.7635","0.7605","0.7605","0.7605"
"36","0.7658333333333334","0.7658333333333334","0.7658333333333334","0.762","0.762","0.762","0.76","0.76","0.76","0.763","0.763","0.763","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7626666666666667","0.7626666666666667","0.7626666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.7591666666666667","0.7591666666666667","0.7591666666666667","0.7641666666666667","0.7641666666666667","0.7641666666666667","0.761","0.761","0.761"
