"Step","youthful-sweep-11 - Test Accuracy","youthful-sweep-11 - Test Accuracy__MIN","youthful-sweep-11 - Test Accuracy__MAX","apricot-sweep-10 - Test Accuracy","apricot-sweep-10 - Test Accuracy__MIN","apricot-sweep-10 - Test Accuracy__MAX","efficient-sweep-9 - Test Accuracy","efficient-sweep-9 - Test Accuracy__MIN","efficient-sweep-9 - Test Accuracy__MAX","ethereal-sweep-7 - Test Accuracy","ethereal-sweep-7 - Test Accuracy__MIN","ethereal-sweep-7 - Test Accuracy__MAX","quiet-sweep-8 - Test Accuracy","quiet-sweep-8 - Test Accuracy__MIN","quiet-sweep-8 - Test Accuracy__MAX","drawn-sweep-6 - Test Accuracy","drawn-sweep-6 - Test Accuracy__MIN","drawn-sweep-6 - Test Accuracy__MAX","unique-sweep-5 - Test Accuracy","unique-sweep-5 - Test Accuracy__MIN","unique-sweep-5 - Test Accuracy__MAX","blooming-sweep-4 - Test Accuracy","blooming-sweep-4 - Test Accuracy__MIN","blooming-sweep-4 - Test Accuracy__MAX","peachy-sweep-3 - Test Accuracy","peachy-sweep-3 - Test Accuracy__MIN","peachy-sweep-3 - Test Accuracy__MAX","magic-sweep-2 - Test Accuracy","magic-sweep-2 - Test Accuracy__MIN","magic-sweep-2 - Test Accuracy__MAX","firm-sweep-1 - Test Accuracy","firm-sweep-1 - Test Accuracy__MIN","firm-sweep-1 - Test Accuracy__MAX"
"0","0.288","0.288","0.288","0.2915","0.2915","0.2915","0.2831666666666667","0.2831666666666667","0.2831666666666667","0.29133333333333333","0.29133333333333333","0.29133333333333333","0.2843333333333333","0.2843333333333333","0.2843333333333333","0.2816666666666667","0.2816666666666667","0.2816666666666667","0.27616666666666667","0.27616666666666667","0.27616666666666667","0.2795","0.2795","0.2795","0.284","0.284","0.284","0.2911666666666667","0.2911666666666667","0.2911666666666667","0.28","0.28","0.28"
"50","0.43716666666666665","0.43716666666666665","0.43716666666666665","0.442","0.442","0.442","0.4385","0.4385","0.4385","0.43233333333333335","0.43233333333333335","0.43233333333333335","0.42983333333333335","0.42983333333333335","0.42983333333333335","0.4405","0.4405","0.4405","0.41283333333333333","0.41283333333333333","0.41283333333333333","0.4165","0.4165","0.4165","0.42933333333333334","0.42933333333333334","0.42933333333333334","0.43616666666666665","0.43616666666666665","0.43616666666666665","0.4231666666666667","0.4231666666666667","0.4231666666666667"
"100","0.61","0.61","0.61","0.6075","0.6075","0.6075","0.6066666666666667","0.6066666666666667","0.6066666666666667","0.6055","0.6055","0.6055","0.5863333333333334","0.5863333333333334","0.5863333333333334","0.6038333333333333","0.6038333333333333","0.6038333333333333","0.5888333333333333","0.5888333333333333","0.5888333333333333","0.5843333333333334","0.5843333333333334","0.5843333333333334","0.5875","0.5875","0.5875","0.6005","0.6005","0.6005","0.5943333333333334","0.5943333333333334","0.5943333333333334"
"150","0.6993333333333334","0.6993333333333334","0.6993333333333334","0.7016666666666667","0.7016666666666667","0.7016666666666667","0.7058333333333333","0.7058333333333333","0.7058333333333333","0.7061666666666667","0.7061666666666667","0.7061666666666667","0.6955","0.6955","0.6955","0.7051666666666667","0.7051666666666667","0.7051666666666667","0.689","0.689","0.689","0.69","0.69","0.69","0.7101666666666666","0.7101666666666666","0.7101666666666666","0.7063333333333334","0.7063333333333334","0.7063333333333334","0.6906666666666667","0.6906666666666667","0.6906666666666667"
"200","0.7553333333333333","0.7553333333333333","0.7553333333333333","0.757","0.757","0.757","0.7521666666666667","0.7521666666666667","0.7521666666666667","0.7568333333333334","0.7568333333333334","0.7568333333333334","0.755","0.755","0.755","0.7536666666666667","0.7536666666666667","0.7536666666666667","0.755","0.755","0.755","0.752","0.752","0.752","0.7576666666666667","0.7576666666666667","0.7576666666666667","0.7545","0.7545","0.7545","0.7466666666666667","0.7466666666666667","0.7466666666666667"
"250","0.7811666666666667","0.7811666666666667","0.7811666666666667","0.7728333333333334","0.7728333333333334","0.7728333333333334","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7823333333333333","0.7823333333333333","0.7823333333333333","0.7765","0.7765","0.7765","0.7806666666666666","0.7806666666666666","0.7806666666666666","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7803333333333333","0.7803333333333333","0.7803333333333333","0.7821666666666667","0.7821666666666667","0.7821666666666667","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.7821666666666667","0.7821666666666667","0.7821666666666667"
"300","0.795","0.795","0.795","0.7903333333333333","0.7903333333333333","0.7903333333333333","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.793","0.793","0.793","0.7896666666666666","0.7896666666666666","0.7896666666666666","0.79","0.79","0.79","0.7895","0.7895","0.7895","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.7915","0.7915","0.7915","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7868333333333334","0.7868333333333334","0.7868333333333334"
"350","0.7966666666666666","0.7966666666666666","0.7966666666666666","0.794","0.794","0.794","0.7958333333333333","0.7958333333333333","0.7958333333333333","0.797","0.797","0.797","0.7961666666666667","0.7961666666666667","0.7961666666666667","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.7941666666666667","0.7941666666666667","0.7941666666666667","0.7973333333333333","0.7973333333333333","0.7973333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7941666666666667","0.7941666666666667","0.7941666666666667","0.7921666666666667","0.7921666666666667","0.7921666666666667"
"400","0.8003333333333333","0.8003333333333333","0.8003333333333333","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.8006666666666666","0.8006666666666666","0.8006666666666666","0.7995","0.7995","0.7995","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.7998333333333333","0.7998333333333333","0.7998333333333333","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.8006666666666666","0.8006666666666666","0.8006666666666666","0.7931666666666667","0.7931666666666667","0.7931666666666667","0.8005","0.8005","0.8005","0.7978333333333333","0.7978333333333333","0.7978333333333333"
