"Step","robust-sweep-7 - pFedMe Test Accuracy","robust-sweep-7 - pFedMe Test Accuracy__MIN","robust-sweep-7 - pFedMe Test Accuracy__MAX","deft-sweep-6 - pFedMe Test Accuracy","deft-sweep-6 - pFedMe Test Accuracy__MIN","deft-sweep-6 - pFedMe Test Accuracy__MAX","fragrant-sweep-1 - pFedMe Test Accuracy","fragrant-sweep-1 - pFedMe Test Accuracy__MIN","fragrant-sweep-1 - pFedMe Test Accuracy__MAX","major-sweep-2 - pFedMe Test Accuracy","major-sweep-2 - pFedMe Test Accuracy__MIN","major-sweep-2 - pFedMe Test Accuracy__MAX","deft-sweep-9 - pFedMe Test Accuracy","deft-sweep-9 - pFedMe Test Accuracy__MIN","deft-sweep-9 - pFedMe Test Accuracy__MAX","solar-sweep-5 - pFedMe Test Accuracy","solar-sweep-5 - pFedMe Test Accuracy__MIN","solar-sweep-5 - pFedMe Test Accuracy__MAX","colorful-sweep-4 - pFedMe Test Accuracy","colorful-sweep-4 - pFedMe Test Accuracy__MIN","colorful-sweep-4 - pFedMe Test Accuracy__MAX","divine-sweep-11 - pFedMe Test Accuracy","divine-sweep-11 - pFedMe Test Accuracy__MIN","divine-sweep-11 - pFedMe Test Accuracy__MAX","atomic-sweep-8 - pFedMe Test Accuracy","atomic-sweep-8 - pFedMe Test Accuracy__MIN","atomic-sweep-8 - pFedMe Test Accuracy__MAX","vivid-sweep-3 - pFedMe Test Accuracy","vivid-sweep-3 - pFedMe Test Accuracy__MIN","vivid-sweep-3 - pFedMe Test Accuracy__MAX","misunderstood-sweep-10 - pFedMe Test Accuracy","misunderstood-sweep-10 - pFedMe Test Accuracy__MIN","misunderstood-sweep-10 - pFedMe Test Accuracy__MAX"
"0","0.647","0.647","0.647","0.6493333333333333","0.6493333333333333","0.6493333333333333","0.642","0.642","0.642","0.6441666666666667","0.6441666666666667","0.6441666666666667","0.6481666666666667","0.6481666666666667","0.6481666666666667","0.6448333333333334","0.6448333333333334","0.6448333333333334","0.6456666666666667","0.6456666666666667","0.6456666666666667","0.6501666666666667","0.6501666666666667","0.6501666666666667","0.6495","0.6495","0.6495","0.6511666666666667","0.6511666666666667","0.6511666666666667","0.6485","0.6485","0.6485"
"50","0.8038333333333333","0.8038333333333333","0.8038333333333333","0.803","0.803","0.803","0.8028333333333333","0.8028333333333333","0.8028333333333333","0.8036666666666666","0.8036666666666666","0.8036666666666666","0.8025","0.8025","0.8025","0.8016666666666666","0.8016666666666666","0.8016666666666666","0.8023333333333333","0.8023333333333333","0.8023333333333333","0.8013333333333333","0.8013333333333333","0.8013333333333333","0.8023333333333333","0.8023333333333333","0.8023333333333333","0.8035","0.8035","0.8035","0.802","0.802","0.802"
"100","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7925","0.7925","0.7925","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7915","0.7915","0.7915","0.7926666666666666","0.7926666666666666","0.7926666666666666","0.7931666666666667","0.7931666666666667","0.7931666666666667","0.7925","0.7925","0.7925","0.7928333333333333","0.7928333333333333","0.7928333333333333","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7925","0.7925","0.7925","0.7901666666666667","0.7901666666666667","0.7901666666666667"
"150","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.7883333333333333","0.7883333333333333","0.7883333333333333","0.7896666666666666","0.7896666666666666","0.7896666666666666","0.7886666666666666","0.7886666666666666","0.7886666666666666","0.7898333333333334","0.7898333333333334","0.7898333333333334","0.7888333333333334","0.7888333333333334","0.7888333333333334","0.787","0.787","0.787","0.7883333333333333","0.7883333333333333","0.7883333333333333","0.788","0.788","0.788","0.7888333333333334","0.7888333333333334","0.7888333333333334","0.7873333333333333","0.7873333333333333","0.7873333333333333"
"200","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7878333333333334","0.7878333333333334","0.7878333333333334","0.7885","0.7885","0.7885","0.788","0.788","0.788","0.7883333333333333","0.7883333333333333","0.7883333333333333","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7855","0.7855","0.7855","0.787","0.787","0.787","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.7856666666666666","0.7856666666666666","0.7856666666666666"
"250","0.7865","0.7865","0.7865","0.7878333333333334","0.7878333333333334","0.7878333333333334","0.7888333333333334","0.7888333333333334","0.7888333333333334","0.7871666666666667","0.7871666666666667","0.7871666666666667","0.7865","0.7865","0.7865","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7846666666666666","0.7846666666666666","0.7846666666666666","0.786","0.786","0.786","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.7856666666666666","0.7856666666666666","0.7856666666666666"
"300","0.7858333333333334","0.7858333333333334","0.7858333333333334","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.7878333333333334","0.7878333333333334","0.7878333333333334","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.7865","0.7865","0.7865","0.7855","0.7855","0.7855","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.786","0.786","0.786","0.785","0.785","0.785","0.7853333333333333","0.7853333333333333","0.7853333333333333"
"350","0.7863333333333333","0.7863333333333333","0.7863333333333333","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.788","0.788","0.788","0.7865","0.7865","0.7865","0.7863333333333333","0.7863333333333333","0.7863333333333333","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.7846666666666666","0.7846666666666666","0.7846666666666666","0.785","0.785","0.785","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.7851666666666667","0.7851666666666667","0.7851666666666667","0.7853333333333333","0.7853333333333333","0.7853333333333333"
"400","0.787","0.787","0.787","0.786","0.786","0.786","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.7861666666666667","0.7861666666666667","0.7861666666666667","0.7863333333333333","0.7863333333333333","0.7863333333333333","0.7855","0.7855","0.7855","0.7855","0.7855","0.7855","0.786","0.786","0.786","0.786","0.786","0.786","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7848333333333334"
