"Step","noble-sweep-11 - Test Accuracy","noble-sweep-11 - Test Accuracy__MIN","noble-sweep-11 - Test Accuracy__MAX","dandy-sweep-10 - Test Accuracy","dandy-sweep-10 - Test Accuracy__MIN","dandy-sweep-10 - Test Accuracy__MAX","likely-sweep-9 - Test Accuracy","likely-sweep-9 - Test Accuracy__MIN","likely-sweep-9 - Test Accuracy__MAX","dark-sweep-8 - Test Accuracy","dark-sweep-8 - Test Accuracy__MIN","dark-sweep-8 - Test Accuracy__MAX","swift-sweep-7 - Test Accuracy","swift-sweep-7 - Test Accuracy__MIN","swift-sweep-7 - Test Accuracy__MAX","worthy-sweep-6 - Test Accuracy","worthy-sweep-6 - Test Accuracy__MIN","worthy-sweep-6 - Test Accuracy__MAX","neat-sweep-5 - Test Accuracy","neat-sweep-5 - Test Accuracy__MIN","neat-sweep-5 - Test Accuracy__MAX","azure-sweep-4 - Test Accuracy","azure-sweep-4 - Test Accuracy__MIN","azure-sweep-4 - Test Accuracy__MAX","neat-sweep-3 - Test Accuracy","neat-sweep-3 - Test Accuracy__MIN","neat-sweep-3 - Test Accuracy__MAX","apricot-sweep-1 - Test Accuracy","apricot-sweep-1 - Test Accuracy__MIN","apricot-sweep-1 - Test Accuracy__MAX","stellar-sweep-2 - Test Accuracy","stellar-sweep-2 - Test Accuracy__MIN","stellar-sweep-2 - Test Accuracy__MAX"
"0","0.7296666666666667","0.7296666666666667","0.7296666666666667","0.7255","0.7255","0.7255","0.7311666666666666","0.7311666666666666","0.7311666666666666","0.7276666666666667","0.7276666666666667","0.7276666666666667","0.732","0.732","0.732","0.7306666666666667","0.7306666666666667","0.7306666666666667","0.7263333333333334","0.7263333333333334","0.7263333333333334","0.7261666666666666","0.7261666666666666","0.7261666666666666","0.7278333333333333","0.7278333333333333","0.7278333333333333","0.7248333333333333","0.7248333333333333","0.7248333333333333","0.7293333333333333","0.7293333333333333","0.7293333333333333"
"50","0.753","0.753","0.753","0.7485","0.7485","0.7485","0.7515","0.7515","0.7515","0.7473333333333333","0.7473333333333333","0.7473333333333333","0.7495","0.7495","0.7495","0.7515","0.7515","0.7515","0.7458333333333333","0.7458333333333333","0.7458333333333333","0.7473333333333333","0.7473333333333333","0.7473333333333333","0.747","0.747","0.747","0.7438333333333333","0.7438333333333333","0.7438333333333333","0.7473333333333333","0.7473333333333333","0.7473333333333333"
"100","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7615","0.7615","0.7615","0.7615","0.7615","0.7615","0.7593333333333333","0.7593333333333333","0.7593333333333333","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7618333333333334","0.7618333333333334","0.7618333333333334","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7566666666666667","0.7566666666666667","0.7566666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.7575","0.7575","0.7575","0.7606666666666667","0.7606666666666667","0.7606666666666667"
"150","0.7745","0.7745","0.7745","0.7716666666666666","0.7716666666666666","0.7716666666666666","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7728333333333334","0.7728333333333334","0.7728333333333334","0.7745","0.7745","0.7745","0.7725","0.7725","0.7725","0.775","0.775","0.775","0.7711666666666667","0.7711666666666667","0.7711666666666667","0.7755","0.7755","0.7755","0.769","0.769","0.769","0.7738333333333334","0.7738333333333334","0.7738333333333334"
"200","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7921666666666667","0.7921666666666667","0.7921666666666667","0.7913333333333333","0.7913333333333333","0.7913333333333333","0.7945","0.7945","0.7945","0.7945","0.7945","0.7945","0.793","0.793","0.793","0.7933333333333333","0.7933333333333333","0.7933333333333333","0.7921666666666667","0.7921666666666667","0.7921666666666667","0.79","0.79","0.79","0.7916666666666666","0.7916666666666666","0.7916666666666666"
"250","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8058333333333333","0.8058333333333333","0.8058333333333333","0.8056666666666666","0.8056666666666666","0.8056666666666666","0.807","0.807","0.807","0.8058333333333333","0.8058333333333333","0.8058333333333333","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8078333333333333","0.8078333333333333","0.8078333333333333","0.803","0.803","0.803","0.8045","0.8045","0.8045","0.806","0.806","0.806","0.8053333333333333","0.8053333333333333","0.8053333333333333"
"300","0.8188333333333333","0.8188333333333333","0.8188333333333333","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.8161666666666667","0.8161666666666667","0.8161666666666667","0.8175","0.8175","0.8175","0.818","0.818","0.818","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.8183333333333334","0.8183333333333334","0.8183333333333334","0.8131666666666667","0.8131666666666667","0.8131666666666667","0.816","0.816","0.816","0.816","0.816","0.816","0.8151666666666667","0.8151666666666667","0.8151666666666667"
"350","0.8248333333333333","0.8248333333333333","0.8248333333333333","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.82","0.82","0.82","0.8233333333333334","0.8233333333333334","0.8233333333333334","0.8226666666666667","0.8226666666666667","0.8226666666666667","0.822","0.822","0.822","0.8243333333333334","0.8243333333333334","0.8243333333333334","0.8203333333333334","0.8203333333333334","0.8203333333333334","0.8201666666666667","0.8201666666666667","0.8201666666666667","0.8215","0.8215","0.8215","0.8225","0.8225","0.8225"
"400","0.8271666666666667","0.8271666666666667","0.8271666666666667","0.821","0.821","0.821","0.8223333333333334","0.8223333333333334","0.8223333333333334","0.8228333333333333","0.8228333333333333","0.8228333333333333","0.826","0.826","0.826","0.8236666666666667","0.8236666666666667","0.8236666666666667","0.8273333333333334","0.8273333333333334","0.8273333333333334","0.8226666666666667","0.8226666666666667","0.8226666666666667","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.8225","0.8225","0.8225","0.8236666666666667","0.8236666666666667","0.8236666666666667"
