"Step","fresh-sweep-11 - Test Accuracy","fresh-sweep-11 - Test Accuracy__MIN","fresh-sweep-11 - Test Accuracy__MAX","effortless-sweep-10 - Test Accuracy","effortless-sweep-10 - Test Accuracy__MIN","effortless-sweep-10 - Test Accuracy__MAX","still-sweep-9 - Test Accuracy","still-sweep-9 - Test Accuracy__MIN","still-sweep-9 - Test Accuracy__MAX","ethereal-sweep-8 - Test Accuracy","ethereal-sweep-8 - Test Accuracy__MIN","ethereal-sweep-8 - Test Accuracy__MAX","daily-sweep-7 - Test Accuracy","daily-sweep-7 - Test Accuracy__MIN","daily-sweep-7 - Test Accuracy__MAX","royal-sweep-6 - Test Accuracy","royal-sweep-6 - Test Accuracy__MIN","royal-sweep-6 - Test Accuracy__MAX","sweepy-sweep-5 - Test Accuracy","sweepy-sweep-5 - Test Accuracy__MIN","sweepy-sweep-5 - Test Accuracy__MAX","breezy-sweep-4 - Test Accuracy","breezy-sweep-4 - Test Accuracy__MIN","breezy-sweep-4 - Test Accuracy__MAX","sleek-sweep-3 - Test Accuracy","sleek-sweep-3 - Test Accuracy__MIN","sleek-sweep-3 - Test Accuracy__MAX","fanciful-sweep-2 - Test Accuracy","fanciful-sweep-2 - Test Accuracy__MIN","fanciful-sweep-2 - Test Accuracy__MAX","astral-sweep-1 - Test Accuracy","astral-sweep-1 - Test Accuracy__MIN","astral-sweep-1 - Test Accuracy__MAX"
"0","0.7466666666666667","0.7466666666666667","0.7466666666666667","0.7428333333333333","0.7428333333333333","0.7428333333333333","0.7413333333333333","0.7413333333333333","0.7413333333333333","0.7425","0.7425","0.7425","0.743","0.743","0.743","0.7453333333333333","0.7453333333333333","0.7453333333333333","0.7416666666666667","0.7416666666666667","0.7416666666666667","0.7405","0.7405","0.7405","0.7428333333333333","0.7428333333333333","0.7428333333333333","0.7435","0.7435","0.7435","0.7403333333333333","0.7403333333333333","0.7403333333333333"
"50","0.7573333333333333","0.7573333333333333","0.7573333333333333","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7568333333333334","0.7568333333333334","0.7568333333333334","0.7555","0.7555","0.7555","0.7538333333333334","0.7538333333333334","0.7538333333333334","0.7551666666666667","0.7551666666666667","0.7551666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7558333333333334","0.7558333333333334","0.7558333333333334","0.7533333333333333","0.7533333333333333","0.7533333333333333"
"100","0.7631666666666667","0.7631666666666667","0.7631666666666667","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7623333333333333","0.7638333333333334","0.7638333333333334","0.7638333333333334","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.762","0.762","0.762","0.762","0.762","0.762","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.76","0.76","0.76"
"150","0.7705","0.7705","0.7705","0.7683333333333333","0.7683333333333333","0.7683333333333333","0.7678333333333334","0.7678333333333334","0.7678333333333334","0.7715","0.7715","0.7715","0.769","0.769","0.769","0.7683333333333333","0.7683333333333333","0.7683333333333333","0.7695","0.7695","0.7695","0.7663333333333333","0.7663333333333333","0.7663333333333333","0.7673333333333333","0.7673333333333333","0.7673333333333333","0.7695","0.7695","0.7695","0.768","0.768","0.768"
"200","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.7798333333333334","0.7798333333333334","0.7798333333333334","0.7825","0.7825","0.7825","0.7813333333333333","0.7813333333333333","0.7813333333333333","0.7841666666666667","0.7841666666666667","0.7841666666666667","0.7828333333333334","0.7828333333333334","0.7828333333333334","0.7823333333333333","0.7823333333333333","0.7823333333333333","0.7808333333333334","0.7808333333333334","0.7808333333333334","0.7821666666666667","0.7821666666666667","0.7821666666666667","0.7813333333333333","0.7813333333333333","0.7813333333333333","0.779","0.779","0.779"
"250","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.797","0.797","0.797","0.7985","0.7985","0.7985","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.799","0.799","0.799","0.7966666666666666","0.7966666666666666","0.7966666666666666","0.7961666666666667","0.7961666666666667","0.7961666666666667","0.7958333333333333","0.7958333333333333","0.7958333333333333","0.7961666666666667","0.7961666666666667","0.7961666666666667","0.7976666666666666","0.7976666666666666","0.7976666666666666","0.795","0.795","0.795"
"300","0.8108333333333333","0.8108333333333333","0.8108333333333333","0.8081666666666667","0.8081666666666667","0.8081666666666667","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8081666666666667","0.8081666666666667","0.8081666666666667","0.8068333333333333","0.8068333333333333","0.8068333333333333","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8045","0.8045","0.8045","0.806","0.806","0.806","0.8061666666666667","0.8061666666666667","0.8061666666666667","0.8045","0.8045","0.8045"
"350","0.818","0.818","0.818","0.8145","0.8145","0.8145","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8156666666666667","0.8156666666666667","0.8156666666666667","0.8155","0.8155","0.8155","0.818","0.818","0.818","0.8123333333333334","0.8123333333333334","0.8123333333333334","0.814","0.814","0.814","0.815","0.815","0.815","0.8161666666666667","0.8161666666666667","0.8161666666666667"
"400","0.8236666666666667","0.8236666666666667","0.8236666666666667","0.817","0.817","0.817","0.8213333333333334","0.8213333333333334","0.8213333333333334","0.821","0.821","0.821","0.822","0.822","0.822","0.8203333333333334","0.8203333333333334","0.8203333333333334","0.8225","0.8225","0.8225","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8216666666666667","0.8216666666666667","0.8216666666666667","0.8205","0.8205","0.8205","0.8195","0.8195","0.8195"
