"Step","comic-sweep-11 - Test Accuracy","comic-sweep-11 - Test Accuracy__MIN","comic-sweep-11 - Test Accuracy__MAX","vivid-sweep-10 - Test Accuracy","vivid-sweep-10 - Test Accuracy__MIN","vivid-sweep-10 - Test Accuracy__MAX","glowing-sweep-9 - Test Accuracy","glowing-sweep-9 - Test Accuracy__MIN","glowing-sweep-9 - Test Accuracy__MAX","dainty-sweep-8 - Test Accuracy","dainty-sweep-8 - Test Accuracy__MIN","dainty-sweep-8 - Test Accuracy__MAX","spring-sweep-7 - Test Accuracy","spring-sweep-7 - Test Accuracy__MIN","spring-sweep-7 - Test Accuracy__MAX","pretty-sweep-6 - Test Accuracy","pretty-sweep-6 - Test Accuracy__MIN","pretty-sweep-6 - Test Accuracy__MAX","glowing-sweep-5 - Test Accuracy","glowing-sweep-5 - Test Accuracy__MIN","glowing-sweep-5 - Test Accuracy__MAX","glad-sweep-4 - Test Accuracy","glad-sweep-4 - Test Accuracy__MIN","glad-sweep-4 - Test Accuracy__MAX","serene-sweep-3 - Test Accuracy","serene-sweep-3 - Test Accuracy__MIN","serene-sweep-3 - Test Accuracy__MAX","different-sweep-2 - Test Accuracy","different-sweep-2 - Test Accuracy__MIN","different-sweep-2 - Test Accuracy__MAX","smooth-sweep-1 - Test Accuracy","smooth-sweep-1 - Test Accuracy__MIN","smooth-sweep-1 - Test Accuracy__MAX"
"0","0.4635","0.4635","0.4635","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4555","0.4555","0.4555","0.45866666666666667","0.45866666666666667","0.45866666666666667","0.458","0.458","0.458","0.4555","0.4555","0.4555","0.4543333333333333","0.4543333333333333","0.4543333333333333","0.459","0.459","0.459","0.4651666666666667","0.4651666666666667","0.4651666666666667","0.45316666666666666","0.45316666666666666","0.45316666666666666"
"50","0.5778333333333333","0.5778333333333333","0.5778333333333333","0.5776666666666667","0.5776666666666667","0.5776666666666667","0.5775","0.5775","0.5775","0.5688333333333333","0.5688333333333333","0.5688333333333333","0.5735","0.5735","0.5735","0.5728333333333333","0.5728333333333333","0.5728333333333333","0.5645","0.5645","0.5645","0.5621666666666667","0.5621666666666667","0.5621666666666667","0.5698333333333333","0.5698333333333333","0.5698333333333333","0.5701666666666667","0.5701666666666667","0.5701666666666667","0.564","0.564","0.564"
"100","0.6888333333333333","0.6888333333333333","0.6888333333333333","0.6878333333333333","0.6878333333333333","0.6878333333333333","0.6848333333333333","0.6848333333333333","0.6848333333333333","0.6785","0.6785","0.6785","0.6863333333333334","0.6863333333333334","0.6863333333333334","0.684","0.684","0.684","0.6748333333333333","0.6748333333333333","0.6748333333333333","0.678","0.678","0.678","0.6851666666666667","0.6851666666666667","0.6851666666666667","0.6813333333333333","0.6813333333333333","0.6813333333333333","0.6791666666666667","0.6791666666666667","0.6791666666666667"
"150","0.7728333333333334","0.7728333333333334","0.7728333333333334","0.7611666666666667","0.7611666666666667","0.7611666666666667","0.765","0.765","0.765","0.7631666666666667","0.7631666666666667","0.7631666666666667","0.7638333333333334","0.7638333333333334","0.7638333333333334","0.7673333333333333","0.7673333333333333","0.7673333333333333","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.76","0.76","0.76","0.7661666666666667","0.7661666666666667","0.7661666666666667","0.761","0.761","0.761","0.7605","0.7605","0.7605"
"200","0.8066666666666666","0.8066666666666666","0.8066666666666666","0.8025","0.8025","0.8025","0.8","0.8","0.8","0.8006666666666666","0.8006666666666666","0.8006666666666666","0.8013333333333333","0.8013333333333333","0.8013333333333333","0.8016666666666666","0.8016666666666666","0.8016666666666666","0.8026666666666666","0.8026666666666666","0.8026666666666666","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.8013333333333333","0.8013333333333333","0.8013333333333333","0.8031666666666667","0.8031666666666667","0.8031666666666667","0.7975","0.7975","0.7975"
"250","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8145","0.8145","0.8145","0.8146666666666667","0.8146666666666667","0.8146666666666667","0.8145","0.8145","0.8145","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8185","0.8185","0.8185","0.819","0.819","0.819","0.8155","0.8155","0.8155","0.8148333333333333","0.8148333333333333","0.8148333333333333","0.8163333333333334","0.8163333333333334","0.8163333333333334","0.8121666666666667","0.8121666666666667","0.8121666666666667"
"300","0.8236666666666667","0.8236666666666667","0.8236666666666667","0.8215","0.8215","0.8215","0.8186666666666667","0.8186666666666667","0.8186666666666667","0.816","0.816","0.816","0.82","0.82","0.82","0.82","0.82","0.82","0.8195","0.8195","0.8195","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8173333333333334","0.8173333333333334","0.8173333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.817","0.817","0.817"
"350","0.8205","0.8205","0.8205","0.8196666666666667","0.8196666666666667","0.8196666666666667","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8173333333333334","0.8173333333333334","0.8173333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8195","0.8195","0.8195","0.8191666666666667","0.8191666666666667","0.8191666666666667","0.817","0.817","0.817","0.8161666666666667","0.8161666666666667","0.8161666666666667","0.8175","0.8175","0.8175","0.8165","0.8165","0.8165"
"400","0.8168333333333333","0.8168333333333333","0.8168333333333333","0.8156666666666667","0.8156666666666667","0.8156666666666667","0.815","0.815","0.815","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.8195","0.8195","0.8195","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.814","0.814","0.814","0.814","0.814","0.814","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.8178333333333333","0.8178333333333333","0.8178333333333333"
