"Step","prime-sweep-11 - Test Accuracy","prime-sweep-11 - Test Accuracy__MIN","prime-sweep-11 - Test Accuracy__MAX","royal-sweep-6 - Test Accuracy","royal-sweep-6 - Test Accuracy__MIN","royal-sweep-6 - Test Accuracy__MAX","royal-sweep-10 - Test Accuracy","royal-sweep-10 - Test Accuracy__MIN","royal-sweep-10 - Test Accuracy__MAX","still-sweep-5 - Test Accuracy","still-sweep-5 - Test Accuracy__MIN","still-sweep-5 - Test Accuracy__MAX","bumbling-sweep-7 - Test Accuracy","bumbling-sweep-7 - Test Accuracy__MIN","bumbling-sweep-7 - Test Accuracy__MAX","twilight-sweep-1 - Test Accuracy","twilight-sweep-1 - Test Accuracy__MIN","twilight-sweep-1 - Test Accuracy__MAX","wobbly-sweep-8 - Test Accuracy","wobbly-sweep-8 - Test Accuracy__MIN","wobbly-sweep-8 - Test Accuracy__MAX","clear-sweep-3 - Test Accuracy","clear-sweep-3 - Test Accuracy__MIN","clear-sweep-3 - Test Accuracy__MAX","noble-sweep-9 - Test Accuracy","noble-sweep-9 - Test Accuracy__MIN","noble-sweep-9 - Test Accuracy__MAX","resilient-sweep-2 - Test Accuracy","resilient-sweep-2 - Test Accuracy__MIN","resilient-sweep-2 - Test Accuracy__MAX","magic-sweep-4 - Test Accuracy","magic-sweep-4 - Test Accuracy__MIN","magic-sweep-4 - Test Accuracy__MAX"
"0","0.4635","0.4635","0.4635","0.458","0.458","0.458","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4555","0.4555","0.4555","0.45866666666666667","0.45866666666666667","0.45866666666666667","0.45316666666666666","0.45316666666666666","0.45316666666666666","0.4555","0.4555","0.4555","0.459","0.459","0.459","0.4683333333333333","0.4683333333333333","0.4683333333333333","0.4651666666666667","0.4651666666666667","0.4651666666666667","0.4543333333333333","0.4543333333333333","0.4543333333333333"
"50","0.5741666666666667","0.5741666666666667","0.5741666666666667","0.571","0.571","0.571","0.5798333333333333","0.5798333333333333","0.5798333333333333","0.5616666666666666","0.5616666666666666","0.5616666666666666","0.5718333333333333","0.5718333333333333","0.5718333333333333","0.5606666666666666","0.5606666666666666","0.5606666666666666","0.568","0.568","0.568","0.5685","0.5685","0.5685","0.5738333333333333","0.5738333333333333","0.5738333333333333","0.5695","0.5695","0.5695","0.561","0.561","0.561"
"100","0.6883333333333334","0.6883333333333334","0.6883333333333334","0.681","0.681","0.681","0.6885","0.6885","0.6885","0.677","0.677","0.677","0.6831666666666667","0.6831666666666667","0.6831666666666667","0.6765","0.6765","0.6765","0.6815","0.6815","0.6815","0.6866666666666666","0.6866666666666666","0.6866666666666666","0.6855","0.6855","0.6855","0.6806666666666666","0.6806666666666666","0.6806666666666666","0.6776666666666666","0.6776666666666666","0.6776666666666666"
"150","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7645","0.7645","0.7645","0.7625","0.7625","0.7625","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7641666666666667","0.7641666666666667","0.7641666666666667","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7633333333333333","0.7633333333333333","0.7633333333333333","0.767","0.767","0.767","0.7656666666666667","0.7656666666666667","0.7656666666666667","0.761","0.761","0.761","0.7585","0.7585","0.7585"
"200","0.805","0.805","0.805","0.7985","0.7985","0.7985","0.7981666666666667","0.7981666666666667","0.7981666666666667","0.8035","0.8035","0.8035","0.8003333333333333","0.8003333333333333","0.8003333333333333","0.7975","0.7975","0.7975","0.8015","0.8015","0.8015","0.8006666666666666","0.8006666666666666","0.8006666666666666","0.8005","0.8005","0.8005","0.8021666666666667","0.8021666666666667","0.8021666666666667","0.799","0.799","0.799"
"250","0.819","0.819","0.819","0.8186666666666667","0.8186666666666667","0.8186666666666667","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.816","0.816","0.816","0.8123333333333334","0.8123333333333334","0.8123333333333334","0.8146666666666667","0.8146666666666667","0.8146666666666667","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.8151666666666667","0.8151666666666667","0.8151666666666667","0.816","0.816","0.816","0.8153333333333334","0.8153333333333334","0.8153333333333334"
"300","0.822","0.822","0.822","0.8206666666666667","0.8206666666666667","0.8206666666666667","0.8216666666666667","0.8216666666666667","0.8216666666666667","0.8188333333333333","0.8188333333333333","0.8188333333333333","0.82","0.82","0.82","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8165","0.8165","0.8165"
"350","0.8195","0.8195","0.8195","0.8203333333333334","0.8203333333333334","0.8203333333333334","0.819","0.819","0.819","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8176666666666667","0.8176666666666667","0.8176666666666667","0.8155","0.8155","0.8155","0.816","0.816","0.816","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8181666666666667"
"400","0.8186666666666667","0.8186666666666667","0.8186666666666667","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8173333333333334","0.8173333333333334","0.8173333333333334","0.817","0.817","0.817","0.817","0.817","0.817","0.8163333333333334","0.8163333333333334","0.8163333333333334","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8146666666666667","0.8146666666666667","0.8146666666666667","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.814","0.814","0.814","0.813","0.813","0.813"
