"Step","snowy-sweep-15 - Test Accuracy","snowy-sweep-15 - Test Accuracy__MIN","snowy-sweep-15 - Test Accuracy__MAX","morning-sweep-14 - Test Accuracy","morning-sweep-14 - Test Accuracy__MIN","morning-sweep-14 - Test Accuracy__MAX","generous-sweep-13 - Test Accuracy","generous-sweep-13 - Test Accuracy__MIN","generous-sweep-13 - Test Accuracy__MAX","dauntless-sweep-12 - Test Accuracy","dauntless-sweep-12 - Test Accuracy__MIN","dauntless-sweep-12 - Test Accuracy__MAX","apricot-sweep-11 - Test Accuracy","apricot-sweep-11 - Test Accuracy__MIN","apricot-sweep-11 - Test Accuracy__MAX"
"0","0.36","0.36","0.36","0.364","0.364","0.364","0.36483333333333334","0.36483333333333334","0.36483333333333334","0.37516666666666665","0.37516666666666665","0.37516666666666665","0.362","0.362","0.362"
"50","0.5361666666666667","0.5361666666666667","0.5361666666666667","0.54","0.54","0.54","0.5575","0.5575","0.5575","0.5548333333333333","0.5548333333333333","0.5548333333333333","0.5303333333333333","0.5303333333333333","0.5303333333333333"
"100","0.7003333333333334","0.7003333333333334","0.7003333333333334","0.6958333333333333","0.6958333333333333","0.6958333333333333","0.713","0.713","0.713","0.7066666666666667","0.7066666666666667","0.7066666666666667","0.7005","0.7005","0.7005"
"150","0.7838333333333334","0.7838333333333334","0.7838333333333334","0.7836666666666666","0.7836666666666666","0.7836666666666666","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7815","0.7815","0.7815","0.7758333333333334","0.7758333333333334","0.7758333333333334"
"200","0.8076666666666666","0.8076666666666666","0.8076666666666666","0.807","0.807","0.807","0.8048333333333333","0.8048333333333333","0.8048333333333333","0.8075","0.8075","0.8075","0.8028333333333333","0.8028333333333333","0.8028333333333333"
"250","0.814","0.814","0.814","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.8126666666666666","0.816","0.816","0.816","0.8108333333333333","0.8108333333333333","0.8108333333333333"
"300","0.8116666666666666","0.8116666666666666","0.8116666666666666","0.8115","0.8115","0.8115","0.809","0.809","0.809","0.8135","0.8135","0.8135","0.8108333333333333","0.8108333333333333","0.8108333333333333"
"350","0.8068333333333333","0.8068333333333333","0.8068333333333333","0.811","0.811","0.811","0.8066666666666666","0.8066666666666666","0.8066666666666666","0.8106666666666666","0.8106666666666666","0.8106666666666666","0.8103333333333333","0.8103333333333333","0.8103333333333333"
"400","0.8051666666666667","0.8051666666666667","0.8051666666666667","0.8036666666666666","0.8036666666666666","0.8036666666666666","0.8043333333333333","0.8043333333333333","0.8043333333333333","0.8041666666666667","0.8041666666666667","0.8041666666666667","0.8083333333333333","0.8083333333333333","0.8083333333333333"
