"Step","astral-sweep-10 - Test Accuracy","astral-sweep-10 - Test Accuracy__MIN","astral-sweep-10 - Test Accuracy__MAX","sparkling-sweep-9 - Test Accuracy","sparkling-sweep-9 - Test Accuracy__MIN","sparkling-sweep-9 - Test Accuracy__MAX","glad-sweep-8 - Test Accuracy","glad-sweep-8 - Test Accuracy__MIN","glad-sweep-8 - Test Accuracy__MAX","fiery-sweep-7 - Test Accuracy","fiery-sweep-7 - Test Accuracy__MIN","fiery-sweep-7 - Test Accuracy__MAX","lively-sweep-6 - Test Accuracy","lively-sweep-6 - Test Accuracy__MIN","lively-sweep-6 - Test Accuracy__MAX"
"0","0.5565","0.5565","0.5565","0.553","0.553","0.553","0.5651666666666667","0.5651666666666667","0.5651666666666667","0.561","0.561","0.561","0.5638333333333333","0.5638333333333333","0.5638333333333333"
"50","0.6211666666666666","0.6211666666666666","0.6211666666666666","0.6201666666666666","0.6201666666666666","0.6201666666666666","0.623","0.623","0.623","0.6221666666666666","0.6221666666666666","0.6221666666666666","0.6216666666666667","0.6216666666666667","0.6216666666666667"
"100","0.6818333333333333","0.6818333333333333","0.6818333333333333","0.6858333333333333","0.6858333333333333","0.6858333333333333","0.6938333333333333","0.6938333333333333","0.6938333333333333","0.6876666666666666","0.6876666666666666","0.6876666666666666","0.6796666666666666","0.6796666666666666","0.6796666666666666"
"150","0.7405","0.7405","0.7405","0.7418333333333333","0.7418333333333333","0.7418333333333333","0.748","0.748","0.748","0.7448333333333333","0.7448333333333333","0.7448333333333333","0.7398333333333333","0.7398333333333333","0.7398333333333333"
"200","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.7855","0.7855","0.7855","0.7826666666666666","0.7826666666666666","0.7826666666666666","0.7783333333333333","0.7783333333333333","0.7783333333333333"
"250","0.807","0.807","0.807","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.804","0.804","0.804","0.8056666666666666","0.8056666666666666","0.8056666666666666"
"300","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8156666666666667","0.8156666666666667","0.8156666666666667","0.8151666666666667","0.8151666666666667","0.8151666666666667","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.8153333333333334","0.8153333333333334","0.8153333333333334"
"350","0.8195","0.8195","0.8195","0.8185","0.8185","0.8185","0.817","0.817","0.817","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8186666666666667","0.8186666666666667","0.8186666666666667"
"400","0.823","0.823","0.823","0.8216666666666667","0.8216666666666667","0.8216666666666667","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.8213333333333334","0.8213333333333334","0.8213333333333334","0.817","0.817","0.817"
