"Step","tough-sweep-5 - Test Accuracy","tough-sweep-5 - Test Accuracy__MIN","tough-sweep-5 - Test Accuracy__MAX","polar-sweep-4 - Test Accuracy","polar-sweep-4 - Test Accuracy__MIN","polar-sweep-4 - Test Accuracy__MAX","rural-sweep-3 - Test Accuracy","rural-sweep-3 - Test Accuracy__MIN","rural-sweep-3 - Test Accuracy__MAX","absurd-sweep-2 - Test Accuracy","absurd-sweep-2 - Test Accuracy__MIN","absurd-sweep-2 - Test Accuracy__MAX","dark-sweep-1 - Test Accuracy","dark-sweep-1 - Test Accuracy__MIN","dark-sweep-1 - Test Accuracy__MAX"
"0","0.41483333333333333","0.41483333333333333","0.41483333333333333","0.4156666666666667","0.4156666666666667","0.4156666666666667","0.4176666666666667","0.4176666666666667","0.4176666666666667","0.4246666666666667","0.4246666666666667","0.4246666666666667","0.4146666666666667","0.4146666666666667","0.4146666666666667"
"50","0.5143333333333333","0.5143333333333333","0.5143333333333333","0.5165","0.5165","0.5165","0.5265","0.5265","0.5265","0.5258333333333334","0.5258333333333334","0.5258333333333334","0.5155","0.5155","0.5155"
"100","0.6381666666666667","0.6381666666666667","0.6381666666666667","0.632","0.632","0.632","0.6393333333333333","0.6393333333333333","0.6393333333333333","0.632","0.632","0.632","0.6276666666666667","0.6276666666666667","0.6276666666666667"
"150","0.7235","0.7235","0.7235","0.7271666666666666","0.7271666666666666","0.7271666666666666","0.7338333333333333","0.7338333333333333","0.7338333333333333","0.727","0.727","0.727","0.7246666666666667","0.7246666666666667","0.7246666666666667"
"200","0.78","0.78","0.78","0.7815","0.7815","0.7815","0.7846666666666666","0.7846666666666666","0.7846666666666666","0.7818333333333334","0.7818333333333334","0.7818333333333334","0.7778333333333334","0.7778333333333334","0.7778333333333334"
"250","0.8085","0.8085","0.8085","0.8056666666666666","0.8056666666666666","0.8056666666666666","0.805","0.805","0.805","0.8085","0.8085","0.8085","0.8028333333333333","0.8028333333333333","0.8028333333333333"
"300","0.8191666666666667","0.8191666666666667","0.8191666666666667","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8131666666666667","0.8131666666666667","0.8131666666666667","0.8115","0.8115","0.8115","0.8111666666666667","0.8111666666666667","0.8111666666666667"
"350","0.8175","0.8175","0.8175","0.8156666666666667","0.8156666666666667","0.8156666666666667","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.8165","0.8165","0.8165","0.8168333333333333","0.8168333333333333","0.8168333333333333"
"400","0.8185","0.8185","0.8185","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8115","0.8115","0.8115","0.8131666666666667","0.8131666666666667","0.8131666666666667","0.8171666666666667","0.8171666666666667","0.8171666666666667"
