"Step","mild-sweep-10 - Test Accuracy","mild-sweep-10 - Test Accuracy__MIN","mild-sweep-10 - Test Accuracy__MAX","devoted-sweep-9 - Test Accuracy","devoted-sweep-9 - Test Accuracy__MIN","devoted-sweep-9 - Test Accuracy__MAX","morning-sweep-8 - Test Accuracy","morning-sweep-8 - Test Accuracy__MIN","morning-sweep-8 - Test Accuracy__MAX","driven-sweep-7 - Test Accuracy","driven-sweep-7 - Test Accuracy__MIN","driven-sweep-7 - Test Accuracy__MAX","hopeful-sweep-6 - Test Accuracy","hopeful-sweep-6 - Test Accuracy__MIN","hopeful-sweep-6 - Test Accuracy__MAX"
"0","0.22133333333333333","0.22133333333333333","0.22133333333333333","0.22166666666666668","0.22166666666666668","0.22166666666666668","0.2175","0.2175","0.2175","0.24166666666666667","0.24166666666666667","0.24166666666666667","0.22483333333333333","0.22483333333333333","0.22483333333333333"
"50","0.5525","0.5525","0.5525","0.5651666666666667","0.5651666666666667","0.5651666666666667","0.5851666666666666","0.5851666666666666","0.5851666666666666","0.5808333333333333","0.5808333333333333","0.5808333333333333","0.5498333333333333","0.5498333333333333","0.5498333333333333"
"100","0.7485","0.7485","0.7485","0.747","0.747","0.747","0.7543333333333333","0.7543333333333333","0.7543333333333333","0.7485","0.7485","0.7485","0.7381666666666666","0.7381666666666666","0.7381666666666666"
"150","0.7885","0.7885","0.7885","0.7888333333333334","0.7888333333333334","0.7888333333333334","0.7886666666666666","0.7886666666666666","0.7886666666666666","0.7923333333333333","0.7923333333333333","0.7923333333333333","0.785","0.785","0.785"
"200","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7996666666666666","0.7996666666666666","0.7996666666666666","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.7981666666666667","0.7981666666666667","0.7981666666666667","0.795","0.795","0.795"
"250","0.799","0.799","0.799","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.797","0.797","0.797"
"300","0.7983333333333333","0.7983333333333333","0.7983333333333333","0.7975","0.7975","0.7975","0.795","0.795","0.795","0.8015","0.8015","0.8015","0.7973333333333333","0.7973333333333333","0.7973333333333333"
"350","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7948333333333333","0.7948333333333333","0.7948333333333333","0.7946666666666666","0.7946666666666666","0.7946666666666666","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.796","0.796","0.796"
"400","0.7935","0.7935","0.7935","0.7943333333333333","0.7943333333333333","0.7943333333333333","0.7918333333333333","0.7918333333333333","0.7918333333333333","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7953333333333333","0.7953333333333333","0.7953333333333333"
