"Step","legendary-sweep-20 - Test Accuracy","legendary-sweep-20 - Test Accuracy__MIN","legendary-sweep-20 - Test Accuracy__MAX","logical-sweep-19 - Test Accuracy","logical-sweep-19 - Test Accuracy__MIN","logical-sweep-19 - Test Accuracy__MAX","crisp-sweep-18 - Test Accuracy","crisp-sweep-18 - Test Accuracy__MIN","crisp-sweep-18 - Test Accuracy__MAX","decent-sweep-17 - Test Accuracy","decent-sweep-17 - Test Accuracy__MIN","decent-sweep-17 - Test Accuracy__MAX","pleasant-sweep-16 - Test Accuracy","pleasant-sweep-16 - Test Accuracy__MIN","pleasant-sweep-16 - Test Accuracy__MAX"
"0","0.7416666666666667","0.7416666666666667","0.7416666666666667","0.7405","0.7405","0.7405","0.7428333333333333","0.7428333333333333","0.7428333333333333","0.7435","0.7435","0.7435","0.7403333333333333","0.7403333333333333","0.7403333333333333"
"50","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7528333333333334","0.7528333333333334","0.7528333333333334","0.7558333333333334","0.7558333333333334","0.7558333333333334","0.7533333333333333","0.7533333333333333","0.7533333333333333"
"100","0.762","0.762","0.762","0.762","0.762","0.762","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.76","0.76","0.76"
"150","0.7695","0.7695","0.7695","0.7663333333333333","0.7663333333333333","0.7663333333333333","0.7673333333333333","0.7673333333333333","0.7673333333333333","0.7695","0.7695","0.7695","0.768","0.768","0.768"
"200","0.7823333333333333","0.7823333333333333","0.7823333333333333","0.7808333333333334","0.7808333333333334","0.7808333333333334","0.7821666666666667","0.7821666666666667","0.7821666666666667","0.7813333333333333","0.7813333333333333","0.7813333333333333","0.779","0.779","0.779"
"250","0.7961666666666667","0.7961666666666667","0.7961666666666667","0.7958333333333333","0.7958333333333333","0.7958333333333333","0.7961666666666667","0.7961666666666667","0.7961666666666667","0.7976666666666666","0.7976666666666666","0.7976666666666666","0.795","0.795","0.795"
"300","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.8045","0.8045","0.8045","0.806","0.806","0.806","0.8061666666666667","0.8061666666666667","0.8061666666666667","0.8045","0.8045","0.8045"
"350","0.818","0.818","0.818","0.8123333333333334","0.8123333333333334","0.8123333333333334","0.814","0.814","0.814","0.815","0.815","0.815","0.8161666666666667","0.8161666666666667","0.8161666666666667"
"400","0.8225","0.8225","0.8225","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8216666666666667","0.8216666666666667","0.8216666666666667","0.8205","0.8205","0.8205","0.8195","0.8195","0.8195"
