"Step","misty-sweep-20 - Global Test Accuracy","misty-sweep-20 - Global Test Accuracy__MIN","misty-sweep-20 - Global Test Accuracy__MAX","jolly-sweep-19 - Global Test Accuracy","jolly-sweep-19 - Global Test Accuracy__MIN","jolly-sweep-19 - Global Test Accuracy__MAX","pleasant-sweep-18 - Global Test Accuracy","pleasant-sweep-18 - Global Test Accuracy__MIN","pleasant-sweep-18 - Global Test Accuracy__MAX","playful-sweep-17 - Global Test Accuracy","playful-sweep-17 - Global Test Accuracy__MIN","playful-sweep-17 - Global Test Accuracy__MAX","hardy-sweep-16 - Global Test Accuracy","hardy-sweep-16 - Global Test Accuracy__MIN","hardy-sweep-16 - Global Test Accuracy__MAX"
"0","0.009333333333333334","0.009333333333333334","0.009333333333333334","0.005166666666666667","0.005166666666666667","0.005166666666666667","0.006166666666666667","0.006166666666666667","0.006166666666666667","0.009166666666666667","0.009166666666666667","0.009166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667"
"50","0.3308333333333333","0.3308333333333333","0.3308333333333333","0.3278333333333333","0.3278333333333333","0.3278333333333333","0.3451666666666667","0.3451666666666667","0.3451666666666667","0.35683333333333334","0.35683333333333334","0.35683333333333334","0.341","0.341","0.341"
"100","0.6721666666666667","0.6721666666666667","0.6721666666666667","0.6746666666666666","0.6746666666666666","0.6746666666666666","0.693","0.693","0.693","0.6758333333333333","0.6758333333333333","0.6758333333333333","0.6673333333333333","0.6673333333333333","0.6673333333333333"
"150","0.7341666666666666","0.7341666666666666","0.7341666666666666","0.7445","0.7445","0.7445","0.7446666666666667","0.7446666666666667","0.7446666666666667","0.7418333333333333","0.7418333333333333","0.7418333333333333","0.7388333333333333","0.7388333333333333","0.7388333333333333"
"200","0.757","0.757","0.757","0.7613333333333333","0.7613333333333333","0.7613333333333333","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7598333333333334","0.7598333333333334","0.7598333333333334","0.7593333333333333","0.7593333333333333","0.7593333333333333"
"250","0.766","0.766","0.766","0.7696666666666667","0.7696666666666667","0.7696666666666667","0.7685","0.7685","0.7685","0.7675","0.7675","0.7675","0.763","0.763","0.763"
"300","0.7693333333333333","0.7693333333333333","0.7693333333333333","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7715","0.7715","0.7715","0.769","0.769","0.769","0.7665","0.7665","0.7665"
"350","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7745","0.7745","0.7745","0.7716666666666666","0.7716666666666666","0.7716666666666666","0.7711666666666667","0.7711666666666667","0.7711666666666667","0.7698333333333334","0.7698333333333334","0.7698333333333334"
"400","0.7743333333333333","0.7743333333333333","0.7743333333333333","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.773","0.773","0.773","0.7733333333333333","0.7733333333333333","0.7733333333333333","0.7733333333333333","0.7733333333333333","0.7733333333333333"
