"Step","upbeat-sweep-5 - Test Accuracy","upbeat-sweep-5 - Test Accuracy__MIN","upbeat-sweep-5 - Test Accuracy__MAX","visionary-sweep-4 - Test Accuracy","visionary-sweep-4 - Test Accuracy__MIN","visionary-sweep-4 - Test Accuracy__MAX","solar-sweep-3 - Test Accuracy","solar-sweep-3 - Test Accuracy__MIN","solar-sweep-3 - Test Accuracy__MAX","volcanic-sweep-2 - Test Accuracy","volcanic-sweep-2 - Test Accuracy__MIN","volcanic-sweep-2 - Test Accuracy__MAX","peachy-sweep-1 - Test Accuracy","peachy-sweep-1 - Test Accuracy__MIN","peachy-sweep-1 - Test Accuracy__MAX"
"0","0.2796666666666667","0.2796666666666667","0.2796666666666667","0.27016666666666667","0.27016666666666667","0.27016666666666667","0.2835","0.2835","0.2835","0.2956666666666667","0.2956666666666667","0.2956666666666667","0.2798333333333333","0.2798333333333333","0.2798333333333333"
"50","0.44216666666666665","0.44216666666666665","0.44216666666666665","0.46166666666666667","0.46166666666666667","0.46166666666666667","0.4528333333333333","0.4528333333333333","0.4528333333333333","0.45866666666666667","0.45866666666666667","0.45866666666666667","0.43966666666666665","0.43966666666666665","0.43966666666666665"
"100","0.6111666666666666","0.6111666666666666","0.6111666666666666","0.609","0.609","0.609","0.6298333333333334","0.6298333333333334","0.6298333333333334","0.6271666666666667","0.6271666666666667","0.6271666666666667","0.6145","0.6145","0.6145"
"150","0.7163333333333334","0.7163333333333334","0.7163333333333334","0.7203333333333334","0.7203333333333334","0.7203333333333334","0.7161666666666666","0.7161666666666666","0.7161666666666666","0.7206666666666667","0.7206666666666667","0.7206666666666667","0.7166666666666667","0.7166666666666667","0.7166666666666667"
"200","0.7663333333333333","0.7663333333333333","0.7663333333333333","0.7665","0.7665","0.7665","0.7676666666666667","0.7676666666666667","0.7676666666666667","0.7641666666666667","0.7641666666666667","0.7641666666666667","0.7615","0.7615","0.7615"
"250","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7881666666666667","0.7881666666666667","0.7881666666666667","0.788","0.788","0.788","0.7841666666666667","0.7841666666666667","0.7841666666666667","0.786","0.786","0.786"
"300","0.7935","0.7935","0.7935","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.797","0.797","0.797","0.794","0.794","0.794","0.7945","0.7945","0.7945"
"350","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7973333333333333","0.7973333333333333","0.7973333333333333","0.7956666666666666","0.7956666666666666","0.7956666666666666","0.7996666666666666","0.7996666666666666","0.7996666666666666","0.792","0.792","0.792"
"400","0.801","0.801","0.801","0.8003333333333333","0.8003333333333333","0.8003333333333333","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.7991666666666667","0.796","0.796","0.796"
