"Step","golden-sweep-15 - Test Accuracy","golden-sweep-15 - Test Accuracy__MIN","golden-sweep-15 - Test Accuracy__MAX","fallen-sweep-14 - Test Accuracy","fallen-sweep-14 - Test Accuracy__MIN","fallen-sweep-14 - Test Accuracy__MAX","laced-sweep-13 - Test Accuracy","laced-sweep-13 - Test Accuracy__MIN","laced-sweep-13 - Test Accuracy__MAX","lyric-sweep-12 - Test Accuracy","lyric-sweep-12 - Test Accuracy__MIN","lyric-sweep-12 - Test Accuracy__MAX","silver-sweep-11 - Test Accuracy","silver-sweep-11 - Test Accuracy__MIN","silver-sweep-11 - Test Accuracy__MAX"
"0","0.6913333333333334","0.6913333333333334","0.6913333333333334","0.687","0.687","0.687","0.6898333333333333","0.6898333333333333","0.6898333333333333","0.692","0.692","0.692","0.6858333333333333","0.6858333333333333","0.6858333333333333"
"50","0.7128333333333333","0.7128333333333333","0.7128333333333333","0.7143333333333334","0.7143333333333334","0.7143333333333334","0.7188333333333333","0.7188333333333333","0.7188333333333333","0.7188333333333333","0.7188333333333333","0.7188333333333333","0.7153333333333334","0.7153333333333334","0.7153333333333334"
"100","0.7395","0.7395","0.7395","0.7403333333333333","0.7403333333333333","0.7403333333333333","0.7415","0.7415","0.7415","0.7408333333333333","0.7408333333333333","0.7408333333333333","0.7361666666666666","0.7361666666666666","0.7361666666666666"
"150","0.763","0.763","0.763","0.7603333333333333","0.7603333333333333","0.7603333333333333","0.7651666666666667","0.7651666666666667","0.7651666666666667","0.7643333333333333","0.7643333333333333","0.7643333333333333","0.7585","0.7585","0.7585"
"200","0.785","0.785","0.785","0.7831666666666667","0.7831666666666667","0.7831666666666667","0.7868333333333334","0.7868333333333334","0.7868333333333334","0.7861666666666667","0.7861666666666667","0.7861666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"250","0.8026666666666666","0.8026666666666666","0.8026666666666666","0.8008333333333333","0.8008333333333333","0.8008333333333333","0.801","0.801","0.801","0.802","0.802","0.802","0.8031666666666667","0.8031666666666667","0.8031666666666667"
"300","0.8156666666666667","0.8156666666666667","0.8156666666666667","0.8106666666666666","0.8106666666666666","0.8106666666666666","0.813","0.813","0.813","0.814","0.814","0.814","0.8131666666666667","0.8131666666666667","0.8131666666666667"
"350","0.8233333333333334","0.8233333333333334","0.8233333333333334","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8196666666666667","0.8196666666666667","0.8196666666666667","0.8188333333333333","0.8188333333333333","0.8188333333333333"
"400","0.8258333333333333","0.8258333333333333","0.8258333333333333","0.8213333333333334","0.8213333333333334","0.8213333333333334","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.8221666666666667","0.821","0.821","0.821"
