"Step","fluent-sweep-10 - Test Accuracy","fluent-sweep-10 - Test Accuracy__MIN","fluent-sweep-10 - Test Accuracy__MAX","hearty-sweep-9 - Test Accuracy","hearty-sweep-9 - Test Accuracy__MIN","hearty-sweep-9 - Test Accuracy__MAX","kind-sweep-8 - Test Accuracy","kind-sweep-8 - Test Accuracy__MIN","kind-sweep-8 - Test Accuracy__MAX","confused-sweep-7 - Test Accuracy","confused-sweep-7 - Test Accuracy__MIN","confused-sweep-7 - Test Accuracy__MAX","lemon-sweep-6 - Test Accuracy","lemon-sweep-6 - Test Accuracy__MIN","lemon-sweep-6 - Test Accuracy__MAX"
"0","0.22133333333333333","0.22133333333333333","0.22133333333333333","0.22166666666666668","0.22166666666666668","0.22166666666666668","0.2175","0.2175","0.2175","0.24166666666666667","0.24166666666666667","0.24166666666666667","0.22483333333333333","0.22483333333333333","0.22483333333333333"
"50","0.5561666666666667","0.5561666666666667","0.5561666666666667","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.5853333333333334","0.5853333333333334","0.5853333333333334","0.5805","0.5805","0.5805","0.5495","0.5495","0.5495"
"100","0.7448333333333333","0.7448333333333333","0.7448333333333333","0.7421666666666666","0.7421666666666666","0.7421666666666666","0.7583333333333333","0.7583333333333333","0.7583333333333333","0.7453333333333333","0.7453333333333333","0.7453333333333333","0.7403333333333333","0.7403333333333333","0.7403333333333333"
"150","0.787","0.787","0.787","0.7861666666666667","0.7861666666666667","0.7861666666666667","0.793","0.793","0.793","0.7908333333333334","0.7908333333333334","0.7908333333333334","0.7851666666666667","0.7851666666666667","0.7851666666666667"
"200","0.797","0.797","0.797","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.7975","0.7975","0.7975","0.7971666666666667","0.7971666666666667","0.7971666666666667","0.7963333333333333","0.7963333333333333","0.7963333333333333"
"250","0.7985","0.7985","0.7985","0.7983333333333333","0.7983333333333333","0.7983333333333333","0.7973333333333333","0.7973333333333333","0.7973333333333333","0.8001666666666667","0.8001666666666667","0.8001666666666667","0.797","0.797","0.797"
"300","0.798","0.798","0.798","0.796","0.796","0.796","0.797","0.797","0.797","0.8011666666666667","0.8011666666666667","0.8011666666666667","0.797","0.797","0.797"
"350","0.7953333333333333","0.7953333333333333","0.7953333333333333","0.795","0.795","0.795","0.7935","0.7935","0.7935","0.7975","0.7975","0.7975","0.7966666666666666","0.7966666666666666","0.7966666666666666"
"400","0.794","0.794","0.794","0.7938333333333333","0.7938333333333333","0.7938333333333333","0.7905","0.7905","0.7905","0.7968333333333333","0.7968333333333333","0.7968333333333333","0.7945","0.7945","0.7945"
