"Step","hardy-sweep-5 - Test Accuracy","hardy-sweep-5 - Test Accuracy__MIN","hardy-sweep-5 - Test Accuracy__MAX","gentle-sweep-4 - Test Accuracy","gentle-sweep-4 - Test Accuracy__MIN","gentle-sweep-4 - Test Accuracy__MAX","fallen-sweep-3 - Test Accuracy","fallen-sweep-3 - Test Accuracy__MIN","fallen-sweep-3 - Test Accuracy__MAX","stilted-sweep-2 - Test Accuracy","stilted-sweep-2 - Test Accuracy__MIN","stilted-sweep-2 - Test Accuracy__MAX","honest-sweep-1 - Test Accuracy","honest-sweep-1 - Test Accuracy__MIN","honest-sweep-1 - Test Accuracy__MAX"
"0","0.0245","0.0245","0.0245","0.0185","0.0185","0.0185","0.016666666666666666","0.016666666666666666","0.016666666666666666","0.023166666666666665","0.023166666666666665","0.023166666666666665","0.025","0.025","0.025"
"50","0.4165","0.4165","0.4165","0.41433333333333333","0.41433333333333333","0.41433333333333333","0.43633333333333335","0.43633333333333335","0.43633333333333335","0.44066666666666665","0.44066666666666665","0.44066666666666665","0.4106666666666667","0.4106666666666667","0.4106666666666667"
"100","0.6983333333333334","0.6983333333333334","0.6983333333333334","0.7006666666666667","0.7006666666666667","0.7006666666666667","0.7208333333333333","0.7208333333333333","0.7208333333333333","0.7051666666666667","0.7051666666666667","0.7051666666666667","0.699","0.699","0.699"
"150","0.753","0.753","0.753","0.757","0.757","0.757","0.7596666666666667","0.7596666666666667","0.7596666666666667","0.7558333333333334","0.7558333333333334","0.7558333333333334","0.7546666666666667","0.7546666666666667","0.7546666666666667"
"200","0.767","0.767","0.767","0.771","0.771","0.771","0.7678333333333334","0.7678333333333334","0.7678333333333334","0.7721666666666667","0.7721666666666667","0.7721666666666667","0.7685","0.7685","0.7685"
"250","0.7745","0.7745","0.7745","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7745","0.7745","0.7745","0.777","0.777","0.777","0.7701666666666667","0.7701666666666667","0.7701666666666667"
"300","0.7766666666666666","0.7766666666666666","0.7766666666666666","0.7786666666666666","0.7786666666666666","0.7786666666666666","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7731666666666667","0.7731666666666667","0.7731666666666667"
"350","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7768333333333334","0.7768333333333334","0.7768333333333334","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7758333333333334","0.7758333333333334","0.7758333333333334"
"400","0.779","0.779","0.779","0.779","0.779","0.779","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7783333333333333","0.7783333333333333","0.7783333333333333"
