"Step","faithful-sweep-15 - Test Accuracy","faithful-sweep-15 - Test Accuracy__MIN","faithful-sweep-15 - Test Accuracy__MAX","gentle-sweep-14 - Test Accuracy","gentle-sweep-14 - Test Accuracy__MIN","gentle-sweep-14 - Test Accuracy__MAX","super-sweep-13 - Test Accuracy","super-sweep-13 - Test Accuracy__MIN","super-sweep-13 - Test Accuracy__MAX","prime-sweep-12 - Test Accuracy","prime-sweep-12 - Test Accuracy__MIN","prime-sweep-12 - Test Accuracy__MAX","zesty-sweep-11 - Test Accuracy","zesty-sweep-11 - Test Accuracy__MIN","zesty-sweep-11 - Test Accuracy__MAX"
"0","0.36","0.36","0.36","0.364","0.364","0.364","0.36483333333333334","0.36483333333333334","0.36483333333333334","0.37516666666666665","0.37516666666666665","0.37516666666666665","0.362","0.362","0.362"
"50","0.5341666666666667","0.5341666666666667","0.5341666666666667","0.5408333333333334","0.5408333333333334","0.5408333333333334","0.5548333333333333","0.5548333333333333","0.5548333333333333","0.5531666666666667","0.5531666666666667","0.5531666666666667","0.535","0.535","0.535"
"100","0.7021666666666667","0.7021666666666667","0.7021666666666667","0.6976666666666667","0.6976666666666667","0.6976666666666667","0.7123333333333334","0.7123333333333334","0.7123333333333334","0.7073333333333334","0.7073333333333334","0.7073333333333334","0.7015","0.7015","0.7015"
"150","0.7818333333333334","0.7818333333333334","0.7818333333333334","0.7788333333333334","0.7788333333333334","0.7788333333333334","0.7865","0.7865","0.7865","0.7821666666666667","0.7821666666666667","0.7821666666666667","0.7771666666666667","0.7771666666666667","0.7771666666666667"
"200","0.807","0.807","0.807","0.8085","0.8085","0.8085","0.8068333333333333","0.8068333333333333","0.8068333333333333","0.8085","0.8085","0.8085","0.804","0.804","0.804"
"250","0.8135","0.8135","0.8135","0.8131666666666667","0.8131666666666667","0.8131666666666667","0.8115","0.8115","0.8115","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.8105","0.8105","0.8105"
"300","0.8116666666666666","0.8116666666666666","0.8116666666666666","0.8121666666666667","0.8121666666666667","0.8121666666666667","0.8086666666666666","0.8086666666666666","0.8086666666666666","0.8128333333333333","0.8128333333333333","0.8128333333333333","0.8098333333333333","0.8098333333333333","0.8098333333333333"
"350","0.8068333333333333","0.8068333333333333","0.8068333333333333","0.8101666666666667","0.8101666666666667","0.8101666666666667","0.8063333333333333","0.8063333333333333","0.8063333333333333","0.81","0.81","0.81","0.8111666666666667","0.8111666666666667","0.8111666666666667"
"400","0.8048333333333333","0.8048333333333333","0.8048333333333333","0.8046666666666666","0.8046666666666666","0.8046666666666666","0.805","0.805","0.805","0.8051666666666667","0.8051666666666667","0.8051666666666667","0.8073333333333333","0.8073333333333333","0.8073333333333333"
