"Step","leafy-sweep-5 - Test Accuracy","leafy-sweep-5 - Test Accuracy__MIN","leafy-sweep-5 - Test Accuracy__MAX","cosmic-sweep-4 - Test Accuracy","cosmic-sweep-4 - Test Accuracy__MIN","cosmic-sweep-4 - Test Accuracy__MAX","atomic-sweep-3 - Test Accuracy","atomic-sweep-3 - Test Accuracy__MIN","atomic-sweep-3 - Test Accuracy__MAX","curious-sweep-2 - Test Accuracy","curious-sweep-2 - Test Accuracy__MIN","curious-sweep-2 - Test Accuracy__MAX","genial-sweep-1 - Test Accuracy","genial-sweep-1 - Test Accuracy__MIN","genial-sweep-1 - Test Accuracy__MAX"
"0","0.1005","0.1005","0.1005","0.09533333333333334","0.09533333333333334","0.09533333333333334","0.08916666666666667","0.08916666666666667","0.08916666666666667","0.10666666666666667","0.10666666666666667","0.10666666666666667","0.10066666666666667","0.10066666666666667","0.10066666666666667"
"50","0.519","0.519","0.519","0.5291666666666667","0.5291666666666667","0.5291666666666667","0.5535","0.5535","0.5535","0.5351666666666667","0.5351666666666667","0.5351666666666667","0.5066666666666667","0.5066666666666667","0.5066666666666667"
"100","0.7383333333333333","0.7383333333333333","0.7383333333333333","0.7365","0.7365","0.7365","0.7535","0.7535","0.7535","0.7366666666666667","0.7366666666666667","0.7366666666666667","0.7313333333333333","0.7313333333333333","0.7313333333333333"
"150","0.7733333333333333","0.7733333333333333","0.7733333333333333","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.7756666666666666","0.7756666666666666","0.7756666666666666","0.778","0.778","0.778","0.7731666666666667","0.7731666666666667","0.7731666666666667"
"200","0.7835","0.7835","0.7835","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.7876666666666666","0.7876666666666666","0.7876666666666666","0.7848333333333334","0.7848333333333334","0.7848333333333334"
"250","0.787","0.787","0.787","0.7885","0.7885","0.7885","0.7865","0.7865","0.7865","0.7891666666666667","0.7891666666666667","0.7891666666666667","0.7863333333333333","0.7863333333333333","0.7863333333333333"
"300","0.7861666666666667","0.7861666666666667","0.7861666666666667","0.7871666666666667","0.7871666666666667","0.7871666666666667","0.7861666666666667","0.7861666666666667","0.7861666666666667","0.7888333333333334","0.7888333333333334","0.7888333333333334","0.7848333333333334","0.7848333333333334","0.7848333333333334"
"350","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.7885","0.7885","0.7885","0.787","0.787","0.787","0.7873333333333333","0.7873333333333333","0.7873333333333333","0.788","0.788","0.788"
"400","0.7851666666666667","0.7851666666666667","0.7851666666666667","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.7846666666666666","0.7846666666666666","0.7846666666666666","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.7878333333333334","0.7878333333333334","0.7878333333333334"
