"Step","jolly-sweep-5 - Test Accuracy","jolly-sweep-5 - Test Accuracy__MIN","jolly-sweep-5 - Test Accuracy__MAX","silver-sweep-4 - Test Accuracy","silver-sweep-4 - Test Accuracy__MIN","silver-sweep-4 - Test Accuracy__MAX","twilight-sweep-3 - Test Accuracy","twilight-sweep-3 - Test Accuracy__MIN","twilight-sweep-3 - Test Accuracy__MAX","blooming-sweep-2 - Test Accuracy","blooming-sweep-2 - Test Accuracy__MIN","blooming-sweep-2 - Test Accuracy__MAX","silvery-sweep-1 - Test Accuracy","silvery-sweep-1 - Test Accuracy__MIN","silvery-sweep-1 - Test Accuracy__MAX"
"0","0.0245","0.0245","0.0245","0.0185","0.0185","0.0185","0.016666666666666666","0.016666666666666666","0.016666666666666666","0.023166666666666665","0.023166666666666665","0.023166666666666665","0.025","0.025","0.025"
"50","0.4161666666666667","0.4161666666666667","0.4161666666666667","0.41783333333333333","0.41783333333333333","0.41783333333333333","0.43816666666666665","0.43816666666666665","0.43816666666666665","0.44083333333333335","0.44083333333333335","0.44083333333333335","0.4101666666666667","0.4101666666666667","0.4101666666666667"
"100","0.6985","0.6985","0.6985","0.7036666666666667","0.7036666666666667","0.7036666666666667","0.7205","0.7205","0.7205","0.706","0.706","0.706","0.7003333333333334","0.7003333333333334","0.7003333333333334"
"150","0.7503333333333333","0.7503333333333333","0.7503333333333333","0.758","0.758","0.758","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7556666666666667","0.7556666666666667","0.7556666666666667","0.7558333333333334","0.7558333333333334","0.7558333333333334"
"200","0.767","0.767","0.767","0.7725","0.7725","0.7725","0.7688333333333334","0.7688333333333334","0.7688333333333334","0.7743333333333333","0.7743333333333333","0.7743333333333333","0.7705","0.7705","0.7705"
"250","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.7761666666666667","0.774","0.774","0.774","0.7775","0.7775","0.7775","0.7706666666666667","0.7706666666666667","0.7706666666666667"
"300","0.7765","0.7765","0.7765","0.7776666666666666","0.7776666666666666","0.7776666666666666","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7736666666666666","0.7736666666666666","0.7736666666666666"
"350","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7775","0.7775","0.7775","0.778","0.778","0.778","0.7768333333333334","0.7768333333333334","0.7768333333333334","0.7756666666666666","0.7756666666666666","0.7756666666666666"
"400","0.7781666666666667","0.7781666666666667","0.7781666666666667","0.7791666666666667","0.7791666666666667","0.7791666666666667","0.7778333333333334","0.7778333333333334","0.7778333333333334","0.7773333333333333","0.7773333333333333","0.7773333333333333","0.7786666666666666","0.7786666666666666","0.7786666666666666"
