"Step","whole-sweep-20 - Global Test Accuracy","whole-sweep-20 - Global Test Accuracy__MIN","whole-sweep-20 - Global Test Accuracy__MAX","decent-sweep-19 - Global Test Accuracy","decent-sweep-19 - Global Test Accuracy__MIN","decent-sweep-19 - Global Test Accuracy__MAX","warm-sweep-18 - Global Test Accuracy","warm-sweep-18 - Global Test Accuracy__MIN","warm-sweep-18 - Global Test Accuracy__MAX","revived-sweep-17 - Global Test Accuracy","revived-sweep-17 - Global Test Accuracy__MIN","revived-sweep-17 - Global Test Accuracy__MAX","effortless-sweep-16 - Global Test Accuracy","effortless-sweep-16 - Global Test Accuracy__MIN","effortless-sweep-16 - Global Test Accuracy__MAX"
"0","0.009333333333333334","0.009333333333333334","0.009333333333333334","0.005166666666666667","0.005166666666666667","0.005166666666666667","0.006166666666666667","0.006166666666666667","0.006166666666666667","0.009166666666666667","0.009166666666666667","0.009166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667"
"50","0.3295","0.3295","0.3295","0.3283333333333333","0.3283333333333333","0.3283333333333333","0.3455","0.3455","0.3455","0.3526666666666667","0.3526666666666667","0.3526666666666667","0.3378333333333333","0.3378333333333333","0.3378333333333333"
"100","0.6706666666666666","0.6706666666666666","0.6706666666666666","0.6745","0.6745","0.6745","0.6925","0.6925","0.6925","0.6788333333333333","0.6788333333333333","0.6788333333333333","0.6675","0.6675","0.6675"
"150","0.7338333333333333","0.7338333333333333","0.7338333333333333","0.7446666666666667","0.7446666666666667","0.7446666666666667","0.7456666666666667","0.7456666666666667","0.7456666666666667","0.743","0.743","0.743","0.7388333333333333","0.7388333333333333","0.7388333333333333"
"200","0.7571666666666667","0.7571666666666667","0.7571666666666667","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7608333333333334","0.7601666666666667","0.7601666666666667","0.7601666666666667","0.7586666666666667","0.7586666666666667","0.7586666666666667"
"250","0.7651666666666667","0.7651666666666667","0.7651666666666667","0.769","0.769","0.769","0.769","0.769","0.769","0.7678333333333334","0.7678333333333334","0.7678333333333334","0.7631666666666667","0.7631666666666667","0.7631666666666667"
"300","0.7693333333333333","0.7693333333333333","0.7693333333333333","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7721666666666667","0.7721666666666667","0.7721666666666667","0.7691666666666667","0.7691666666666667","0.7691666666666667","0.7668333333333334","0.7668333333333334","0.7668333333333334"
"350","0.7725","0.7725","0.7725","0.7736666666666666","0.7736666666666666","0.7736666666666666","0.7721666666666667","0.7721666666666667","0.7721666666666667","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7701666666666667","0.7701666666666667","0.7701666666666667"
"400","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.773","0.773","0.773","0.7735","0.7735","0.7735","0.773","0.773","0.773"
