"Step","whole-sweep-20 - Test Accuracy","whole-sweep-20 - Test Accuracy__MIN","whole-sweep-20 - Test Accuracy__MAX","decent-sweep-19 - Test Accuracy","decent-sweep-19 - Test Accuracy__MIN","decent-sweep-19 - Test Accuracy__MAX","warm-sweep-18 - Test Accuracy","warm-sweep-18 - Test Accuracy__MIN","warm-sweep-18 - Test Accuracy__MAX","revived-sweep-17 - Test Accuracy","revived-sweep-17 - Test Accuracy__MIN","revived-sweep-17 - Test Accuracy__MAX","effortless-sweep-16 - Test Accuracy","effortless-sweep-16 - Test Accuracy__MIN","effortless-sweep-16 - Test Accuracy__MAX"
"0","0.4555","0.4555","0.4555","0.4543333333333333","0.4543333333333333","0.4543333333333333","0.459","0.459","0.459","0.4651666666666667","0.4651666666666667","0.4651666666666667","0.45316666666666666","0.45316666666666666","0.45316666666666666"
"50","0.5616666666666666","0.5616666666666666","0.5616666666666666","0.561","0.561","0.561","0.5685","0.5685","0.5685","0.5695","0.5695","0.5695","0.5606666666666666","0.5606666666666666","0.5606666666666666"
"100","0.677","0.677","0.677","0.6776666666666666","0.6776666666666666","0.6776666666666666","0.6866666666666666","0.6866666666666666","0.6866666666666666","0.6806666666666666","0.6806666666666666","0.6806666666666666","0.6765","0.6765","0.6765"
"150","0.7578333333333334","0.7578333333333334","0.7578333333333334","0.7585","0.7585","0.7585","0.767","0.767","0.767","0.761","0.761","0.761","0.7608333333333334","0.7608333333333334","0.7608333333333334"
"200","0.8035","0.8035","0.8035","0.799","0.799","0.799","0.8006666666666666","0.8006666666666666","0.8006666666666666","0.8021666666666667","0.8021666666666667","0.8021666666666667","0.7975","0.7975","0.7975"
"250","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8153333333333334","0.8153333333333334","0.8153333333333334","0.8138333333333333","0.8138333333333333","0.8138333333333333","0.816","0.816","0.816","0.8123333333333334","0.8123333333333334","0.8123333333333334"
"300","0.8188333333333333","0.8188333333333333","0.8188333333333333","0.8165","0.8165","0.8165","0.8158333333333333","0.8158333333333333","0.8158333333333333","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8176666666666667","0.8176666666666667","0.8176666666666667"
"350","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8155","0.8155","0.8155","0.8181666666666667","0.8181666666666667","0.8181666666666667","0.8178333333333333","0.8178333333333333","0.8178333333333333"
"400","0.817","0.817","0.817","0.813","0.813","0.813","0.8146666666666667","0.8146666666666667","0.8146666666666667","0.814","0.814","0.814","0.8163333333333334","0.8163333333333334","0.8163333333333334"
