"Step","misty-sweep-20 - Test Accuracy","misty-sweep-20 - Test Accuracy__MIN","misty-sweep-20 - Test Accuracy__MAX","jolly-sweep-19 - Test Accuracy","jolly-sweep-19 - Test Accuracy__MIN","jolly-sweep-19 - Test Accuracy__MAX","pleasant-sweep-18 - Test Accuracy","pleasant-sweep-18 - Test Accuracy__MIN","pleasant-sweep-18 - Test Accuracy__MAX","playful-sweep-17 - Test Accuracy","playful-sweep-17 - Test Accuracy__MIN","playful-sweep-17 - Test Accuracy__MAX","hardy-sweep-16 - Test Accuracy","hardy-sweep-16 - Test Accuracy__MIN","hardy-sweep-16 - Test Accuracy__MAX"
"0","0.4555","0.4555","0.4555","0.4543333333333333","0.4543333333333333","0.4543333333333333","0.459","0.459","0.459","0.4651666666666667","0.4651666666666667","0.4651666666666667","0.45316666666666666","0.45316666666666666","0.45316666666666666"
"50","0.5645","0.5645","0.5645","0.5621666666666667","0.5621666666666667","0.5621666666666667","0.5698333333333333","0.5698333333333333","0.5698333333333333","0.5701666666666667","0.5701666666666667","0.5701666666666667","0.564","0.564","0.564"
"100","0.6748333333333333","0.6748333333333333","0.6748333333333333","0.678","0.678","0.678","0.6851666666666667","0.6851666666666667","0.6851666666666667","0.6813333333333333","0.6813333333333333","0.6813333333333333","0.6791666666666667","0.6791666666666667","0.6791666666666667"
"150","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.76","0.76","0.76","0.7661666666666667","0.7661666666666667","0.7661666666666667","0.761","0.761","0.761","0.7605","0.7605","0.7605"
"200","0.8026666666666666","0.8026666666666666","0.8026666666666666","0.7988333333333333","0.7988333333333333","0.7988333333333333","0.8013333333333333","0.8013333333333333","0.8013333333333333","0.8031666666666667","0.8031666666666667","0.8031666666666667","0.7975","0.7975","0.7975"
"250","0.819","0.819","0.819","0.8155","0.8155","0.8155","0.8148333333333333","0.8148333333333333","0.8148333333333333","0.8163333333333334","0.8163333333333334","0.8163333333333334","0.8121666666666667","0.8121666666666667","0.8121666666666667"
"300","0.8195","0.8195","0.8195","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.8173333333333334","0.8173333333333334","0.8173333333333334","0.8193333333333334","0.8193333333333334","0.8193333333333334","0.817","0.817","0.817"
"350","0.8191666666666667","0.8191666666666667","0.8191666666666667","0.817","0.817","0.817","0.8161666666666667","0.8161666666666667","0.8161666666666667","0.8175","0.8175","0.8175","0.8165","0.8165","0.8165"
"400","0.8178333333333333","0.8178333333333333","0.8178333333333333","0.814","0.814","0.814","0.814","0.814","0.814","0.8143333333333334","0.8143333333333334","0.8143333333333334","0.8178333333333333","0.8178333333333333","0.8178333333333333"
