"Step","legendary-sweep-20 - Global Test Accuracy","legendary-sweep-20 - Global Test Accuracy__MIN","legendary-sweep-20 - Global Test Accuracy__MAX","logical-sweep-19 - Global Test Accuracy","logical-sweep-19 - Global Test Accuracy__MIN","logical-sweep-19 - Global Test Accuracy__MAX","crisp-sweep-18 - Global Test Accuracy","crisp-sweep-18 - Global Test Accuracy__MIN","crisp-sweep-18 - Global Test Accuracy__MAX","decent-sweep-17 - Global Test Accuracy","decent-sweep-17 - Global Test Accuracy__MIN","decent-sweep-17 - Global Test Accuracy__MAX","pleasant-sweep-16 - Global Test Accuracy","pleasant-sweep-16 - Global Test Accuracy__MIN","pleasant-sweep-16 - Global Test Accuracy__MAX"
"0","0.009333333333333334","0.009333333333333334","0.009333333333333334","0.005166666666666667","0.005166666666666667","0.005166666666666667","0.006166666666666667","0.006166666666666667","0.006166666666666667","0.009166666666666667","0.009166666666666667","0.009166666666666667","0.011166666666666667","0.011166666666666667","0.011166666666666667"
"50","0.33316666666666667","0.33316666666666667","0.33316666666666667","0.3323333333333333","0.3323333333333333","0.3323333333333333","0.3476666666666667","0.3476666666666667","0.3476666666666667","0.3561666666666667","0.3561666666666667","0.3561666666666667","0.3421666666666667","0.3421666666666667","0.3421666666666667"
"100","0.6736666666666666","0.6736666666666666","0.6736666666666666","0.6743333333333333","0.6743333333333333","0.6743333333333333","0.6933333333333334","0.6933333333333334","0.6933333333333334","0.677","0.677","0.677","0.6686666666666666","0.6686666666666666","0.6686666666666666"
"150","0.7345","0.7345","0.7345","0.745","0.745","0.745","0.7451666666666666","0.7451666666666666","0.7451666666666666","0.7415","0.7415","0.7415","0.7385","0.7385","0.7385"
"200","0.7571666666666667","0.7571666666666667","0.7571666666666667","0.7605","0.7605","0.7605","0.7606666666666667","0.7606666666666667","0.7606666666666667","0.7595","0.7595","0.7595","0.7588333333333334","0.7588333333333334","0.7588333333333334"
"250","0.7648333333333334","0.7648333333333334","0.7648333333333334","0.7691666666666667","0.7691666666666667","0.7691666666666667","0.7688333333333334","0.7688333333333334","0.7688333333333334","0.7681666666666667","0.7681666666666667","0.7681666666666667","0.7623333333333333","0.7623333333333333","0.7623333333333333"
"300","0.7696666666666667","0.7696666666666667","0.7696666666666667","0.7738333333333334","0.7738333333333334","0.7738333333333334","0.7728333333333334","0.7728333333333334","0.7728333333333334","0.7688333333333334","0.7688333333333334","0.7688333333333334","0.7675","0.7675","0.7675"
"350","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7741666666666667","0.7741666666666667","0.7741666666666667","0.7718333333333334","0.7718333333333334","0.7718333333333334","0.7708333333333334","0.7708333333333334","0.7708333333333334","0.7701666666666667","0.7701666666666667","0.7701666666666667"
"400","0.7746666666666666","0.7746666666666666","0.7746666666666666","0.7751666666666667","0.7751666666666667","0.7751666666666667","0.7735","0.7735","0.7735","0.7731666666666667","0.7731666666666667","0.7731666666666667","0.7726666666666666","0.7726666666666666","0.7726666666666666"
