"Step","rich-sweep-5 - Test Accuracy","rich-sweep-5 - Test Accuracy__MIN","rich-sweep-5 - Test Accuracy__MAX","legendary-sweep-4 - Test Accuracy","legendary-sweep-4 - Test Accuracy__MIN","legendary-sweep-4 - Test Accuracy__MAX","leafy-sweep-3 - Test Accuracy","leafy-sweep-3 - Test Accuracy__MIN","leafy-sweep-3 - Test Accuracy__MAX","floral-sweep-2 - Test Accuracy","floral-sweep-2 - Test Accuracy__MIN","floral-sweep-2 - Test Accuracy__MAX","clear-sweep-1 - Test Accuracy","clear-sweep-1 - Test Accuracy__MIN","clear-sweep-1 - Test Accuracy__MAX"
"0","0.1005","0.1005","0.1005","0.09533333333333334","0.09533333333333334","0.09533333333333334","0.08916666666666667","0.08916666666666667","0.08916666666666667","0.10666666666666667","0.10666666666666667","0.10666666666666667","0.10066666666666667","0.10066666666666667","0.10066666666666667"
"50","0.5171666666666667","0.5171666666666667","0.5171666666666667","0.5278333333333334","0.5278333333333334","0.5278333333333334","0.5503333333333333","0.5503333333333333","0.5503333333333333","0.5381666666666667","0.5381666666666667","0.5381666666666667","0.5043333333333333","0.5043333333333333","0.5043333333333333"
"100","0.7371666666666666","0.7371666666666666","0.7371666666666666","0.736","0.736","0.736","0.7526666666666667","0.7526666666666667","0.7526666666666667","0.7368333333333333","0.7368333333333333","0.7368333333333333","0.7325","0.7325","0.7325"
"150","0.7743333333333333","0.7743333333333333","0.7743333333333333","0.7748333333333334","0.7748333333333334","0.7748333333333334","0.7771666666666667","0.7771666666666667","0.7771666666666667","0.7775","0.7775","0.7775","0.7768333333333334","0.7768333333333334","0.7768333333333334"
"200","0.782","0.782","0.782","0.7881666666666667","0.7881666666666667","0.7881666666666667","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.79","0.79","0.79","0.7855","0.7855","0.7855"
"250","0.7873333333333333","0.7873333333333333","0.7873333333333333","0.789","0.789","0.789","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7891666666666667","0.7891666666666667","0.7891666666666667","0.7845","0.7845","0.7845"
"300","0.7866666666666666","0.7866666666666666","0.7866666666666666","0.7901666666666667","0.7901666666666667","0.7901666666666667","0.786","0.786","0.786","0.7905","0.7905","0.7905","0.7861666666666667","0.7861666666666667","0.7861666666666667"
"350","0.7873333333333333","0.7873333333333333","0.7873333333333333","0.7871666666666667","0.7871666666666667","0.7871666666666667","0.7856666666666666","0.7856666666666666","0.7856666666666666","0.788","0.788","0.788","0.787","0.787","0.787"
"400","0.7848333333333334","0.7848333333333334","0.7848333333333334","0.786","0.786","0.786","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7853333333333333","0.7863333333333333","0.7863333333333333","0.7863333333333333"
