"Step","sandy-sweep-11 - Test Accuracy","sandy-sweep-11 - Test Accuracy__MIN","sandy-sweep-11 - Test Accuracy__MAX","wandering-sweep-10 - Test Accuracy","wandering-sweep-10 - Test Accuracy__MIN","wandering-sweep-10 - Test Accuracy__MAX","deft-sweep-9 - Test Accuracy","deft-sweep-9 - Test Accuracy__MIN","deft-sweep-9 - Test Accuracy__MAX","rose-sweep-8 - Test Accuracy","rose-sweep-8 - Test Accuracy__MIN","rose-sweep-8 - Test Accuracy__MAX","zany-sweep-7 - Test Accuracy","zany-sweep-7 - Test Accuracy__MIN","zany-sweep-7 - Test Accuracy__MAX","splendid-sweep-6 - Test Accuracy","splendid-sweep-6 - Test Accuracy__MIN","splendid-sweep-6 - Test Accuracy__MAX","bright-sweep-5 - Test Accuracy","bright-sweep-5 - Test Accuracy__MIN","bright-sweep-5 - Test Accuracy__MAX","ancient-sweep-4 - Test Accuracy","ancient-sweep-4 - Test Accuracy__MIN","ancient-sweep-4 - Test Accuracy__MAX","devoted-sweep-3 - Test Accuracy","devoted-sweep-3 - Test Accuracy__MIN","devoted-sweep-3 - Test Accuracy__MAX","sparkling-sweep-2 - Test Accuracy","sparkling-sweep-2 - Test Accuracy__MIN","sparkling-sweep-2 - Test Accuracy__MAX","peachy-sweep-1 - Test Accuracy","peachy-sweep-1 - Test Accuracy__MIN","peachy-sweep-1 - Test Accuracy__MAX"
"0","0.38525198562783664","0.38525198562783664","0.38525198562783664","0.38528980711043875","0.38528980711043875","0.38528980711043875","0.38367057488653555","0.38367057488653555","0.38367057488653555","0.38589967851739787","0.38589967851739787","0.38589967851739787","0.38422371406959155","0.38422371406959155","0.38422371406959155","0.3853229009077156","0.3853229009077156","0.3853229009077156","0.3838880484114977","0.3838880484114977","0.3838880484114977","0.3856231089258699","0.3856231089258699","0.3856231089258699","0.3861502458396369","0.3861502458396369","0.3861502458396369","0.38349328668683813","0.38349328668683813","0.38349328668683813","0.3860675113464448","0.3860675113464448","0.3860675113464448"
"50","0.5751678328290469","0.5751678328290469","0.5751678328290469","0.573019099848714","0.573019099848714","0.573019099848714","0.5731491111951589","0.5731491111951589","0.5731491111951589","0.5753167549167927","0.5753167549167927","0.5753167549167927","0.5729009077155824","0.5729009077155824","0.5729009077155824","0.5753947617246596","0.5753947617246596","0.5753947617246596","0.574581599848714","0.574581599848714","0.574581599848714","0.5720664712556732","0.5720664712556732","0.5720664712556732","0.5723123108925869","0.5723123108925869","0.5723123108925869","0.5736526096822996","0.5736526096822996","0.5736526096822996","0.573116017397882","0.573116017397882","0.573116017397882"
"100","0.5783093797276854","0.5783093797276854","0.5783093797276854","0.5782975605143722","0.5782975605143722","0.5782975605143722","0.5768248865355522","0.5768248865355522","0.5768248865355522","0.5781155446293494","0.5781155446293494","0.5781155446293494","0.5752718419062027","0.5752718419062027","0.5752718419062027","0.5779075264750378","0.5779075264750378","0.5779075264750378","0.5779831694402421","0.5779831694402421","0.5779831694402421","0.5778909795763993","0.5778909795763993","0.5778909795763993","0.5781037254160363","0.5781037254160363","0.5781037254160363","0.5783472012102875","0.5783472012102875","0.5783472012102875","0.5786639561270802","0.5786639561270802","0.5786639561270802"
"150","0.5796473146747353","0.5796473146747353","0.5796473146747353","0.5799215204236006","0.5799215204236006","0.5799215204236006","0.5779311649016642","0.5779311649016642","0.5779311649016642","0.5799617057488654","0.5799617057488654","0.5799617057488654","0.5782100983358548","0.5782100983358548","0.5782100983358548","0.5794771180030257","0.5794771180030257","0.5794771180030257","0.5797584152798789","0.5797584152798789","0.5797584152798789","0.5799758888048412","0.5799758888048412","0.5799758888048412","0.5799569780635401","0.5799569780635401","0.5799569780635401","0.5796189485627836","0.5796189485627836","0.5796189485627836","0.57977732602118","0.57977732602118","0.57977732602118"
"200","0.5797276853252648","0.5797276853252648","0.5797276853252648","0.5797631429652043","0.5797631429652043","0.5797631429652043","0.5802051815431165","0.5802051815431165","0.5802051815431165","0.5795102118003026","0.5795102118003026","0.5795102118003026","0.578221917549168","0.578221917549168","0.578221917549168","0.5797300491679274","0.5797300491679274","0.5797300491679274","0.5798364220877459","0.5798364220877459","0.5798364220877459","0.5804226550680787","0.5804226550680787","0.5804226550680787","0.5794747541603631","0.5794747541603631","0.5794747541603631","0.5795196671709532","0.5795196671709532","0.5795196671709532","0.580285552193646","0.580285552193646","0.580285552193646"
"250","0.5810561649016641","0.5810561649016641","0.5810561649016641","0.5806921331316187","0.5806921331316187","0.5806921331316187","0.5810490733736763","0.5810490733736763","0.5810490733736763","0.5808552382753404","0.5808552382753404","0.5808552382753404","0.5780493570347958","0.5780493570347958","0.5780493570347958","0.5800255295007565","0.5800255295007565","0.5800255295007565","0.580909606656581","0.580909606656581","0.580909606656581","0.5805999432677761","0.5805999432677761","0.5805999432677761","0.5783968419062028","0.5783968419062028","0.5783968419062028","0.5782621028744327","0.5782621028744327","0.5782621028744327","0.5808339636913767","0.5808339636913767","0.5808339636913767"
"300","0.580999432677761","0.580999432677761","0.580999432677761","0.5790989031770045","0.5790989031770045","0.5790989031770045","0.5808623298033283","0.5808623298033283","0.5808623298033283","0.5810727118003026","0.5810727118003026","0.5810727118003026","0.5775482223903177","0.5775482223903177","0.5775482223903177","0.5810372541603631","0.5810372541603631","0.5810372541603631","0.5811436270801815","0.5811436270801815","0.5811436270801815","0.5810750756429652","0.5810750756429652","0.5810750756429652","0.577803517397882","0.577803517397882","0.577803517397882","0.5811294440242057","0.5811294440242057","0.5811294440242057","0.5810538010590015","0.5810538010590015","0.5810538010590015"
"350","0.5811932677760968","0.5811932677760968","0.5811932677760968","0.5788554273827534","0.5788554273827534","0.5788554273827534","0.5807843229954615","0.5807843229954615","0.5807843229954615","0.5812263615733737","0.5812263615733737","0.5812263615733737","0.578775056732224","0.578775056732224","0.578775056732224","0.580715771558245","0.580715771558245","0.580715771558245","0.5810372541603631","0.5810372541603631","0.5810372541603631","0.5812476361573373","0.5812476361573373","0.5812476361573373","0.5807299546142208","0.5807299546142208","0.5807299546142208","0.5792738275340393","0.5792738275340393","0.5792738275340393","0.5805148449319213","0.5805148449319213","0.5805148449319213"
"400","0.5814201966717095","0.5814201966717095","0.5814201966717095","0.58111526096823","0.58111526096823","0.58111526096823","0.5783282904689864","0.5783282904689864","0.5783282904689864","0.5812712745839637","0.5812712745839637","0.5812712745839637","0.578420480332829","0.578420480332829","0.578420480332829","0.581179084720121","0.581179084720121","0.581179084720121","0.5814958396369138","0.5814958396369138","0.5814958396369138","0.581276002269289","0.581276002269289","0.581276002269289","0.5812901853252648","0.5812901853252648","0.5812901853252648","0.5787703290468986","0.5787703290468986","0.5787703290468986","0.58102543494705","0.58102543494705","0.58102543494705"
