"Step","daily-sweep-11 - Test Accuracy","daily-sweep-11 - Test Accuracy__MIN","daily-sweep-11 - Test Accuracy__MAX","visionary-sweep-10 - Test Accuracy","visionary-sweep-10 - Test Accuracy__MIN","visionary-sweep-10 - Test Accuracy__MAX","rural-sweep-9 - Test Accuracy","rural-sweep-9 - Test Accuracy__MIN","rural-sweep-9 - Test Accuracy__MAX","pretty-sweep-8 - Test Accuracy","pretty-sweep-8 - Test Accuracy__MIN","pretty-sweep-8 - Test Accuracy__MAX","devout-sweep-7 - Test Accuracy","devout-sweep-7 - Test Accuracy__MIN","devout-sweep-7 - Test Accuracy__MAX","polar-sweep-6 - Test Accuracy","polar-sweep-6 - Test Accuracy__MIN","polar-sweep-6 - Test Accuracy__MAX","easy-sweep-5 - Test Accuracy","easy-sweep-5 - Test Accuracy__MIN","easy-sweep-5 - Test Accuracy__MAX","clear-sweep-4 - Test Accuracy","clear-sweep-4 - Test Accuracy__MIN","clear-sweep-4 - Test Accuracy__MAX","fanciful-sweep-3 - Test Accuracy","fanciful-sweep-3 - Test Accuracy__MIN","fanciful-sweep-3 - Test Accuracy__MAX","proud-sweep-2 - Test Accuracy","proud-sweep-2 - Test Accuracy__MIN","proud-sweep-2 - Test Accuracy__MAX","fiery-sweep-1 - Test Accuracy","fiery-sweep-1 - Test Accuracy__MIN","fiery-sweep-1 - Test Accuracy__MAX"
"0","0.09727685325264751","0.09727685325264751","0.09727685325264751","0.09497919818456883","0.09497919818456883","0.09497919818456883","0.09236715204236005","0.09236715204236005","0.09236715204236005","0.09142161497730711","0.09142161497730711","0.09142161497730711","0.0966788010590015","0.0966788010590015","0.0966788010590015","0.10311554462934946","0.10311554462934946","0.10311554462934946","0.1001087367624811","0.1001087367624811","0.1001087367624811","0.10172087745839636","0.10172087745839636","0.10172087745839636","0.10576541225416036","0.10576541225416036","0.10576541225416036","0.10232365733736762","0.10232365733736762","0.10232365733736762","0.09826730332829046","0.09826730332829046","0.09826730332829046"
"50","0.5377340204236006","0.5377340204236006","0.5377340204236006","0.534445915279879","0.534445915279879","0.534445915279879","0.537223430408472","0.537223430408472","0.537223430408472","0.5312996406959153","0.5312996406959153","0.5312996406959153","0.5341882564296521","0.5341882564296521","0.5341882564296521","0.5426626323751891","0.5426626323751891","0.5426626323751891","0.5299900718608169","0.5299900718608169","0.5299900718608169","0.5440052950075643","0.5440052950075643","0.5440052950075643","0.5277207829046898","0.5277207829046898","0.5277207829046898","0.5406722768532527","0.5406722768532527","0.5406722768532527","0.5319213313161876","0.5319213313161876","0.5319213313161876"
"100","0.5497588880484114","0.5497588880484114","0.5497588880484114","0.5620106845688351","0.5620106845688351","0.5620106845688351","0.5644099848714069","0.5644099848714069","0.5644099848714069","0.5440785741301059","0.5440785741301059","0.5440785741301059","0.5506784228441755","0.5506784228441755","0.5506784228441755","0.5663412443267776","0.5663412443267776","0.5663412443267776","0.5729434568835098","0.5729434568835098","0.5729434568835098","0.5728418116490166","0.5728418116490166","0.5728418116490166","0.569740450075643","0.569740450075643","0.569740450075643","0.5383722579425113","0.5383722579425113","0.5383722579425113","0.5654689863842662","0.5654689863842662","0.5654689863842662"
"150","0.5642185136157337","0.5642185136157337","0.5642185136157337","0.5710476550680786","0.5710476550680786","0.5710476550680786","0.5763024773071105","0.5763024773071105","0.5763024773071105","0.5556141263237518","0.5556141263237518","0.5556141263237518","0.5697546331316188","0.5697546331316188","0.5697546331316188","0.5538270612708018","0.5538270612708018","0.5538270612708018","0.570704897881997","0.570704897881997","0.570704897881997","0.5702746785173979","0.5702746785173979","0.5702746785173979","0.57642776096823","0.57642776096823","0.57642776096823","0.561651380484115","0.561651380484115","0.561651380484115","0.5627387481089259","0.5627387481089259","0.5627387481089259"
"200","0.5708892776096823","0.5708892776096823","0.5708892776096823","0.5582001701966717","0.5582001701966717","0.5582001701966717","0.5802642776096822","0.5802642776096822","0.5802642776096822","0.5422016830559758","0.5422016830559758","0.5422016830559758","0.5746005105900152","0.5746005105900152","0.5746005105900152","0.5744799546142209","0.5744799546142209","0.5744799546142209","0.5612708018154312","0.5612708018154312","0.5612708018154312","0.5479269099848714","0.5479269099848714","0.5479269099848714","0.5653578857791225","0.5653578857791225","0.5653578857791225","0.5619917738275341","0.5619917738275341","0.5619917738275341","0.5777751512859304","0.5777751512859304","0.5777751512859304"
"250","0.5719861006051438","0.5719861006051438","0.5719861006051438","0.5680999432677761","0.5680999432677761","0.5680999432677761","0.5756760590015129","0.5756760590015129","0.5756760590015129","0.5532100983358548","0.5532100983358548","0.5532100983358548","0.570607980332829","0.570607980332829","0.570607980332829","0.5712934947049925","0.5712934947049925","0.5712934947049925","0.5685277987897126","0.5685277987897126","0.5685277987897126","0.5731467473524963","0.5731467473524963","0.5731467473524963","0.5721113842662633","0.5721113842662633","0.5721113842662633","0.5417974659606657","0.5417974659606657","0.5417974659606657","0.5700642965204236","0.5700642965204236","0.5700642965204236"
"300","0.5753167549167927","0.5753167549167927","0.5753167549167927","0.5713762291981845","0.5713762291981845","0.5713762291981845","0.5687169062027232","0.5687169062027232","0.5687169062027232","0.5453385022692889","0.5453385022692889","0.5453385022692889","0.5721208396369137","0.5721208396369137","0.5721208396369137","0.5640057677760968","0.5640057677760968","0.5640057677760968","0.5694142397881997","0.5694142397881997","0.5694142397881997","0.5629065809379727","0.5629065809379727","0.5629065809379727","0.5689651096822995","0.5689651096822995","0.5689651096822995","0.5478701777609682","0.5478701777609682","0.5478701777609682","0.5641830559757942","0.5641830559757942","0.5641830559757942"
"350","0.5777136913767019","0.5777136913767019","0.5777136913767019","0.5606018343419062","0.5606018343419062","0.5606018343419062","0.5645210854765507","0.5645210854765507","0.5645210854765507","0.5463407715582451","0.5463407715582451","0.5463407715582451","0.5749149016641453","0.5749149016641453","0.5749149016641453","0.5713005862329803","0.5713005862329803","0.5713005862329803","0.574562689107413","0.574562689107413","0.574562689107413","0.5779760779122541","0.5779760779122541","0.5779760779122541","0.5701541225416036","0.5701541225416036","0.5701541225416036","0.5617293872919819","0.5617293872919819","0.5617293872919819","0.5749692700453858","0.5749692700453858","0.5749692700453858"
"400","0.5684757942511346","0.5684757942511346","0.5684757942511346","0.559805219364599","0.559805219364599","0.559805219364599","0.5753640317700454","0.5753640317700454","0.5753640317700454","0.548643154311649","0.548643154311649","0.548643154311649","0.5662301437216339","0.5662301437216339","0.5662301437216339","0.5509833585476551","0.5509833585476551","0.5509833585476551","0.5732673033282905","0.5732673033282905","0.5732673033282905","0.5655257186081695","0.5655257186081695","0.5655257186081695","0.5688800113464448","0.5688800113464448","0.5688800113464448","0.5770163577912254","0.5770163577912254","0.5770163577912254","0.5767586989409985","0.5767586989409985","0.5767586989409985"
