"Step","valiant-sweep-11 - Test Accuracy","valiant-sweep-11 - Test Accuracy__MIN","valiant-sweep-11 - Test Accuracy__MAX","gallant-sweep-10 - Test Accuracy","gallant-sweep-10 - Test Accuracy__MIN","gallant-sweep-10 - Test Accuracy__MAX","helpful-sweep-9 - Test Accuracy","helpful-sweep-9 - Test Accuracy__MIN","helpful-sweep-9 - Test Accuracy__MAX","zany-sweep-8 - Test Accuracy","zany-sweep-8 - Test Accuracy__MIN","zany-sweep-8 - Test Accuracy__MAX","ruby-sweep-7 - Test Accuracy","ruby-sweep-7 - Test Accuracy__MIN","ruby-sweep-7 - Test Accuracy__MAX","dulcet-sweep-6 - Test Accuracy","dulcet-sweep-6 - Test Accuracy__MIN","dulcet-sweep-6 - Test Accuracy__MAX","fresh-sweep-5 - Test Accuracy","fresh-sweep-5 - Test Accuracy__MIN","fresh-sweep-5 - Test Accuracy__MAX","bumbling-sweep-4 - Test Accuracy","bumbling-sweep-4 - Test Accuracy__MIN","bumbling-sweep-4 - Test Accuracy__MAX","jolly-sweep-3 - Test Accuracy","jolly-sweep-3 - Test Accuracy__MIN","jolly-sweep-3 - Test Accuracy__MAX","restful-sweep-2 - Test Accuracy","restful-sweep-2 - Test Accuracy__MIN","restful-sweep-2 - Test Accuracy__MAX","youthful-sweep-1 - Test Accuracy","youthful-sweep-1 - Test Accuracy__MIN","youthful-sweep-1 - Test Accuracy__MAX"
"0","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416","0.000453857791225416"
"50","0.5487613464447806","0.5487613464447806","0.5487613464447806","0.548822806354009","0.548822806354009","0.548822806354009","0.5490686459909229","0.5490686459909229","0.5490686459909229","0.548732980332829","0.548732980332829","0.548732980332829","0.5487613464447806","0.5487613464447806","0.5487613464447806","0.5488369894099848","0.5488369894099848","0.5488369894099848","0.5488440809379728","0.5488440809379728","0.5488440809379728","0.5486526096822996","0.5486526096822996","0.5486526096822996","0.5488960854765507","0.5488960854765507","0.5488960854765507","0.5489220877458396","0.5489220877458396","0.5489220877458396","0.5489220877458396","0.5489220877458396","0.5489220877458396"
"100","0.5608996785173979","0.5608996785173979","0.5608996785173979","0.5609233169440242","0.5609233169440242","0.5609233169440242","0.5606751134644478","0.5606751134644478","0.5606751134644478","0.5608098524962178","0.5608098524962178","0.5608098524962178","0.5606940242057489","0.5606940242057489","0.5606940242057489","0.5608571293494705","0.5608571293494705","0.5608571293494705","0.5608547655068079","0.5608547655068079","0.5608547655068079","0.5606562027231468","0.5606562027231468","0.5606562027231468","0.5606798411497731","0.5606798411497731","0.5606798411497731","0.5607602118003026","0.5607602118003026","0.5607602118003026","0.560750756429652","0.560750756429652","0.560750756429652"
"150","0.56575973903177","0.56575973903177","0.56575973903177","0.5655588124054463","0.5655588124054463","0.5655588124054463","0.5656131807866869","0.5656131807866869","0.5656131807866869","0.5658235627836611","0.5658235627836611","0.5658235627836611","0.5656084531013615","0.5656084531013615","0.5656084531013615","0.5655280824508321","0.5655280824508321","0.5655280824508321","0.5655446293494705","0.5655446293494705","0.5655446293494705","0.5657833774583964","0.5657833774583964","0.5657833774583964","0.5656486384266263","0.5656486384266263","0.5656486384266263","0.5656888237518911","0.5656888237518911","0.5656888237518911","0.5656368192133132","0.5656368192133132","0.5656368192133132"
"200","0.5690242057488654","0.5690242057488654","0.5690242057488654","0.5692085854765507","0.5692085854765507","0.5692085854765507","0.5688350983358548","0.5688350983358548","0.5688350983358548","0.5694402420574887","0.5694402420574887","0.5694402420574887","0.5689249243570348","0.5689249243570348","0.5689249243570348","0.569759360816944","0.569759360816944","0.569759360816944","0.5693835098335854","0.5693835098335854","0.5693835098335854","0.5692014939485628","0.5692014939485628","0.5692014939485628","0.5691542170953101","0.5691542170953101","0.5691542170953101","0.5693125945537065","0.5693125945537065","0.5693125945537065","0.5692274962178517","0.5692274962178517","0.5692274962178517"
"250","0.5710311081694402","0.5710311081694402","0.5710311081694402","0.5710642019667171","0.5710642019667171","0.5710642019667171","0.571250945537065","0.571250945537065","0.571250945537065","0.5711989409984871","0.5711989409984871","0.5711989409984871","0.5710783850226929","0.5710783850226929","0.5710783850226929","0.5710807488653555","0.5710807488653555","0.5710807488653555","0.5713336800302572","0.5713336800302572","0.5713336800302572","0.5711823940998487","0.5711823940998487","0.5711823940998487","0.5712485816944024","0.5712485816944024","0.5712485816944024","0.5712225794251135","0.5712225794251135","0.5712225794251135","0.5710476550680786","0.5710476550680786","0.5710476550680786"
"300","0.5730332829046899","0.5730332829046899","0.5730332829046899","0.5728536308623298","0.5728536308623298","0.5728536308623298","0.5730451021180031","0.5730451021180031","0.5730451021180031","0.5731018343419062","0.5731018343419062","0.5731018343419062","0.5728890885022693","0.5728890885022693","0.5728890885022693","0.5728867246596067","0.5728867246596067","0.5728867246596067","0.5728654500756429","0.5728654500756429","0.5728654500756429","0.5731916603630862","0.5731916603630862","0.5731916603630862","0.5729647314674735","0.5729647314674735","0.5729647314674735","0.5729978252647504","0.5729978252647504","0.5729978252647504","0.5729576399394857","0.5729576399394857","0.5729576399394857"
"350","0.5747872541603631","0.5747872541603631","0.5747872541603631","0.5747872541603631","0.5747872541603631","0.5747872541603631","0.5749503593040847","0.5749503593040847","0.5749503593040847","0.5747116111951589","0.5747116111951589","0.5747116111951589","0.5748558055975794","0.5748558055975794","0.5748558055975794","0.5748156202723147","0.5748156202723147","0.5748156202723147","0.574723430408472","0.574723430408472","0.574723430408472","0.5747896180030257","0.5747896180030257","0.5747896180030257","0.5749172655068079","0.5749172655068079","0.5749172655068079","0.574884171709531","0.574884171709531","0.574884171709531","0.5748179841149773","0.5748179841149773","0.5748179841149773"
"400","0.5759597201210287","0.5759597201210287","0.5759597201210287","0.5759880862329804","0.5759880862329804","0.5759880862329804","0.5759739031770046","0.5759739031770046","0.5759739031770046","0.5763899394856279","0.5763899394856279","0.5763899394856279","0.5759313540090771","0.5759313540090771","0.5759313540090771","0.5760069969742814","0.5760069969742814","0.5760069969742814","0.5760684568835098","0.5760684568835098","0.5760684568835098","0.5760944591527988","0.5760944591527988","0.5760944591527988","0.5761937405446294","0.5761937405446294","0.5761937405446294","0.5761370083207261","0.5761370083207261","0.5761370083207261","0.5758604387291982","0.5758604387291982","0.5758604387291982"
