"Step","vocal-sweep-11 - Average Weighted Test Accuracy","vocal-sweep-11 - Average Weighted Test Accuracy__MIN","vocal-sweep-11 - Average Weighted Test Accuracy__MAX","summer-sweep-10 - Average Weighted Test Accuracy","summer-sweep-10 - Average Weighted Test Accuracy__MIN","summer-sweep-10 - Average Weighted Test Accuracy__MAX","major-sweep-9 - Average Weighted Test Accuracy","major-sweep-9 - Average Weighted Test Accuracy__MIN","major-sweep-9 - Average Weighted Test Accuracy__MAX","solar-sweep-8 - Average Weighted Test Accuracy","solar-sweep-8 - Average Weighted Test Accuracy__MIN","solar-sweep-8 - Average Weighted Test Accuracy__MAX","usual-sweep-7 - Average Weighted Test Accuracy","usual-sweep-7 - Average Weighted Test Accuracy__MIN","usual-sweep-7 - Average Weighted Test Accuracy__MAX","sandy-sweep-6 - Average Weighted Test Accuracy","sandy-sweep-6 - Average Weighted Test Accuracy__MIN","sandy-sweep-6 - Average Weighted Test Accuracy__MAX","autumn-sweep-5 - Average Weighted Test Accuracy","autumn-sweep-5 - Average Weighted Test Accuracy__MIN","autumn-sweep-5 - Average Weighted Test Accuracy__MAX","lively-sweep-4 - Average Weighted Test Accuracy","lively-sweep-4 - Average Weighted Test Accuracy__MIN","lively-sweep-4 - Average Weighted Test Accuracy__MAX","lunar-sweep-3 - Average Weighted Test Accuracy","lunar-sweep-3 - Average Weighted Test Accuracy__MIN","lunar-sweep-3 - Average Weighted Test Accuracy__MAX","treasured-sweep-2 - Average Weighted Test Accuracy","treasured-sweep-2 - Average Weighted Test Accuracy__MIN","treasured-sweep-2 - Average Weighted Test Accuracy__MAX","sweepy-sweep-1 - Average Weighted Test Accuracy","sweepy-sweep-1 - Average Weighted Test Accuracy__MIN","sweepy-sweep-1 - Average Weighted Test Accuracy__MAX"
"10","0.42007375189107415","0.42007375189107415","0.42007375189107415","0.4200713880484115","0.4200713880484115","0.4200713880484115","0.4193645990922844","0.4193645990922844","0.4193645990922844","0.4194000567322239","0.4194000567322239","0.4194000567322239","0.4205607034795764","0.4205607034795764","0.4205607034795764","0.4203054084720121","0.4203054084720121","0.4203054084720121","0.42134313540090773","0.42134313540090773","0.42134313540090773","0.42027231467473525","0.42027231467473525","0.42027231467473525","0.42110675113464446","0.42110675113464446","0.42110675113464446","0.4205819780635401","0.4205819780635401","0.4205819780635401","0.4213053139183056","0.4213053139183056","0.4213053139183056"
"11","0.4236857034795764","0.4236857034795764","0.4236857034795764","0.4236833396369138","0.4236833396369138","0.4236833396369138","0.42287017776096825","0.42287017776096825","0.42287017776096825","0.423366584720121","0.423366584720121","0.423366584720121","0.4234162254160363","0.4234162254160363","0.4234162254160363","0.4240615544629349","0.4240615544629349","0.4240615544629349","0.42361478819969745","0.42361478819969745","0.42361478819969745","0.4232271180030257","0.4232271180030257","0.4232271180030257","0.42358642208774583","0.42358642208774583","0.42358642208774583","0.4243877647503782","0.4243877647503782","0.4243877647503782","0.4238109871406959","0.4238109871406959","0.4238109871406959"
"12","0.4263923033282905","0.4263923033282905","0.4263923033282905","0.4268508888048411","0.4268508888048411","0.4268508888048411","0.4264963124054463","0.4264963124054463","0.4264963124054463","0.4267090582450832","0.4267090582450832","0.4267090582450832","0.42785079425113465","0.42785079425113465","0.42785079425113465","0.4265412254160363","0.4265412254160363","0.4265412254160363","0.4273094742813918","0.4273094742813918","0.4273094742813918","0.42645376323751893","0.42645376323751893","0.42645376323751893","0.42780351739788197","0.42780351739788197","0.42780351739788197","0.4277255105900151","0.4277255105900151","0.4277255105900151","0.4277846066565809","0.4277846066565809","0.4277846066565809"
"13","0.43021936459909227","0.43021936459909227","0.43021936459909227","0.4305053895612708","0.4305053895612708","0.4305053895612708","0.43064722012102874","0.43064722012102874","0.43064722012102874","0.4297915090771558","0.4297915090771558","0.4297915090771558","0.43037774205748863","0.43037774205748863","0.43037774205748863","0.4304250189107413","0.4304250189107413","0.4304250189107413","0.43053848335854766","0.43053848335854766","0.43053848335854766","0.4306164901664145","0.4306164901664145","0.4306164901664145","0.43046047655068076","0.43046047655068076","0.43046047655068076","0.43060467095310134","0.43060467095310134","0.43060467095310134","0.4315336611195159","0.4315336611195159","0.4315336611195159"
"14","0.43315998487140694","0.43315998487140694","0.43315998487140694","0.4336445726172466","0.4336445726172466","0.4336445726172466","0.4335547465960666","0.4335547465960666","0.4335547465960666","0.43346728441754917","0.43346728441754917","0.43346728441754917","0.43346728441754917","0.43346728441754917","0.43346728441754917","0.43315289334341905","0.43315289334341905","0.43315289334341905","0.4333112708018154","0.4333112708018154","0.4333112708018154","0.4340487897125567","0.4340487897125567","0.4340487897125567","0.4347035741301059","0.4347035741301059","0.4347035741301059","0.43377222012102873","0.43377222012102873","0.43377222012102873","0.4350345121028744","0.4350345121028744","0.4350345121028744"
"15","0.434902136913767","0.434902136913767","0.434902136913767","0.4362920763993949","0.4362920763993949","0.4362920763993949","0.4357271180030257","0.4357271180030257","0.4357271180030257","0.4348004916792738","0.4348004916792738","0.4348004916792738","0.43585240166414524","0.43585240166414524","0.43585240166414524","0.4358713124054463","0.4358713124054463","0.4358713124054463","0.4358334909228442","0.4358334909228442","0.4358334909228442","0.43602732602118005","0.43602732602118005","0.43602732602118005","0.4355947428139183","0.4355947428139183","0.4355947428139183","0.4365662821482602","0.4365662821482602","0.4365662821482602","0.4371714258698941","0.4371714258698941","0.4371714258698941"
"16","0.4383817133131619","0.4383817133131619","0.4383817133131619","0.43851881618759453","0.43851881618759453","0.43851881618759453","0.43792785552193647","0.43792785552193647","0.43792785552193647","0.43728489031770046","0.43728489031770046","0.43728489031770046","0.4384124432677761","0.4384124432677761","0.4384124432677761","0.4384928139183056","0.4384928139183056","0.4384928139183056","0.4387930219364599","0.4387930219364599","0.4387930219364599","0.439357980332829","0.439357980332829","0.439357980332829","0.4390790468986384","0.4390790468986384","0.4390790468986384","0.43853299924357036","0.43853299924357036","0.43853299924357036","0.4395423600605144","0.4395423600605144","0.4395423600605144"
"17","0.4407573751891074","0.4407573751891074","0.4407573751891074","0.4410032148260212","0.4410032148260212","0.4410032148260212","0.4409086611195159","0.4409086611195159","0.4409086611195159","0.44045480332829046","0.44045480332829046","0.44045480332829046","0.44109776853252647","0.44109776853252647","0.44109776853252647","0.4411734114977307","0.4411734114977307","0.4411734114977307","0.4408826588502269","0.4408826588502269","0.4408826588502269","0.4419156580937973","0.4419156580937973","0.4419156580937973","0.44204330559757943","0.44204330559757943","0.44204330559757943","0.4410764939485628","0.4410764939485628","0.4410764939485628","0.44167218229954613","0.44167218229954613","0.44167218229954613"
"18","0.44327959531013617","0.44327959531013617","0.44327959531013617","0.4427193645990923","0.4427193645990923","0.4427193645990923","0.442946293494705","0.442946293494705","0.442946293494705","0.44148071104387293","0.44148071104387293","0.44148071104387293","0.44365071860816946","0.44365071860816946","0.44365071860816946","0.44422749621785174","0.44422749621785174","0.44422749621785174","0.44314958396369136","0.44314958396369136","0.44314958396369136","0.44259880862329803","0.44259880862329803","0.44259880862329803","0.44444733358547656","0.44444733358547656","0.44444733358547656","0.4437712745839637","0.4437712745839637","0.4437712745839637","0.4436909039334342","0.4436909039334342","0.4436909039334342"
"19","0.44510448184568835","0.44510448184568835","0.44510448184568835","0.4451612140695915","0.4451612140695915","0.4451612140695915","0.4447569969742814","0.4447569969742814","0.4447569969742814","0.4446766263237519","0.4446766263237519","0.4446766263237519","0.4453219553706505","0.4453219553706505","0.4453219553706505","0.4460618381240545","0.4460618381240545","0.4460618381240545","0.4451352118003026","0.4451352118003026","0.4451352118003026","0.44552524583963693","0.44552524583963693","0.44552524583963693","0.44598146747352496","0.44598146747352496","0.44598146747352496","0.44528886157337366","0.44528886157337366","0.44528886157337366","0.44635731845688353","0.44635731845688353","0.44635731845688353"
