"Step","clean-sweep-11 - Test Accuracy","clean-sweep-11 - Test Accuracy__MIN","clean-sweep-11 - Test Accuracy__MAX","cool-sweep-10 - Test Accuracy","cool-sweep-10 - Test Accuracy__MIN","cool-sweep-10 - Test Accuracy__MAX","different-sweep-9 - Test Accuracy","different-sweep-9 - Test Accuracy__MIN","different-sweep-9 - Test Accuracy__MAX","woven-sweep-8 - Test Accuracy","woven-sweep-8 - Test Accuracy__MIN","woven-sweep-8 - Test Accuracy__MAX","earnest-sweep-7 - Test Accuracy","earnest-sweep-7 - Test Accuracy__MIN","earnest-sweep-7 - Test Accuracy__MAX","eager-sweep-6 - Test Accuracy","eager-sweep-6 - Test Accuracy__MIN","eager-sweep-6 - Test Accuracy__MAX","stellar-sweep-5 - Test Accuracy","stellar-sweep-5 - Test Accuracy__MIN","stellar-sweep-5 - Test Accuracy__MAX","good-sweep-4 - Test Accuracy","good-sweep-4 - Test Accuracy__MIN","good-sweep-4 - Test Accuracy__MAX","radiant-sweep-3 - Test Accuracy","radiant-sweep-3 - Test Accuracy__MIN","radiant-sweep-3 - Test Accuracy__MAX","pretty-sweep-2 - Test Accuracy","pretty-sweep-2 - Test Accuracy__MIN","pretty-sweep-2 - Test Accuracy__MAX","earthy-sweep-1 - Test Accuracy","earthy-sweep-1 - Test Accuracy__MIN","earthy-sweep-1 - Test Accuracy__MAX"
"0","0.4169416603630862","0.4169416603630862","0.4169416603630862","0.4157715582450832","0.4157715582450832","0.4157715582450832","0.4141499621785174","0.4141499621785174","0.4141499621785174","0.4166319969742814","0.4166319969742814","0.4166319969742814","0.4162065052950076","0.4162065052950076","0.4162065052950076","0.41688492813918304","0.41688492813918304","0.41688492813918304","0.4169180219364599","0.4169180219364599","0.4169180219364599","0.4156084531013616","0.4156084531013616","0.4156084531013616","0.41733642208774585","0.41733642208774585","0.41733642208774585","0.41548080559757944","0.41548080559757944","0.41548080559757944","0.41738842662632375","0.41738842662632375","0.41738842662632375"
"50","0.5775434947049924","0.5775434947049924","0.5775434947049924","0.5777562405446294","0.5777562405446294","0.5777562405446294","0.5776545953101362","0.5776545953101362","0.5776545953101362","0.5777964258698941","0.5777964258698941","0.5777964258698941","0.577456032526475","0.577456032526475","0.577456032526475","0.5775860438729198","0.5775860438729198","0.5775860438729198","0.5773969364599092","0.5773969364599092","0.5773969364599092","0.5775080370650529","0.5775080370650529","0.5775080370650529","0.5776215015128593","0.5776215015128593","0.5776215015128593","0.5776522314674736","0.5776522314674736","0.5776522314674736","0.5778626134644478","0.5778626134644478","0.5778626134644478"
"100","0.5807914145234493","0.5807914145234493","0.5807914145234493","0.5807701399394857","0.5807701399394857","0.5807701399394857","0.5809072428139183","0.5809072428139183","0.5809072428139183","0.5807015885022693","0.5807015885022693","0.5807015885022693","0.5807890506807867","0.5807890506807867","0.5807890506807867","0.5807583207261725","0.5807583207261725","0.5807583207261725","0.5808954236006052","0.5808954236006052","0.5808954236006052","0.5805928517397883","0.5805928517397883","0.5805928517397883","0.5807748676248109","0.5807748676248109","0.5807748676248109","0.5808906959152799","0.5808906959152799","0.5808906959152799","0.5809805219364599","0.5809805219364599","0.5809805219364599"
"150","0.5823775529500756","0.5823775529500756","0.5823775529500756","0.5823870083207262","0.5823870083207262","0.5823870083207262","0.5825335665658093","0.5825335665658093","0.5825335665658093","0.5823657337367625","0.5823657337367625","0.5823657337367625","0.5822073562783661","0.5822073562783661","0.5822073562783661","0.5822262670196672","0.5822262670196672","0.5822262670196672","0.5823373676248109","0.5823373676248109","0.5823373676248109","0.5822735438729199","0.5822735438729199","0.5822735438729199","0.5823019099848714","0.5823019099848714","0.5823019099848714","0.5821128025718608","0.5821128025718608","0.5821128025718608","0.5826304841149773","0.5826304841149773","0.5826304841149773"
"200","0.5830559757942512","0.5830559757942512","0.5830559757942512","0.5831292549167927","0.5831292549167927","0.5831292549167927","0.5829023260211801","0.5829023260211801","0.5829023260211801","0.5829117813918305","0.5829117813918305","0.5829117813918305","0.5828243192133131","0.5828243192133131","0.5828243192133131","0.5828172276853253","0.5828172276853253","0.5828172276853253","0.5826423033282905","0.5826423033282905","0.5826423033282905","0.5827368570347957","0.5827368570347957","0.5827368570347957","0.5827392208774584","0.5827392208774584","0.5827392208774584","0.5828195915279879","0.5828195915279879","0.5828195915279879","0.5830063350983359","0.5830063350983359","0.5830063350983359"
"250","0.5837509455370651","0.5837509455370651","0.5837509455370651","0.5835051059001513","0.5835051059001513","0.5835051059001513","0.5835358358547655","0.5835358358547655","0.5835358358547655","0.5836043872919818","0.5836043872919818","0.5836043872919818","0.5835051059001513","0.5835051059001513","0.5835051059001513","0.5834601928895613","0.5834601928895613","0.5834601928895613","0.5833821860816945","0.5833821860816945","0.5833821860816945","0.5834649205748865","0.5834649205748865","0.5834649205748865","0.5834483736762481","0.5834483736762481","0.5834483736762481","0.5834081883509834","0.5834081883509834","0.5834081883509834","0.5836280257186082","0.5836280257186082","0.5836280257186082"
"300","0.5837414901664145","0.5837414901664145","0.5837414901664145","0.583642208774584","0.583642208774584","0.583642208774584","0.5838265885022693","0.5838265885022693","0.5838265885022693","0.5835051059001513","0.5835051059001513","0.5835051059001513","0.5834200075642966","0.5834200075642966","0.5834200075642966","0.583571293494705","0.583571293494705","0.583571293494705","0.583795858547655","0.583795858547655","0.583795858547655","0.5839305975794251","0.5839305975794251","0.5839305975794251","0.583776947806354","0.583776947806354","0.583776947806354","0.583687121785174","0.583687121785174","0.583687121785174","0.5837887670196672","0.5837887670196672","0.5837887670196672"
"350","0.5839944213313162","0.5839944213313162","0.5839944213313162","0.5838762291981846","0.5838762291981846","0.5838762291981846","0.584098430408472","0.584098430408472","0.584098430408472","0.5839967851739788","0.5839967851739788","0.5839967851739788","0.583795858547655","0.583795858547655","0.583795858547655","0.583892776096823","0.583892776096823","0.583892776096823","0.5840298789712557","0.5840298789712557","0.5840298789712557","0.5839164145234493","0.5839164145234493","0.5839164145234493","0.5836516641452345","0.5836516641452345","0.5836516641452345","0.5840298789712557","0.5840298789712557","0.5840298789712557","0.5839518721633888","0.5839518721633888","0.5839518721633888"
"400","0.5841646180030258","0.5841646180030258","0.5841646180030258","0.5842686270801816","0.5842686270801816","0.5842686270801816","0.5842048033282905","0.5842048033282905","0.5842048033282905","0.5840606089258699","0.5840606089258699","0.5840606089258699","0.5841409795763994","0.5841409795763994","0.5841409795763994","0.5841031580937973","0.5841031580937973","0.5841031580937973","0.5841149773071105","0.5841149773071105","0.5841149773071105","0.58428517397882","0.58428517397882","0.58428517397882","0.5841338880484115","0.5841338880484115","0.5841338880484115","0.5840677004538578","0.5840677004538578","0.5840677004538578","0.5841055219364599","0.5841055219364599","0.5841055219364599"
