"Step","denim-sweep-11 - Test Accuracy","denim-sweep-11 - Test Accuracy__MIN","denim-sweep-11 - Test Accuracy__MAX","decent-sweep-10 - Test Accuracy","decent-sweep-10 - Test Accuracy__MIN","decent-sweep-10 - Test Accuracy__MAX","iconic-sweep-9 - Test Accuracy","iconic-sweep-9 - Test Accuracy__MIN","iconic-sweep-9 - Test Accuracy__MAX","deft-sweep-8 - Test Accuracy","deft-sweep-8 - Test Accuracy__MIN","deft-sweep-8 - Test Accuracy__MAX","celestial-sweep-7 - Test Accuracy","celestial-sweep-7 - Test Accuracy__MIN","celestial-sweep-7 - Test Accuracy__MAX","scarlet-sweep-6 - Test Accuracy","scarlet-sweep-6 - Test Accuracy__MIN","scarlet-sweep-6 - Test Accuracy__MAX","rich-sweep-5 - Test Accuracy","rich-sweep-5 - Test Accuracy__MIN","rich-sweep-5 - Test Accuracy__MAX","lilac-sweep-4 - Test Accuracy","lilac-sweep-4 - Test Accuracy__MIN","lilac-sweep-4 - Test Accuracy__MAX","stellar-sweep-3 - Test Accuracy","stellar-sweep-3 - Test Accuracy__MIN","stellar-sweep-3 - Test Accuracy__MAX","worldly-sweep-2 - Test Accuracy","worldly-sweep-2 - Test Accuracy__MIN","worldly-sweep-2 - Test Accuracy__MAX","breezy-sweep-1 - Test Accuracy","breezy-sweep-1 - Test Accuracy__MIN","breezy-sweep-1 - Test Accuracy__MAX"
"0","0.41554226550680784","0.41554226550680784","0.41554226550680784","0.41632233358547655","0.41632233358547655","0.41632233358547655","0.41645470877458396","0.41645470877458396","0.41645470877458396","0.41621359682299547","0.41621359682299547","0.41621359682299547","0.41581174357034795","0.41581174357034795","0.41581174357034795","0.41641215960665656","0.41641215960665656","0.41641215960665656","0.41655399016641453","0.41655399016641453","0.41655399016641453","0.41719931921331316","0.41719931921331316","0.41719931921331316","0.41711658472012103","0.41711658472012103","0.41711658472012103","0.4163554273827534","0.4163554273827534","0.4163554273827534","0.41716149773071104","0.41716149773071104","0.41716149773071104"
"50","0.5745414145234493","0.5745414145234493","0.5745414145234493","0.5738015317700453","0.5738015317700453","0.5738015317700453","0.5735958774583964","0.5735958774583964","0.5735958774583964","0.5744397692889561","0.5744397692889561","0.5744397692889561","0.573669156580938","0.573669156580938","0.573669156580938","0.5746714258698941","0.5746714258698941","0.5746714258698941","0.5742837556732224","0.5742837556732224","0.5742837556732224","0.573463502269289","0.573463502269289","0.573463502269289","0.5736762481089259","0.5736762481089259","0.5736762481089259","0.5743026664145234","0.5743026664145234","0.5743026664145234","0.5741442889561271","0.5741442889561271","0.5741442889561271"
"100","0.5776475037821482","0.5776475037821482","0.5776475037821482","0.5778531580937972","0.5778531580937972","0.5778531580937972","0.5774891263237519","0.5774891263237519","0.5774891263237519","0.5774938540090772","0.5774938540090772","0.5774938540090772","0.57674215204236","0.57674215204236","0.57674215204236","0.5776995083207261","0.5776995083207261","0.5776995083207261","0.5778437027231468","0.5778437027231468","0.5778437027231468","0.5776664145234494","0.5776664145234494","0.5776664145234494","0.5778247919818457","0.5778247919818457","0.5778247919818457","0.5777042360060515","0.5777042360060515","0.5777042360060515","0.5779713502269289","0.5779713502269289","0.5779713502269289"
"150","0.5792572806354009","0.5792572806354009","0.5792572806354009","0.57959767397882","0.57959767397882","0.57959767397882","0.5786875945537066","0.5786875945537066","0.5786875945537066","0.5791178139183056","0.5791178139183056","0.5791178139183056","0.5787561459909228","0.5787561459909228","0.5787561459909228","0.5792194591527988","0.5792194591527988","0.5792194591527988","0.5792903744326777","0.5792903744326777","0.5792903744326777","0.579366017397882","0.579366017397882","0.579366017397882","0.5793541981845688","0.5793541981845688","0.5793541981845688","0.5789665279878972","0.5789665279878972","0.5789665279878972","0.5792194591527988","0.5792194591527988","0.5792194591527988"
"200","0.5794676626323751","0.5794676626323751","0.5794676626323751","0.5795196671709532","0.5795196671709532","0.5795196671709532","0.5795338502269289","0.5795338502269289","0.5795338502269289","0.5792738275340393","0.5792738275340393","0.5792738275340393","0.579141452344932","0.579141452344932","0.579141452344932","0.5791698184568835","0.5791698184568835","0.5791698184568835","0.5793920196671709","0.5793920196671709","0.5793920196671709","0.5796189485627836","0.5796189485627836","0.5796189485627836","0.5796331316187594","0.5796331316187594","0.5796331316187594","0.5788601550680786","0.5788601550680786","0.5788601550680786","0.5794983925869894","0.5794983925869894","0.5794983925869894"
"250","0.5802217284417549","0.5802217284417549","0.5802217284417549","0.5797607791225416","0.5797607791225416","0.5797607791225416","0.5803517397881996","0.5803517397881996","0.5803517397881996","0.5800208018154311","0.5800208018154311","0.5800208018154311","0.5795527609682299","0.5795527609682299","0.5795527609682299","0.5795905824508321","0.5795905824508321","0.5795905824508321","0.5801815431164902","0.5801815431164902","0.5801815431164902","0.5800066187594554","0.5800066187594554","0.5800066187594554","0.5794747541603631","0.5794747541603631","0.5794747541603631","0.5793896558245083","0.5793896558245083","0.5793896558245083","0.579990071860817","0.579990071860817","0.579990071860817"
"300","0.5797938729198184","0.5797938729198184","0.5797938729198184","0.5796898638426626","0.5796898638426626","0.5796898638426626","0.5799049735249622","0.5799049735249622","0.5799049735249622","0.5799120650529501","0.5799120650529501","0.5799120650529501","0.5790516263237518","0.5790516263237518","0.5790516263237518","0.5800420763993949","0.5800420763993949","0.5800420763993949","0.579964069591528","0.579964069591528","0.579964069591528","0.5800468040847201","0.5800468040847201","0.5800468040847201","0.5792643721633888","0.5792643721633888","0.5792643721633888","0.5799971633888048","0.5799971633888048","0.5799971633888048","0.5798978819969742","0.5798978819969742","0.5798978819969742"
"350","0.5806921331316187","0.5806921331316187","0.5806921331316187","0.5799522503782149","0.5799522503782149","0.5799522503782149","0.5804699319213313","0.5804699319213313","0.5804699319213313","0.580465204236006","0.580465204236006","0.580465204236006","0.5801744515885022","0.5801744515885022","0.5801744515885022","0.5803091906202723","0.5803091906202723","0.5803091906202723","0.5806944969742814","0.5806944969742814","0.5806944969742814","0.5806164901664145","0.5806164901664145","0.5806164901664145","0.5805786686838124","0.5805786686838124","0.5805786686838124","0.5803635590015128","0.5803635590015128","0.5803635590015128","0.580439201966717","0.580439201966717","0.580439201966717"
"400","0.580465204236006","0.580465204236006","0.580465204236006","0.5804273827534039","0.5804273827534039","0.5804273827534039","0.5800349848714069","0.5800349848714069","0.5800349848714069","0.5805597579425114","0.5805597579425114","0.5805597579425114","0.5797300491679274","0.5797300491679274","0.5797300491679274","0.5804557488653556","0.5804557488653556","0.5804557488653556","0.5804841149773071","0.5804841149773071","0.5804841149773071","0.5803990166414523","0.5803990166414523","0.5803990166414523","0.5802051815431165","0.5802051815431165","0.5802051815431165","0.5801673600605144","0.5801673600605144","0.5801673600605144","0.5800751701966718","0.5800751701966718","0.5800751701966718"
