"Step","bright-sweep-11 - Test Accuracy","bright-sweep-11 - Test Accuracy__MIN","bright-sweep-11 - Test Accuracy__MAX","sweepy-sweep-10 - Test Accuracy","sweepy-sweep-10 - Test Accuracy__MIN","sweepy-sweep-10 - Test Accuracy__MAX","dulcet-sweep-9 - Test Accuracy","dulcet-sweep-9 - Test Accuracy__MIN","dulcet-sweep-9 - Test Accuracy__MAX","sage-sweep-8 - Test Accuracy","sage-sweep-8 - Test Accuracy__MIN","sage-sweep-8 - Test Accuracy__MAX","lucky-sweep-7 - Test Accuracy","lucky-sweep-7 - Test Accuracy__MIN","lucky-sweep-7 - Test Accuracy__MAX","eager-sweep-6 - Test Accuracy","eager-sweep-6 - Test Accuracy__MIN","eager-sweep-6 - Test Accuracy__MAX","pleasant-sweep-5 - Test Accuracy","pleasant-sweep-5 - Test Accuracy__MIN","pleasant-sweep-5 - Test Accuracy__MAX","winter-sweep-4 - Test Accuracy","winter-sweep-4 - Test Accuracy__MIN","winter-sweep-4 - Test Accuracy__MAX","rural-sweep-3 - Test Accuracy","rural-sweep-3 - Test Accuracy__MIN","rural-sweep-3 - Test Accuracy__MAX","dauntless-sweep-2 - Test Accuracy","dauntless-sweep-2 - Test Accuracy__MIN","dauntless-sweep-2 - Test Accuracy__MAX","lively-sweep-1 - Test Accuracy","lively-sweep-1 - Test Accuracy__MIN","lively-sweep-1 - Test Accuracy__MAX"
"0","0.4169416603630862","0.4169416603630862","0.4169416603630862","0.4157715582450832","0.4157715582450832","0.4157715582450832","0.4141499621785174","0.4141499621785174","0.4141499621785174","0.4166319969742814","0.4166319969742814","0.4166319969742814","0.4162065052950076","0.4162065052950076","0.4162065052950076","0.41688492813918304","0.41688492813918304","0.41688492813918304","0.4169180219364599","0.4169180219364599","0.4169180219364599","0.4156084531013616","0.4156084531013616","0.4156084531013616","0.41733642208774585","0.41733642208774585","0.41733642208774585","0.41548080559757944","0.41548080559757944","0.41548080559757944","0.41738842662632375","0.41738842662632375","0.41738842662632375"
"50","0.576356845688351","0.576356845688351","0.576356845688351","0.5769076210287444","0.5769076210287444","0.5769076210287444","0.5766594175491679","0.5766594175491679","0.5766594175491679","0.5763686649016642","0.5763686649016642","0.5763686649016642","0.5765719553706505","0.5765719553706505","0.5765719553706505","0.576241017397882","0.576241017397882","0.576241017397882","0.5764892208774584","0.5764892208774584","0.5764892208774584","0.5764513993948562","0.5764513993948562","0.5764513993948562","0.5763639372163388","0.5763639372163388","0.5763639372163388","0.5762906580937973","0.5762906580937973","0.5762906580937973","0.5766996028744327","0.5766996028744327","0.5766996028744327"
"100","0.5799971633888048","0.5799971633888048","0.5799971633888048","0.5798316944024205","0.5798316944024205","0.5798316944024205","0.5801791792738276","0.5801791792738276","0.5801791792738276","0.579623676248109","0.579623676248109","0.579623676248109","0.5794629349470499","0.5794629349470499","0.5794629349470499","0.5801319024205749","0.5801319024205749","0.5801319024205749","0.5799664334341906","0.5799664334341906","0.5799664334341906","0.5797253214826021","0.5797253214826021","0.5797253214826021","0.5796851361573374","0.5796851361573374","0.5796851361573374","0.5801248108925869","0.5801248108925869","0.5801248108925869","0.5799451588502269","0.5799451588502269","0.5799451588502269"
"150","0.5813729198184568","0.5813729198184568","0.5813729198184568","0.5818007753403933","0.5818007753403933","0.5818007753403933","0.5810632564296521","0.5810632564296521","0.5810632564296521","0.5814674735249622","0.5814674735249622","0.5814674735249622","0.5811885400907716","0.5811885400907716","0.5811885400907716","0.5815762102874432","0.5815762102874432","0.5815762102874432","0.581455654311649","0.581455654311649","0.581455654311649","0.5817085854765507","0.5817085854765507","0.5817085854765507","0.5815572995461422","0.5815572995461422","0.5815572995461422","0.5811956316187594","0.5811956316187594","0.5811956316187594","0.5814934757942511","0.5814934757942511","0.5814934757942511"
"200","0.5817818645990923","0.5817818645990923","0.5817818645990923","0.5821529878971256","0.5821529878971256","0.5821529878971256","0.5815643910741302","0.5815643910741302","0.5815643910741302","0.5816353063540091","0.5816353063540091","0.5816353063540091","0.5812027231467474","0.5812027231467474","0.5812027231467474","0.5815123865355522","0.5815123865355522","0.5815123865355522","0.5816494894099848","0.5816494894099848","0.5816494894099848","0.5813232791225416","0.5813232791225416","0.5813232791225416","0.5818882375189107","0.5818882375189107","0.5818882375189107","0.5815360249621785","0.5815360249621785","0.5815360249621785","0.5819260590015128","0.5819260590015128","0.5819260590015128"
"250","0.5823090015128594","0.5823090015128594","0.5823090015128594","0.5823231845688351","0.5823231845688351","0.5823231845688351","0.5822948184568835","0.5822948184568835","0.5822948184568835","0.5823350037821483","0.5823350037821483","0.5823350037821483","0.5821506240544629","0.5821506240544629","0.5821506240544629","0.5822688161875945","0.5822688161875945","0.5822688161875945","0.5822971822995462","0.5822971822995462","0.5822971822995462","0.5825406580937973","0.5825406580937973","0.5825406580937973","0.582304273827534","0.582304273827534","0.582304273827534","0.5823090015128594","0.5823090015128594","0.5823090015128594","0.5827817700453858","0.5827817700453858","0.5827817700453858"
"300","0.5825642965204236","0.5825642965204236","0.5825642965204236","0.5826659417549168","0.5826659417549168","0.5826659417549168","0.5823160930408472","0.5823160930408472","0.5823160930408472","0.5819166036308623","0.5819166036308623","0.5819166036308623","0.581848052193646","0.581848052193646","0.581848052193646","0.5822168116490166","0.5822168116490166","0.5822168116490166","0.5817936838124055","0.5817936838124055","0.5817936838124055","0.5825122919818457","0.5825122919818457","0.5825122919818457","0.5825430219364599","0.5825430219364599","0.5825430219364599","0.5820182488653555","0.5820182488653555","0.5820182488653555","0.582375189107413","0.582375189107413","0.582375189107413"
"350","0.5830228819969743","0.5830228819969743","0.5830228819969743","0.5825973903177004","0.5825973903177004","0.5825973903177004","0.5828361384266263","0.5828361384266263","0.5828361384266263","0.5828881429652042","0.5828881429652042","0.5828881429652042","0.5827463124054463","0.5827463124054463","0.5827463124054463","0.5827344931921331","0.5827344931921331","0.5827344931921331","0.5827699508320726","0.5827699508320726","0.5827699508320726","0.583089069591528","0.583089069591528","0.583089069591528","0.5828314107413011","0.5828314107413011","0.5828314107413011","0.5827321293494705","0.5827321293494705","0.5827321293494705","0.58285741301059","0.58285741301059","0.58285741301059"
"400","0.5828621406959152","0.5828621406959152","0.5828621406959152","0.582973241301059","0.582973241301059","0.582973241301059","0.5828881429652042","0.5828881429652042","0.5828881429652042","0.5826683055975794","0.5826683055975794","0.5826683055975794","0.5823090015128594","0.5823090015128594","0.5823090015128594","0.5826281202723147","0.5826281202723147","0.5826281202723147","0.5828692322239032","0.5828692322239032","0.5828692322239032","0.5829637859304084","0.5829637859304084","0.5829637859304084","0.5829354198184569","0.5829354198184569","0.5829354198184569","0.5828952344931921","0.5828952344931921","0.5828952344931921","0.5827203101361573","0.5827203101361573","0.5827203101361573"
