"Step","snowy-sweep-11 - Test Accuracy","snowy-sweep-11 - Test Accuracy__MIN","snowy-sweep-11 - Test Accuracy__MAX","icy-sweep-10 - Test Accuracy","icy-sweep-10 - Test Accuracy__MIN","icy-sweep-10 - Test Accuracy__MAX","earthy-sweep-9 - Test Accuracy","earthy-sweep-9 - Test Accuracy__MIN","earthy-sweep-9 - Test Accuracy__MAX","grateful-sweep-8 - Test Accuracy","grateful-sweep-8 - Test Accuracy__MIN","grateful-sweep-8 - Test Accuracy__MAX","woven-sweep-7 - Test Accuracy","woven-sweep-7 - Test Accuracy__MIN","woven-sweep-7 - Test Accuracy__MAX","spring-sweep-6 - Test Accuracy","spring-sweep-6 - Test Accuracy__MIN","spring-sweep-6 - Test Accuracy__MAX","comic-sweep-5 - Test Accuracy","comic-sweep-5 - Test Accuracy__MIN","comic-sweep-5 - Test Accuracy__MAX","swept-sweep-4 - Test Accuracy","swept-sweep-4 - Test Accuracy__MIN","swept-sweep-4 - Test Accuracy__MAX","mild-sweep-3 - Test Accuracy","mild-sweep-3 - Test Accuracy__MIN","mild-sweep-3 - Test Accuracy__MAX","eager-sweep-2 - Test Accuracy","eager-sweep-2 - Test Accuracy__MIN","eager-sweep-2 - Test Accuracy__MAX","fluent-sweep-1 - Test Accuracy","fluent-sweep-1 - Test Accuracy__MIN","fluent-sweep-1 - Test Accuracy__MAX"
"0","0.7546816721087206","0.7546816721087206","0.7546816721087206","0.7547332963359704","0.7547332963359704","0.7547332963359704","0.7538685905295355","0.7538685905295355","0.7538685905295355","0.7549139811313449","0.7549139811313449","0.7549139811313449","0.7538169663022857","0.7538169663022857","0.7538169663022857","0.7543977388588464","0.7543977388588464","0.7543977388588464","0.7537782481318482","0.7537782481318482","0.7537782481318482","0.7543848328020339","0.7543848328020339","0.7543848328020339","0.7539331208135979","0.7539331208135979","0.7539331208135979","0.7538298723590982","0.7538298723590982","0.7538298723590982","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.8948801672624963","0.8948801672624963","0.8948801672624963","0.8955900003871817","0.8955900003871817","0.8955900003871817","0.894983415716996","0.894983415716996","0.894983415716996","0.8963772698527419","0.8963772698527419","0.8963772698527419","0.8960804305460552","0.8960804305460552","0.8960804305460552","0.8956158125008066","0.8956158125008066","0.8956158125008066","0.8952157247396203","0.8952157247396203","0.8952157247396203","0.8952673489668701","0.8952673489668701","0.8952673489668701","0.8954351277054322","0.8954351277054322","0.8954351277054322","0.8949446975465586","0.8949446975465586","0.8949446975465586","0.8962353032278048","0.8962353032278048","0.8962353032278048"
"100","0.8997973749080443","0.8997973749080443","0.8997973749080443","0.9003136171805428","0.9003136171805428","0.9003136171805428","0.8997973749080443","0.8997973749080443","0.8997973749080443","0.9000684021011061","0.9000684021011061","0.9000684021011061","0.9002103687260431","0.9002103687260431","0.9002103687260431","0.8994360053172954","0.8994360053172954","0.8994360053172954","0.8997199385671696","0.8997199385671696","0.8997199385671696","0.8998102809648568","0.8998102809648568","0.8998102809648568","0.8998102809648568","0.8998102809648568","0.8998102809648568","0.8993585689764206","0.8993585689764206","0.8993585689764206","0.9003523353509802","0.9003523353509802","0.9003523353509802"
"150","0.9019784985093504","0.9019784985093504","0.9019784985093504","0.901604222861789","0.901604222861789","0.901604222861789","0.9020688409070377","0.9020688409070377","0.9020688409070377","0.9016171289186015","0.9016171289186015","0.9016171289186015","0.9015784107481641","0.9015784107481641","0.9015784107481641","0.9016429410322264","0.9016429410322264","0.9016429410322264","0.9010105442484158","0.9010105442484158","0.9010105442484158","0.9015396925777267","0.9015396925777267","0.9015396925777267","0.9024947407818489","0.9024947407818489","0.9024947407818489","0.9008427655098538","0.9008427655098538","0.9008427655098538","0.9008298594530413","0.9008298594530413","0.9008298594530413"
"200","0.9025463650090988","0.9025463650090988","0.9025463650090988","0.9028690164294103","0.9028690164294103","0.9028690164294103","0.9023398681000994","0.9023398681000994","0.9023398681000994","0.9022495257024121","0.9022495257024121","0.9022495257024121","0.9020043106229754","0.9020043106229754","0.9020043106229754","0.9022366196455996","0.9022366196455996","0.9022366196455996","0.9023914923273493","0.9023914923273493","0.9023914923273493","0.9023140559864744","0.9023140559864744","0.9023140559864744","0.9024043983841616","0.9024043983841616","0.9024043983841616","0.9020172166797878","0.9020172166797878","0.9020172166797878","0.902830298258973","0.902830298258973","0.902830298258973"
"250","0.9033981647587213","0.9033981647587213","0.9033981647587213","0.9031787617929095","0.9031787617929095","0.9031787617929095","0.9033594465882839","0.9033594465882839","0.9033594465882839","0.9042499645083437","0.9042499645083437","0.9042499645083437","0.902830298258973","0.902830298258973","0.902830298258973","0.9040821857697817","0.9040821857697817","0.9040821857697817","0.9027786740317231","0.9027786740317231","0.9027786740317231","0.9037595343494702","0.9037595343494702","0.9037595343494702","0.9038885949175949","0.9038885949175949","0.9038885949175949","0.9030367951679723","0.9030367951679723","0.9030367951679723","0.9037079101222204","0.9037079101222204","0.9037079101222204"
"300","0.9032432920769717","0.9032432920769717","0.9032432920769717","0.9048178310080921","0.9048178310080921","0.9048178310080921","0.9047145825535924","0.9047145825535924","0.9047145825535924","0.9044306493037182","0.9044306493037182","0.9044306493037182","0.9039273130880322","0.9039273130880322","0.9039273130880322","0.9033207284178465","0.9033207284178465","0.9033207284178465","0.9037724404062827","0.9037724404062827","0.9037724404062827","0.9043661190196559","0.9043661190196559","0.9043661190196559","0.9044693674741556","0.9044693674741556","0.9044693674741556","0.9037208161790328","0.9037208161790328","0.9037208161790328","0.9043532129628434","0.9043532129628434","0.9043532129628434"
"350","0.9047662067808423","0.9047662067808423","0.9047662067808423","0.9048694552353419","0.9048694552353419","0.9048694552353419","0.905205012712466","0.905205012712466","0.905205012712466","0.9051146703147788","0.9051146703147788","0.9051146703147788","0.9048049249512796","0.9048049249512796","0.9048049249512796","0.9052824490533408","0.9052824490533408","0.9052824490533408","0.905011421860279","0.905011421860279","0.905011421860279","0.9047791128376547","0.9047791128376547","0.9047791128376547","0.9049339855194043","0.9049339855194043","0.9049339855194043","0.9047791128376547","0.9047791128376547","0.9047791128376547","0.9048952673489669","0.9048952673489669","0.9048952673489669"
"400","0.9042886826787812","0.9042886826787812","0.9042886826787812","0.9049727036898416","0.9049727036898416","0.9049727036898416","0.9046371462127176","0.9046371462127176","0.9046371462127176","0.9046500522695301","0.9046500522695301","0.9046500522695301","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9047920188944671","0.9047920188944671","0.9047920188944671","0.9056309125872772","0.9056309125872772","0.9056309125872772","0.9048565491785295","0.9048565491785295","0.9048565491785295","0.9043661190196559","0.9043661190196559","0.9043661190196559","0.9046500522695301","0.9046500522695301","0.9046500522695301"
