"Step","zesty-sweep-11 - Test Accuracy","zesty-sweep-11 - Test Accuracy__MIN","zesty-sweep-11 - Test Accuracy__MAX","fanciful-sweep-10 - Test Accuracy","fanciful-sweep-10 - Test Accuracy__MIN","fanciful-sweep-10 - Test Accuracy__MAX","playful-sweep-9 - Test Accuracy","playful-sweep-9 - Test Accuracy__MIN","playful-sweep-9 - Test Accuracy__MAX","rosy-sweep-8 - Test Accuracy","rosy-sweep-8 - Test Accuracy__MIN","rosy-sweep-8 - Test Accuracy__MAX","swift-sweep-7 - Test Accuracy","swift-sweep-7 - Test Accuracy__MIN","swift-sweep-7 - Test Accuracy__MAX","worldly-sweep-6 - Test Accuracy","worldly-sweep-6 - Test Accuracy__MIN","worldly-sweep-6 - Test Accuracy__MAX","fresh-sweep-5 - Test Accuracy","fresh-sweep-5 - Test Accuracy__MIN","fresh-sweep-5 - Test Accuracy__MAX","dainty-sweep-4 - Test Accuracy","dainty-sweep-4 - Test Accuracy__MIN","dainty-sweep-4 - Test Accuracy__MAX","autumn-sweep-3 - Test Accuracy","autumn-sweep-3 - Test Accuracy__MIN","autumn-sweep-3 - Test Accuracy__MAX","gallant-sweep-2 - Test Accuracy","gallant-sweep-2 - Test Accuracy__MIN","gallant-sweep-2 - Test Accuracy__MAX","bumbling-sweep-1 - Test Accuracy","bumbling-sweep-1 - Test Accuracy__MIN","bumbling-sweep-1 - Test Accuracy__MAX"
"0","0.7545138933701586","0.7545138933701586","0.7545138933701586","0.7543073964611592","0.7543073964611592","0.7543073964611592","0.7541783358930346","0.7541783358930346","0.7541783358930346","0.7547978266200328","0.7547978266200328","0.7547978266200328","0.7540750874385349","0.7540750874385349","0.7540750874385349","0.7548236387336577","0.7548236387336577","0.7548236387336577","0.7542041480066596","0.7542041480066596","0.7542041480066596","0.7546558599950957","0.7546558599950957","0.7546558599950957","0.7540879934953474","0.7540879934953474","0.7540879934953474","0.7537266239045984","0.7537266239045984","0.7537266239045984","0.7541783358930346","0.7541783358930346","0.7541783358930346"
"50","0.8957319670121188","0.8957319670121188","0.8957319670121188","0.8965450485913039","0.8965450485913039","0.8965450485913039","0.8954093155918073","0.8954093155918073","0.8954093155918073","0.8957061548984938","0.8957061548984938","0.8957061548984938","0.8958610275802434","0.8958610275802434","0.8958610275802434","0.8962998335118672","0.8962998335118672","0.8962998335118672","0.8961191487164927","0.8961191487164927","0.8961191487164927","0.895486751932682","0.895486751932682","0.895486751932682","0.8966612031026161","0.8966612031026161","0.8966612031026161","0.8959255578643057","0.8959255578643057","0.8959255578643057","0.8960288063188054","0.8960288063188054","0.8960288063188054"
"100","0.8999651536466063","0.8999651536466063","0.8999651536466063","0.900094214214731","0.900094214214731","0.900094214214731","0.8996554082831073","0.8996554082831073","0.8996554082831073","0.9003910535214176","0.9003910535214176","0.9003910535214176","0.9004684898622923","0.9004684898622923","0.9004684898622923","0.8995263477149826","0.8995263477149826","0.8995263477149826","0.8998877173057316","0.8998877173057316","0.8998877173057316","0.9005459262031671","0.9005459262031671","0.9005459262031671","0.9000038718170438","0.9000038718170438","0.9000038718170438","0.9000813081579185","0.9000813081579185","0.9000813081579185","0.9001071202715434","0.9001071202715434","0.9001071202715434"
"150","0.9013073835551024","0.9013073835551024","0.9013073835551024","0.9031271375656595","0.9031271375656595","0.9031271375656595","0.9022366196455996","0.9022366196455996","0.9022366196455996","0.9023527741569118","0.9023527741569118","0.9023527741569118","0.9023785862705368","0.9023785862705368","0.9023785862705368","0.9019139682252881","0.9019139682252881","0.9019139682252881","0.9025076468386614","0.9025076468386614","0.9025076468386614","0.9018752500548507","0.9018752500548507","0.9018752500548507","0.9022495257024121","0.9022495257024121","0.9022495257024121","0.9022495257024121","0.9022495257024121","0.9022495257024121","0.9016945652594762","0.9016945652594762","0.9016945652594762"
"200","0.9025850831795361","0.9025850831795361","0.9025850831795361","0.9032432920769717","0.9032432920769717","0.9032432920769717","0.9020043106229754","0.9020043106229754","0.9020043106229754","0.9031916678497218","0.9031916678497218","0.9031916678497218","0.9027141437476608","0.9027141437476608","0.9027141437476608","0.9027012376908483","0.9027012376908483","0.9027012376908483","0.9020043106229754","0.9020043106229754","0.9020043106229754","0.9025076468386614","0.9025076468386614","0.9025076468386614","0.9027657679749106","0.9027657679749106","0.9027657679749106","0.9022753378160371","0.9022753378160371","0.9022753378160371","0.9035143192700335","0.9035143192700335","0.9035143192700335"
"250","0.90297226488391","0.90297226488391","0.90297226488391","0.9040434675993444","0.9040434675993444","0.9040434675993444","0.903836970690345","0.903836970690345","0.903836970690345","0.9039531252016572","0.9039531252016572","0.9039531252016572","0.9031787617929095","0.9031787617929095","0.9031787617929095","0.9042370584515314","0.9042370584515314","0.9042370584515314","0.9032691041905967","0.9032691041905967","0.9032691041905967","0.9036304737813455","0.9036304737813455","0.9036304737813455","0.9040563736561569","0.9040563736561569","0.9040563736561569","0.9034626950427835","0.9034626950427835","0.9034626950427835","0.9036046616677207","0.9036046616677207","0.9036046616677207"
"300","0.9039144070312197","0.9039144070312197","0.9039144070312197","0.9042757766219687","0.9042757766219687","0.9042757766219687","0.9043919311332809","0.9043919311332809","0.9043919311332809","0.9045984280422802","0.9045984280422802","0.9045984280422802","0.9054760399055277","0.9054760399055277","0.9054760399055277","0.9039273130880322","0.9039273130880322","0.9039273130880322","0.9040563736561569","0.9040563736561569","0.9040563736561569","0.9048694552353419","0.9048694552353419","0.9048694552353419","0.9045855219854678","0.9045855219854678","0.9045855219854678","0.9038885949175949","0.9038885949175949","0.9038885949175949","0.9046500522695301","0.9046500522695301","0.9046500522695301"
"350","0.9049081734057793","0.9049081734057793","0.9049081734057793","0.905011421860279","0.905011421860279","0.905011421860279","0.9052695429965283","0.9052695429965283","0.9052695429965283","0.9049985158034666","0.9049985158034666","0.9049985158034666","0.9053082611669656","0.9053082611669656","0.9053082611669656","0.9059793761212137","0.9059793761212137","0.9059793761212137","0.9046113340990927","0.9046113340990927","0.9046113340990927","0.9050243279170915","0.9050243279170915","0.9050243279170915","0.9047533007240298","0.9047533007240298","0.9047533007240298","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9049081734057793","0.9049081734057793","0.9049081734057793"
"400","0.9049081734057793","0.9049081734057793","0.9049081734057793","0.9053856975078405","0.9053856975078405","0.9053856975078405","0.9052695429965283","0.9052695429965283","0.9052695429965283","0.9052566369397158","0.9052566369397158","0.9052566369397158","0.9053082611669656","0.9053082611669656","0.9053082611669656","0.9052437308829033","0.9052437308829033","0.9052437308829033","0.9048694552353419","0.9048694552353419","0.9048694552353419","0.905850315553089","0.905850315553089","0.905850315553089","0.9047403946672173","0.9047403946672173","0.9047403946672173","0.9051017642579663","0.9051017642579663","0.9051017642579663","0.905514758075965","0.905514758075965","0.905514758075965"
