"Step","amber-sweep-11 - Test Accuracy","amber-sweep-11 - Test Accuracy__MIN","amber-sweep-11 - Test Accuracy__MAX","fallen-sweep-10 - Test Accuracy","fallen-sweep-10 - Test Accuracy__MIN","fallen-sweep-10 - Test Accuracy__MAX","restful-sweep-9 - Test Accuracy","restful-sweep-9 - Test Accuracy__MIN","restful-sweep-9 - Test Accuracy__MAX","vocal-sweep-8 - Test Accuracy","vocal-sweep-8 - Test Accuracy__MIN","vocal-sweep-8 - Test Accuracy__MAX","earthy-sweep-7 - Test Accuracy","earthy-sweep-7 - Test Accuracy__MIN","earthy-sweep-7 - Test Accuracy__MAX","dainty-sweep-6 - Test Accuracy","dainty-sweep-6 - Test Accuracy__MIN","dainty-sweep-6 - Test Accuracy__MAX","honest-sweep-5 - Test Accuracy","honest-sweep-5 - Test Accuracy__MIN","honest-sweep-5 - Test Accuracy__MAX","winter-sweep-4 - Test Accuracy","winter-sweep-4 - Test Accuracy__MIN","winter-sweep-4 - Test Accuracy__MAX","exalted-sweep-3 - Test Accuracy","exalted-sweep-3 - Test Accuracy__MIN","exalted-sweep-3 - Test Accuracy__MAX","fanciful-sweep-2 - Test Accuracy","fanciful-sweep-2 - Test Accuracy__MIN","fanciful-sweep-2 - Test Accuracy__MAX","twilight-sweep-1 - Test Accuracy","twilight-sweep-1 - Test Accuracy__MIN","twilight-sweep-1 - Test Accuracy__MAX"
"0","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962","0.006311061781293962"
"50","0.8487410141579443","0.8487410141579443","0.8487410141579443","0.8476956235561349","0.8476956235561349","0.8476956235561349","0.8475149387607605","0.8475149387607605","0.8475149387607605","0.8492314443168179","0.8492314443168179","0.8492314443168179","0.8495670017939418","0.8495670017939418","0.8495670017939418","0.8479537446923842","0.8479537446923842","0.8479537446923842","0.847837590181072","0.847837590181072","0.847837590181072","0.8486893899306944","0.8486893899306944","0.8486893899306944","0.8483280203399456","0.8483280203399456","0.8483280203399456","0.8489475110669438","0.8489475110669438","0.8489475110669438","0.8487152020443194","0.8487152020443194","0.8487152020443194"
"100","0.8589497050966018","0.8589497050966018","0.8589497050966018","0.8578397842107301","0.8578397842107301","0.8578397842107301","0.8577107236426055","0.8577107236426055","0.8577107236426055","0.8582914961991662","0.8582914961991662","0.8582914961991662","0.8576074751881058","0.8576074751881058","0.8576074751881058","0.8583173083127912","0.8583173083127912","0.8583173083127912","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.8571815753132945","0.8571815753132945","0.8571815753132945","0.8574526025063562","0.8574526025063562","0.8574526025063562","0.8567685814952958","0.8567685814952958","0.8567685814952958","0.8562652452796097","0.8562652452796097","0.8562652452796097"
"150","0.8651704244802085","0.8651704244802085","0.8651704244802085","0.8648348670030845","0.8648348670030845","0.8648348670030845","0.8653640153323955","0.8653640153323955","0.8653640153323955","0.8644218731850858","0.8644218731850858","0.8644218731850858","0.8651704244802085","0.8651704244802085","0.8651704244802085","0.865157518423396","0.865157518423396","0.865157518423396","0.8651962365938335","0.8651962365938335","0.8651962365938335","0.86638359382058","0.86638359382058","0.86638359382058","0.865712478866332","0.865712478866332","0.865712478866332","0.8644605913555231","0.8644605913555231","0.8644605913555231","0.8657770091503942","0.8657770091503942","0.8657770091503942"
"200","0.8680742872630125","0.8680742872630125","0.8680742872630125","0.8681517236038873","0.8681517236038873","0.8681517236038873","0.8681775357175122","0.8681775357175122","0.8681775357175122","0.8681259114902624","0.8681259114902624","0.8681259114902624","0.8682678781151995","0.8682678781151995","0.8682678781151995","0.8680097569789502","0.8680097569789502","0.8680097569789502","0.8675322328768891","0.8675322328768891","0.8675322328768891","0.8678290721835757","0.8678290721835757","0.8678290721835757","0.8679065085244505","0.8679065085244505","0.8679065085244505","0.8683065962856369","0.8683065962856369","0.8683065962856369","0.867751635842701","0.867751635842701","0.867751635842701"
"250","0.8707071228527548","0.8707071228527548","0.8707071228527548","0.8696875443645703","0.8696875443645703","0.8696875443645703","0.8702425048075062","0.8702425048075062","0.8702425048075062","0.8706425925686925","0.8706425925686925","0.8706425925686925","0.8704102835460682","0.8704102835460682","0.8704102835460682","0.8702812229779435","0.8702812229779435","0.8702812229779435","0.870461907773318","0.870461907773318","0.870461907773318","0.8707716531368171","0.8707716531368171","0.8707716531368171","0.8703715653756308","0.8703715653756308","0.8703715653756308","0.8707845591936295","0.8707845591936295","0.8707845591936295","0.8704490017165055","0.8704490017165055","0.8704490017165055"
"300","0.8718944800795013","0.8718944800795013","0.8718944800795013","0.8720622588180633","0.8720622588180633","0.8720622588180633","0.8716879831705019","0.8716879831705019","0.8716879831705019","0.8717137952841268","0.8717137952841268","0.8717137952841268","0.8717008892273144","0.8717008892273144","0.8717008892273144","0.8719461043067511","0.8719461043067511","0.8719461043067511","0.8719461043067511","0.8719461043067511","0.8719461043067511","0.8719590103635636","0.8719590103635636","0.8719590103635636","0.8714298620342527","0.8714298620342527","0.8714298620342527","0.8716879831705019","0.8716879831705019","0.8716879831705019","0.8718170437386266","0.8718170437386266","0.8718170437386266"
"350","0.8726301253178117","0.8726301253178117","0.8726301253178117","0.8723849102383748","0.8723849102383748","0.8723849102383748","0.8720751648748758","0.8720751648748758","0.8720751648748758","0.8725914071473743","0.8725914071473743","0.8725914071473743","0.8724236284088123","0.8724236284088123","0.8724236284088123","0.8720106345908135","0.8720106345908135","0.8720106345908135","0.8728882464540609","0.8728882464540609","0.8728882464540609","0.8722042254430004","0.8722042254430004","0.8722042254430004","0.8720235406476259","0.8720235406476259","0.8720235406476259","0.8718557619090639","0.8718557619090639","0.8718557619090639","0.8724365344656247","0.8724365344656247","0.8724365344656247"
"400","0.8722945678406876","0.8722945678406876","0.8722945678406876","0.8715331104887524","0.8715331104887524","0.8715331104887524","0.8714943923183149","0.8714943923183149","0.8714943923183149","0.8719202921931263","0.8719202921931263","0.8719202921931263","0.8722042254430004","0.8722042254430004","0.8722042254430004","0.8717912316250016","0.8717912316250016","0.8717912316250016","0.8716363589432521","0.8716363589432521","0.8716363589432521","0.8719202921931263","0.8719202921931263","0.8719202921931263","0.8717396073977518","0.8717396073977518","0.8717396073977518","0.8719331982499386","0.8719331982499386","0.8719331982499386","0.8715718286591898","0.8715718286591898","0.8715718286591898"
