"Step","vague-sweep-11 - Test Accuracy","vague-sweep-11 - Test Accuracy__MIN","vague-sweep-11 - Test Accuracy__MAX","azure-sweep-10 - Test Accuracy","azure-sweep-10 - Test Accuracy__MIN","azure-sweep-10 - Test Accuracy__MAX","stilted-sweep-9 - Test Accuracy","stilted-sweep-9 - Test Accuracy__MIN","stilted-sweep-9 - Test Accuracy__MAX","classic-sweep-8 - Test Accuracy","classic-sweep-8 - Test Accuracy__MIN","classic-sweep-8 - Test Accuracy__MAX","vivid-sweep-7 - Test Accuracy","vivid-sweep-7 - Test Accuracy__MIN","vivid-sweep-7 - Test Accuracy__MAX","major-sweep-6 - Test Accuracy","major-sweep-6 - Test Accuracy__MIN","major-sweep-6 - Test Accuracy__MAX","true-sweep-5 - Test Accuracy","true-sweep-5 - Test Accuracy__MIN","true-sweep-5 - Test Accuracy__MAX","winter-sweep-4 - Test Accuracy","winter-sweep-4 - Test Accuracy__MIN","winter-sweep-4 - Test Accuracy__MAX","earthy-sweep-3 - Test Accuracy","earthy-sweep-3 - Test Accuracy__MIN","earthy-sweep-3 - Test Accuracy__MAX","grateful-sweep-2 - Test Accuracy","grateful-sweep-2 - Test Accuracy__MIN","grateful-sweep-2 - Test Accuracy__MAX","resilient-sweep-1 - Test Accuracy","resilient-sweep-1 - Test Accuracy__MIN","resilient-sweep-1 - Test Accuracy__MAX"
"0","0.7546816721087206","0.7546816721087206","0.7546816721087206","0.7547332963359704","0.7547332963359704","0.7547332963359704","0.7538685905295355","0.7538685905295355","0.7538685905295355","0.7549139811313449","0.7549139811313449","0.7549139811313449","0.7538169663022857","0.7538169663022857","0.7538169663022857","0.7543977388588464","0.7543977388588464","0.7543977388588464","0.7537782481318482","0.7537782481318482","0.7537782481318482","0.7543848328020339","0.7543848328020339","0.7543848328020339","0.7539331208135979","0.7539331208135979","0.7539331208135979","0.7538298723590982","0.7538298723590982","0.7538298723590982","0.7535072209387865","0.7535072209387865","0.7535072209387865"
"50","0.8950737581146833","0.8950737581146833","0.8950737581146833","0.8952157247396203","0.8952157247396203","0.8952157247396203","0.8953576913645573","0.8953576913645573","0.8953576913645573","0.8959771820915555","0.8959771820915555","0.8959771820915555","0.8962482092846172","0.8962482092846172","0.8962482092846172","0.8959384639211182","0.8959384639211182","0.8959384639211182","0.8960675244892428","0.8960675244892428","0.8960675244892428","0.895822309409806","0.895822309409806","0.895822309409806","0.8960288063188054","0.8960288063188054","0.8960288063188054","0.8955254701031194","0.8955254701031194","0.8955254701031194","0.8957706851825562","0.8957706851825562","0.8957706851825562"
"100","0.8994360053172954","0.8994360053172954","0.8994360053172954","0.9003265232373553","0.9003265232373553","0.9003265232373553","0.8992940386923584","0.8992940386923584","0.8992940386923584","0.9000684021011061","0.9000684021011061","0.9000684021011061","0.9002103687260431","0.9002103687260431","0.9002103687260431","0.8998360930784818","0.8998360930784818","0.8998360930784818","0.8993843810900456","0.8993843810900456","0.8993843810900456","0.900571738316792","0.900571738316792","0.900571738316792","0.8998231870216693","0.8998231870216693","0.8998231870216693","0.9002748990101055","0.9002748990101055","0.9002748990101055","0.8999780597034188","0.8999780597034188","0.8999780597034188"
"150","0.9023527741569118","0.9023527741569118","0.9023527741569118","0.9026238013499736","0.9026238013499736","0.9026238013499736","0.9023269620432869","0.9023269620432869","0.9023269620432869","0.9020688409070377","0.9020688409070377","0.9020688409070377","0.9027657679749106","0.9027657679749106","0.9027657679749106","0.9023785862705368","0.9023785862705368","0.9023785862705368","0.9015267865209142","0.9015267865209142","0.9015267865209142","0.9022237135887872","0.9022237135887872","0.9022237135887872","0.9024560226114116","0.9024560226114116","0.9024560226114116","0.9021075590774751","0.9021075590774751","0.9021075590774751","0.9021849954183498","0.9021849954183498","0.9021849954183498"
"200","0.902636707406786","0.902636707406786","0.902636707406786","0.9030626072815973","0.9030626072815973","0.9030626072815973","0.9019784985093504","0.9019784985093504","0.9019784985093504","0.9024431165545991","0.9024431165545991","0.9024431165545991","0.9028561103725978","0.9028561103725978","0.9028561103725978","0.9027270498044733","0.9027270498044733","0.9027270498044733","0.9025850831795361","0.9025850831795361","0.9025850831795361","0.9023914923273493","0.9023914923273493","0.9023914923273493","0.9035272253268459","0.9035272253268459","0.9035272253268459","0.9025979892363486","0.9025979892363486","0.9025979892363486","0.9033594465882839","0.9033594465882839","0.9033594465882839"
"250","0.9041079978834067","0.9041079978834067","0.9041079978834067","0.9039789373152821","0.9039789373152821","0.9039789373152821","0.9035917556109082","0.9035917556109082","0.9035917556109082","0.9038498767471574","0.9038498767471574","0.9038498767471574","0.9042628705651562","0.9042628705651562","0.9042628705651562","0.9035530374404708","0.9035530374404708","0.9035530374404708","0.9037466282926577","0.9037466282926577","0.9037466282926577","0.9031142315088471","0.9031142315088471","0.9031142315088471","0.9043274008492186","0.9043274008492186","0.9043274008492186","0.9031013254520346","0.9031013254520346","0.9031013254520346","0.9040950918265942","0.9040950918265942","0.9040950918265942"
"300","0.9037208161790328","0.9037208161790328","0.9037208161790328","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9047016764967799","0.9047016764967799","0.9047016764967799","0.9053082611669656","0.9053082611669656","0.9053082611669656","0.9040950918265942","0.9040950918265942","0.9040950918265942","0.9042241523947189","0.9042241523947189","0.9042241523947189","0.9042886826787812","0.9042886826787812","0.9042886826787812","0.9049210794625918","0.9049210794625918","0.9049210794625918","0.9041983402810939","0.9041983402810939","0.9041983402810939","0.9045338977582179","0.9045338977582179","0.9045338977582179"
"350","0.9054115096214653","0.9054115096214653","0.9054115096214653","0.905850315553089","0.905850315553089","0.905850315553089","0.905205012712466","0.905205012712466","0.905205012712466","0.9051275763715911","0.9051275763715911","0.9051275763715911","0.9053340732805906","0.9053340732805906","0.9053340732805906","0.9063665578255875","0.9063665578255875","0.9063665578255875","0.905514758075965","0.905514758075965","0.905514758075965","0.9055792883600273","0.9055792883600273","0.9055792883600273","0.9051662945420286","0.9051662945420286","0.9051662945420286","0.9041854342242814","0.9041854342242814","0.9041854342242814","0.9052566369397158","0.9052566369397158","0.9052566369397158"
"400","0.9051146703147788","0.9051146703147788","0.9051146703147788","0.9056051004736523","0.9056051004736523","0.9056051004736523","0.9049597976330291","0.9049597976330291","0.9049597976330291","0.9048823612921544","0.9048823612921544","0.9048823612921544","0.9054373217350903","0.9054373217350903","0.9054373217350903","0.905372791451028","0.905372791451028","0.905372791451028","0.905179200598841","0.905179200598841","0.905179200598841","0.906043906405276","0.906043906405276","0.906043906405276","0.9056309125872772","0.9056309125872772","0.9056309125872772","0.9048823612921544","0.9048823612921544","0.9048823612921544","0.9053340732805906","0.9053340732805906","0.9053340732805906"
