"Step","dry-sweep-11 - Test Accuracy","dry-sweep-11 - Test Accuracy__MIN","dry-sweep-11 - Test Accuracy__MAX","radiant-sweep-10 - Test Accuracy","radiant-sweep-10 - Test Accuracy__MIN","radiant-sweep-10 - Test Accuracy__MAX","fancy-sweep-9 - Test Accuracy","fancy-sweep-9 - Test Accuracy__MIN","fancy-sweep-9 - Test Accuracy__MAX","silvery-sweep-8 - Test Accuracy","silvery-sweep-8 - Test Accuracy__MIN","silvery-sweep-8 - Test Accuracy__MAX","young-sweep-7 - Test Accuracy","young-sweep-7 - Test Accuracy__MIN","young-sweep-7 - Test Accuracy__MAX","jumping-sweep-6 - Test Accuracy","jumping-sweep-6 - Test Accuracy__MIN","jumping-sweep-6 - Test Accuracy__MAX","sweepy-sweep-5 - Test Accuracy","sweepy-sweep-5 - Test Accuracy__MIN","sweepy-sweep-5 - Test Accuracy__MAX","earthy-sweep-4 - Test Accuracy","earthy-sweep-4 - Test Accuracy__MIN","earthy-sweep-4 - Test Accuracy__MAX","crisp-sweep-3 - Test Accuracy","crisp-sweep-3 - Test Accuracy__MIN","crisp-sweep-3 - Test Accuracy__MAX","laced-sweep-2 - Test Accuracy","laced-sweep-2 - Test Accuracy__MIN","laced-sweep-2 - Test Accuracy__MAX","sage-sweep-1 - Test Accuracy","sage-sweep-1 - Test Accuracy__MIN","sage-sweep-1 - Test Accuracy__MAX"
"0","0.3341636229882684","0.3341636229882684","0.3341636229882684","0.32929803956997017","0.32929803956997017","0.32929803956997017","0.3324987416594608","0.3324987416594608","0.3324987416594608","0.3315049752849012","0.3315049752849012","0.3315049752849012","0.32795580966147414","0.32795580966147414","0.32795580966147414","0.3322664326368365","0.3322664326368365","0.3322664326368365","0.3326665203980228","0.3326665203980228","0.3326665203980228","0.3298142818424687","0.3298142818424687","0.3298142818424687","0.3317630964211504","0.3317630964211504","0.3317630964211504","0.33127266626227686","0.33127266626227686","0.33127266626227686","0.3268329827187899","0.3268329827187899","0.3268329827187899"
"50","0.8776634874746718","0.8776634874746718","0.8776634874746718","0.8799994837577275","0.8799994837577275","0.8799994837577275","0.8790057173831679","0.8790057173831679","0.8790057173831679","0.8798317050191655","0.8798317050191655","0.8798317050191655","0.8800511079849773","0.8800511079849773","0.8800511079849773","0.88085128350735","0.88085128350735","0.88085128350735","0.8804382896893512","0.8804382896893512","0.8804382896893512","0.8788250325877934","0.8788250325877934","0.8788250325877934","0.8777022056451093","0.8777022056451093","0.8777022056451093","0.8776892995882968","0.8776892995882968","0.8776892995882968","0.8795477717692913","0.8795477717692913","0.8795477717692913"
"100","0.8840003613695907","0.8840003613695907","0.8840003613695907","0.8831356555631558","0.8831356555631558","0.8831356555631558","0.8858717396073977","0.8858717396073977","0.8858717396073977","0.8844520733580269","0.8844520733580269","0.8844520733580269","0.8848650671760258","0.8848650671760258","0.8848650671760258","0.8835486493811546","0.8835486493811546","0.8835486493811546","0.8854974639598363","0.8854974639598363","0.8854974639598363","0.8827871920292193","0.8827871920292193","0.8827871920292193","0.8832389040176555","0.8832389040176555","0.8832389040176555","0.8855878063575235","0.8855878063575235","0.8855878063575235","0.8855490881870862","0.8855490881870862","0.8855490881870862"
"150","0.8829033465405315","0.8829033465405315","0.8829033465405315","0.8845424157557141","0.8845424157557141","0.8845424157557141","0.8824903527225327","0.8824903527225327","0.8824903527225327","0.8838713008014661","0.8838713008014661","0.8838713008014661","0.8871494392318315","0.8871494392318315","0.8871494392318315","0.8846972884374636","0.8846972884374636","0.8846972884374636","0.8843875430739646","0.8843875430739646","0.8843875430739646","0.8838583947446537","0.8838583947446537","0.8838583947446537","0.8846069460397765","0.8846069460397765","0.8846069460397765","0.88509737619865","0.88509737619865","0.88509737619865","0.8815998348024728","0.8815998348024728","0.8815998348024728"
"200","0.8776634874746718","0.8776634874746718","0.8776634874746718","0.8761792909412387","0.8761792909412387","0.8761792909412387","0.8767987816682369","0.8767987816682369","0.8767987816682369","0.8764761302479254","0.8764761302479254","0.8764761302479254","0.8768762180091116","0.8768762180091116","0.8768762180091116","0.8761276667139889","0.8761276667139889","0.8761276667139889","0.8770827149181111","0.8770827149181111","0.8770827149181111","0.8774957087361098","0.8774957087361098","0.8774957087361098","0.877276305770298","0.877276305770298","0.877276305770298","0.8754823638733658","0.8754823638733658","0.8754823638733658","0.873030213078998","0.873030213078998","0.873030213078998"
"250","0.8851360943690875","0.8851360943690875","0.8851360943690875","0.8858330214369604","0.8858330214369604","0.8858330214369604","0.884426261244402","0.884426261244402","0.884426261244402","0.88850457519714","0.88850457519714","0.88850457519714","0.8864912303343959","0.8864912303343959","0.8864912303343959","0.8829678768245938","0.8829678768245938","0.8829678768245938","0.8840777977104656","0.8840777977104656","0.8840777977104656","0.8873430300840184","0.8873430300840184","0.8873430300840184","0.8850457519714002","0.8850457519714002","0.8850457519714002","0.885265154937212","0.885265154937212","0.885265154937212","0.8869687544364571","0.8869687544364571","0.8869687544364571"
"300","0.8864396061071461","0.8864396061071461","0.8864396061071461","0.8872784997999561","0.8872784997999561","0.8872784997999561","0.8846843823806513","0.8846843823806513","0.8846843823806513","0.8853554973348993","0.8853554973348993","0.8853554973348993","0.8867364454138327","0.8867364454138327","0.8867364454138327","0.8868784120387698","0.8868784120387698","0.8868784120387698","0.8841810461649652","0.8841810461649652","0.8841810461649652","0.8842068582785901","0.8842068582785901","0.8842068582785901","0.8831872797904057","0.8831872797904057","0.8831872797904057","0.8848521611192133","0.8848521611192133","0.8848521611192133","0.8827871920292193","0.8827871920292193","0.8827871920292193"
"350","0.8802188867235393","0.8802188867235393","0.8802188867235393","0.88085128350735","0.88085128350735","0.88085128350735","0.8765277544751752","0.8765277544751752","0.8765277544751752","0.8805673502574758","0.8805673502574758","0.8805673502574758","0.8809287198482247","0.8809287198482247","0.8809287198482247","0.8826839435747196","0.8826839435747196","0.8826839435747196","0.8822967618703458","0.8822967618703458","0.8822967618703458","0.879676832337416","0.879676832337416","0.879676832337416","0.8811223107004117","0.8811223107004117","0.8811223107004117","0.8785410993379192","0.8785410993379192","0.8785410993379192","0.8784249448266072","0.8784249448266072","0.8784249448266072"
"400","0.8896790263670741","0.8896790263670741","0.8896790263670741","0.8857426790392732","0.8857426790392732","0.8857426790392732","0.887833460242892","0.887833460242892","0.887833460242892","0.88850457519714","0.88850457519714","0.88850457519714","0.8879238026405792","0.8879238026405792","0.8879238026405792","0.8880786753223288","0.8880786753223288","0.8880786753223288","0.8882593601177032","0.8882593601177032","0.8882593601177032","0.8878463662997045","0.8878463662997045","0.8878463662997045","0.8873172179703935","0.8873172179703935","0.8873172179703935","0.8875882451634552","0.8875882451634552","0.8875882451634552","0.8916536530593807","0.8916536530593807","0.8916536530593807"
